Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.04966;0.00996;4.98594
2009.01.02;4;0.21056;0.04325;4.86844
2009.01.05;0;0.22033;0.08235;2.67553
2009.01.06;1;0.20222;0.05620;3.59822
2009.01.07;2;0.21465;0.04250;5.05059
2009.01.08;3;0.17550;0.03075;5.70732
2009.01.09;4;0.15490;0.04315;3.58980
2009.01.12;0;0.16475;0.03980;4.13945
2009.01.13;1;0.14340;0.03680;3.89674
2009.01.14;2;0.14620;0.02460;5.94309
2009.01.15;3;0.14890;0.02465;6.04057
2009.01.16;4;0.18951;0.04415;4.29241
2009.01.19;0;0.16525;0.03010;5.49003
2009.01.20;1;0.20340;0.04965;4.09668
2009.01.21;2;0.21905;0.05120;4.27832
2009.01.22;3;0.17885;0.03325;5.37895
2009.01.23;4;0.17760;0.02985;5.94975
2009.01.26;0;0.19857;0.03895;5.09807
2009.01.27;1;0.15320;0.03035;5.04778
2009.01.28;2;0.17340;0.03630;4.77686
2009.01.29;3;0.15495;0.02540;6.10039
2009.01.30;4;0.18120;0.04980;3.63855
2009.02.02;0;0.17955;0.04860;3.69444
2009.02.03;1;0.14854;0.02140;6.94112
2009.02.04;2;0.15086;0.04480;3.36741
2009.02.05;3;0.15320;0.04615;3.31961
2009.02.06;4;0.14941;0.02055;7.27056
2009.02.09;0;0.14970;0.02630;5.69202
2009.02.10;1;0.19165;0.07355;2.60571
2009.02.11;2;0.17462;0.03120;5.59679
2009.02.12;3;0.14711;0.02315;6.35464
2009.02.13;4;0.16270;0.03890;4.18252
2009.02.16;0;0.12627;0.01820;6.93791
2009.02.17;1;0.13270;0.02425;5.47216
2009.02.18;2;0.13258;0.02795;4.74347
2009.02.19;3;0.12447;0.02570;4.84319
2009.02.20;4;0.16873;0.04825;3.49699
2009.02.23;0;0.15589;0.04235;3.68099
2009.02.24;1;0.14175;0.02860;4.95629
2009.02.25;2;0.14775;0.03665;4.03138
2009.02.26;3;0.12520;0.02305;5.43167
2009.02.27;4;0.13585;0.02105;6.45368
2009.03.02;0;0.14710;0.04015;3.66376
2009.03.03;1;0.12860;0.01600;8.03750
2009.03.04;2;0.11487;0.01912;6.00785
2009.03.05;3;0.12440;0.01845;6.74255
2009.03.06;4;0.14450;0.03500;4.12857
2009.03.08;6;0.00582;0.00582;1.00000
2009.03.09;0;0.13621;0.04521;3.01283
2009.03.10;1;0.14786;0.02030;7.28374
2009.03.11;2;0.11442;0.01460;7.83699
2009.03.12;3;0.18494;0.06895;2.68223
2009.03.13;4;0.13240;0.02630;5.03422
2009.03.15;6;0.00366;0.00366;1.00000
2009.03.16;0;0.12677;0.03005;4.21864
2009.03.17;1;0.10574;0.02145;4.92960
2009.03.18;2;0.14529;0.05185;2.80212
2009.03.19;3;0.13055;0.01720;7.59012
2009.03.20;4;0.12297;0.01725;7.12870
2009.03.22;6;0.00333;0.00333;1.00000
2009.03.23;0;0.13614;0.02310;5.89351
2009.03.24;1;0.14690;0.02930;5.01365
2009.03.25;2;0.12269;0.04085;3.00343
2009.03.26;3;0.10664;0.01665;6.40480
2009.03.27;4;0.11742;0.02250;5.21867
2009.03.30;0;0.11830;0.01675;7.06269
2009.03.31;1;0.11214;0.01840;6.09457
2009.04.01;2;0.12625;0.02830;4.46113
2009.04.02;3;0.12150;0.02505;4.85030
2009.04.03;4;0.11748;0.01785;6.58151
2009.04.06;0;0.11365;0.01865;6.09383
2009.04.07;1;0.11604;0.02650;4.37887
2009.04.08;2;0.09320;0.00975;9.55897
2009.04.09;3;0.10781;0.02050;5.25902
2009.04.10;4;0.07761;0.00920;8.43587
2009.04.13;0;0.10277;0.01878;5.47231
2009.04.14;1;0.10433;0.02603;4.00807
2009.04.15;2;0.10690;0.02760;3.87319
2009.04.16;3;0.10070;0.01275;7.89804
2009.04.17;4;0.11441;0.02285;5.00700
2009.04.20;0;0.10184;0.03015;3.37778
2009.04.21;1;0.11270;0.02165;5.20554
2009.04.22;2;0.12611;0.03575;3.52755
2009.04.23;3;0.11894;0.02060;5.77379
2009.04.24;4;0.12050;0.03205;3.75975
2009.04.27;0;0.11525;0.03265;3.52986
2009.04.28;1;0.10789;0.02485;4.34165
2009.04.29;2;0.10290;0.01255;8.19920
2009.04.30;3;0.12190;0.01660;7.34337
2009.05.01;4;0.10394;0.01720;6.04302
2009.05.04;0;0.08548;0.01205;7.09378
2009.05.05;1;0.10256;0.02150;4.77023
2009.05.06;2;0.10380;0.01390;7.46763
2009.05.07;3;0.12027;0.03340;3.60090
2009.05.08;4;0.10803;0.02225;4.85528
2009.05.11;0;0.09701;0.01950;4.97487
2009.05.12;1;0.09484;0.02205;4.30113
2009.05.13;2;0.10017;0.01925;5.20364
2009.05.14;3;0.08895;0.01080;8.23611
2009.05.15;4;0.10005;0.02585;3.87041
2009.05.18;0;0.09690;0.01740;5.56897
2009.05.19;1;0.08932;0.02160;4.13519
2009.05.20;2;0.09147;0.02635;3.47135
2009.05.21;3;0.13723;0.03095;4.43393
2009.05.22;4;0.10510;0.01560;6.73718
2009.05.25;0;0.06517;0.00815;7.99632
2009.05.26;1;0.07801;0.00846;9.22104
2009.05.27;2;0.09174;0.02279;4.02545
2009.05.28;3;0.09924;0.02170;4.57327
2009.05.29;4;0.10912;0.02270;4.80705
2009.06.01;0;0.10655;0.03660;2.91120
2009.06.02;1;0.09278;0.01705;5.44164
2009.06.03;2;0.10120;0.03150;3.21270
2009.06.04;3;0.14110;0.03305;4.26929
2009.06.05;4;0.11250;0.02845;3.95431
2009.06.08;0;0.09900;0.02810;3.52313
2009.06.09;1;0.09095;0.01420;6.40493
2009.06.10;2;0.09763;0.01350;7.23185
2009.06.11;3;0.07888;0.01510;5.22384
2009.06.12;4;0.08931;0.01495;5.97391
2009.06.15;0;0.08940;0.01854;4.82201
2009.06.16;1;0.10128;0.01746;5.80069
2009.06.17;2;0.09516;0.02103;4.52496
2009.06.18;3;0.12714;0.03165;4.01706
2009.06.19;4;0.09284;0.01633;5.68524
2009.06.22;0;0.08895;0.01980;4.49242
2009.06.23;1;0.09632;0.02895;3.32712
2009.06.24;2;0.15258;0.05950;2.56437
2009.06.25;3;0.11124;0.02335;4.76403
2009.06.26;4;0.11233;0.01525;7.36590
2009.06.29;0;0.09050;0.01650;5.48485
2009.06.30;1;0.09300;0.02160;4.30556
2009.07.01;2;0.08068;0.02050;3.93561
2009.07.02;3;0.09184;0.02015;4.55782
2009.07.03;4;0.08012;0.01133;7.07149
2009.07.06;0;0.07886;0.01895;4.16148
2009.07.07;1;0.08160;0.01490;5.47651
2009.07.08;2;0.08615;0.01340;6.42910
2009.07.09;3;0.09281;0.01540;6.02662
2009.07.10;4;0.09346;0.02120;4.40849
2009.07.13;0;0.09611;0.01976;4.86387
2009.07.14;1;0.08046;0.02150;3.74233
2009.07.15;2;0.07705;0.01695;4.54572
2009.07.16;3;0.07255;0.01000;7.25500
2009.07.17;4;0.07470;0.01185;6.30380
2009.07.20;0;0.07715;0.01385;5.57040
2009.07.21;1;0.06758;0.01890;3.57566
2009.07.22;2;0.06638;0.01285;5.16576
2009.07.23;3;0.07593;0.02110;3.59858
2009.07.24;4;0.07065;0.02050;3.44634
2009.07.27;0;0.07945;0.01530;5.19281
2009.07.28;1;0.06517;0.01295;5.03243
2009.07.29;2;0.08425;0.02730;3.08608
2009.07.30;3;0.07615;0.02455;3.10183
2009.07.31;4;0.08640;0.02200;3.92727
2009.08.03;0;0.08932;0.01950;4.58051
2009.08.04;1;0.08029;0.01265;6.34704
2009.08.05;2;0.07115;0.01585;4.48896
2009.08.06;3;0.08073;0.02305;3.50239
2009.08.07;4;0.09515;0.03025;3.14545
2009.08.10;0;0.06495;0.02265;2.86755
2009.08.11;1;0.06516;0.01120;5.81786
2009.08.12;2;0.07987;0.01255;6.36414
2009.08.13;3;0.06801;0.01595;4.26395
2009.08.14;4;0.07683;0.01045;7.35215
2009.08.17;0;0.06570;0.01515;4.33663
2009.08.18;1;0.07700;0.02510;3.06773
2009.08.19;2;0.07420;0.02715;2.73297
2009.08.20;3;0.06810;0.01520;4.48026
2009.08.21;4;0.08281;0.01525;5.43016
2009.08.24;0;0.06530;0.01440;4.53472
2009.08.25;1;0.06735;0.01225;5.49796
2009.08.26;2;0.06430;0.01165;5.51931
2009.08.27;3;0.07865;0.02030;3.87438
2009.08.28;4;0.07785;0.01125;6.92000
2009.08.31;0;0.07001;0.00795;8.80629
2009.09.01;1;0.07529;0.01400;5.37786
2009.09.02;2;0.07520;0.01420;5.29577
2009.09.03;3;0.06243;0.01320;4.72955
2009.09.04;4;0.06241;0.01320;4.72803
2009.09.07;0;0.05854;0.00981;5.96738
2009.09.08;1;0.06801;0.01305;5.21149
2009.09.09;2;0.05670;0.01075;5.27442
2009.09.10;3;0.07955;0.02390;3.32845
2009.09.11;4;0.05803;0.00775;7.48774
2009.09.14;0;0.06472;0.01720;3.76279
2009.09.15;1;0.07988;0.02315;3.45054
2009.09.16;2;0.07167;0.01225;5.85061
2009.09.17;3;0.06885;0.02055;3.35036
2009.09.18;4;0.06505;0.02090;3.11244
2009.09.21;0;0.06277;0.01160;5.41121
2009.09.22;1;0.06315;0.01020;6.19118
2009.09.23;2;0.07091;0.01500;4.72733
2009.09.24;3;0.09000;0.03275;2.74809
2009.09.25;4;0.08785;0.01735;5.06340
2009.09.28;0;0.10884;0.02135;5.09789
2009.09.29;1;0.08100;0.02230;3.63229
2009.09.30;2;0.09675;0.02030;4.76601
2009.10.01;3;0.08345;0.01840;4.53533
2009.10.02;4;0.07560;0.01970;3.83756
2009.10.05;0;0.07265;0.00925;7.85405
2009.10.06;1;0.07427;0.01800;4.12611
2009.10.07;2;0.06945;0.02025;3.42963
2009.10.08;3;0.07582;0.01380;5.49420
2009.10.09;4;0.07285;0.02070;3.51932
2009.10.12;0;0.07310;0.02240;3.26339
2009.10.13;1;0.08250;0.01735;4.75504
2009.10.14;2;0.06746;0.01100;6.13273
2009.10.15;3;0.09035;0.03532;2.55804
2009.10.16;4;0.09503;0.01843;5.15627
2009.10.19;0;0.08370;0.01880;4.45213
2009.10.20;1;0.07595;0.01490;5.09732
2009.10.21;2;0.07725;0.02305;3.35141
2009.10.22;3;0.07085;0.00970;7.30412
2009.10.23;4;0.10175;0.03760;2.70612
2009.10.25;6;0.00224;0.00224;1.00000
2009.10.26;0;0.08095;0.02750;2.94364
2009.10.27;1;0.08145;0.01730;4.70809
2009.10.28;2;0.08535;0.02170;3.93318
2009.10.29;3;0.08815;0.01675;5.26269
2009.10.30;4;0.09150;0.01515;6.03960
2009.11.02;0;0.08870;0.01920;4.61979
2009.11.03;1;0.08075;0.02440;3.30943
2009.11.04;2;0.07245;0.01370;5.28832
2009.11.05;3;0.07710;0.01490;5.17450
2009.11.06;4;0.06787;0.01110;6.11441
2009.11.09;0;0.07065;0.01340;5.27239
2009.11.10;1;0.08325;0.01550;5.37097
2009.11.11;2;0.08105;0.02050;3.95366
2009.11.12;3;0.06990;0.02310;3.02597
2009.11.13;4;0.05851;0.01025;5.70829
2009.11.16;0;0.07155;0.02040;3.50735
2009.11.17;1;0.06545;0.01720;3.80523
2009.11.18;2;0.06525;0.02131;3.06194
2009.11.19;3;0.06455;0.01445;4.46713
2009.11.20;4;0.06130;0.01245;4.92369
2009.11.23;0;0.05600;0.00855;6.54971
2009.11.24;1;0.05701;0.00975;5.84718
2009.11.25;2;0.06955;0.01770;3.92938
2009.11.26;3;0.10095;0.01870;5.39840
2009.11.27;4;0.10575;0.01545;6.84466
2009.11.30;0;0.08785;0.01560;5.63141
2009.12.01;1;0.07285;0.01520;4.79276
2009.12.02;2;0.05470;0.01430;3.82517
2009.12.03;3;0.06343;0.01500;4.22867
2009.12.04;4;0.07585;0.02520;3.00992
2009.12.07;0;0.07615;0.00990;7.69192
2009.12.08;1;0.07159;0.01590;4.50252
2009.12.09;2;0.09430;0.01705;5.53079
2009.12.10;3;0.06865;0.00910;7.54396
2009.12.11;4;0.07065;0.01590;4.44340
2009.12.14;0;0.07735;0.01350;5.72963
2009.12.15;1;0.06060;0.01390;4.35971
2009.12.16;2;0.06975;0.01335;5.22472
2009.12.17;3;0.07965;0.01605;4.96262
2009.12.18;4;0.08340;0.01475;5.65424
2009.12.21;0;0.08445;0.01675;5.04179
2009.12.22;1;0.06573;0.01240;5.30081
2009.12.23;2;0.06930;0.02200;3.15000
2009.12.24;3;0.06380;0.01220;5.22951
2009.12.25;4;0.05894;0.00699;8.43205
2009.12.28;0;0.05621;0.00645;8.71473
2009.12.29;1;0.06854;0.01410;4.86099
2009.12.30;2;0.07622;0.02715;2.80737
2009.12.31;3;0.08130;0.01600;5.08125
2010.01.01;4;0.05492;0.00383;14.33943
2010.01.04;0;0.09470;0.02315;4.09071
2010.01.05;1;0.07930;0.01280;6.19531
2010.01.06;2;0.08290;0.02105;3.93824
2010.01.07;3;0.06930;0.00980;7.07143
2010.01.08;4;0.08000;0.02390;3.34728
2010.01.11;0;0.08220;0.01450;5.66897
2010.01.12;1;0.06302;0.01200;5.25167
2010.01.13;2;0.06655;0.01680;3.96131
