Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;5.95300;1.18700;5.01516
2009.01.02;4;17.93100;3.29500;5.44188
2009.01.05;0;15.80500;4.73000;3.34144
2009.01.06;1;18.86700;5.45500;3.45866
2009.01.07;2;18.55500;3.62000;5.12569
2009.01.08;3;18.43000;2.87500;6.41043
2009.01.09;4;16.12900;3.37000;4.78605
2009.01.12;0;16.31300;4.65000;3.50817
2009.01.13;1;15.81500;3.78500;4.17834
2009.01.14;2;17.25000;3.05500;5.64648
2009.01.15;3;17.98600;2.94000;6.11769
2009.01.16;4;17.57000;4.40000;3.99318
2009.01.19;0;18.04200;5.40500;3.33802
2009.01.20;1;22.35500;6.35500;3.51770
2009.01.21;2;27.12000;6.81000;3.98238
2009.01.22;3;23.30500;4.20500;5.54221
2009.01.23;4;21.43000;4.92500;4.35127
2009.01.26;0;22.44900;5.46500;4.10778
2009.01.27;1;21.08000;3.42500;6.15474
2009.01.28;2;18.89000;4.08500;4.62424
2009.01.29;3;17.52500;2.94000;5.96088
2009.01.30;4;17.80500;4.19000;4.24940
2009.02.02;0;18.23500;4.98000;3.66165
2009.02.03;1;17.65400;2.71500;6.50239
2009.02.04;2;16.69000;3.38500;4.93058
2009.02.05;3;18.93000;7.13500;2.65312
2009.02.06;4;16.95500;4.32000;3.92477
2009.02.09;0;19.78200;3.72000;5.31774
2009.02.10;1;22.57500;6.08000;3.71299
2009.02.11;2;18.55000;2.92000;6.35274
2009.02.12;3;16.91500;3.12000;5.42147
2009.02.13;4;18.92500;4.71000;4.01805
2009.02.16;0;12.04100;1.85000;6.50865
2009.02.17;1;14.46500;2.56000;5.65039
2009.02.18;2;14.06100;3.35000;4.19731
2009.02.19;3;14.65500;3.48000;4.21121
2009.02.20;4;14.11000;2.59500;5.43738
2009.02.23;0;19.22500;5.31500;3.61712
2009.02.24;1;18.61500;4.42000;4.21154
2009.02.25;2;20.28500;4.10500;4.94153
2009.02.26;3;14.84500;3.40500;4.35977
2009.02.27;4;18.48000;4.43500;4.16685
2009.03.02;0;18.51000;4.20000;4.40714
2009.03.03;1;16.34000;2.62500;6.22476
2009.03.04;2;12.89500;3.49500;3.68956
2009.03.05;3;15.36400;3.49000;4.40229
2009.03.06;4;18.25500;2.93000;6.23038
2009.03.08;6;0.61100;0.61100;1.00000
2009.03.09;0;15.19500;3.41000;4.45601
2009.03.10;1;13.22500;1.90500;6.94226
2009.03.11;2;14.83000;2.40500;6.16632
2009.03.12;3;17.89000;5.09000;3.51473
2009.03.13;4;15.32000;3.09000;4.95793
2009.03.15;6;0.36300;0.36300;1.00000
2009.03.16;0;14.38500;4.09000;3.51711
2009.03.17;1;10.64000;1.41500;7.51943
2009.03.18;2;14.35300;4.16000;3.45024
2009.03.19;3;16.10000;2.71500;5.93002
2009.03.20;4;11.19500;2.37000;4.72363
2009.03.22;6;0.35900;0.35900;1.00000
2009.03.23;0;16.08000;3.75000;4.28800
2009.03.24;1;18.86000;4.02500;4.68571
2009.03.25;2;15.40500;3.66000;4.20902
2009.03.26;3;13.25000;1.89000;7.01058
2009.03.27;4;14.04500;3.90500;3.59667
2009.03.30;0;17.56700;4.74500;3.70221
2009.03.31;1;17.40400;3.96500;4.38941
2009.04.01;2;16.76500;2.31000;7.25758
2009.04.02;3;15.18500;4.63000;3.27970
2009.04.03;4;17.09000;3.37500;5.06370
2009.04.06;0;16.21500;3.84000;4.22266
2009.04.07;1;17.95500;3.37500;5.32000
2009.04.08;2;16.35000;2.80000;5.83929
2009.04.09;3;12.91700;1.73500;7.44496
2009.04.10;4;6.22000;0.95000;6.54737
2009.04.13;0;10.13700;2.42000;4.18884
2009.04.14;1;14.11500;2.27500;6.20440
2009.04.15;2;16.10500;3.39500;4.74374
2009.04.16;3;15.52500;3.27000;4.74771
2009.04.17;4;12.54500;2.62000;4.78817
2009.04.20;0;13.94100;5.07000;2.74970
2009.04.21;1;16.90000;3.66500;4.61119
2009.04.22;2;17.70000;4.35000;4.06897
2009.04.23;3;14.33500;3.38500;4.23486
2009.04.24;4;15.05500;3.35000;4.49403
2009.04.27;0;13.15600;2.28100;5.76765
2009.04.28;1;13.82800;2.94500;4.69542
2009.04.29;2;14.12500;3.73000;3.78686
2009.04.30;3;17.25200;3.32500;5.18857
2009.05.01;4;13.49700;2.79800;4.82380
2009.05.04;0;11.71500;1.79500;6.52646
2009.05.05;1;12.16500;2.05500;5.91971
2009.05.06;2;14.43400;2.36000;6.11610
2009.05.07;3;13.33000;2.81500;4.73535
2009.05.08;4;11.33800;2.01300;5.63239
2009.05.11;0;14.29400;3.72000;3.84247
2009.05.12;1;16.01000;3.18500;5.02669
2009.05.13;2;16.75000;3.91000;4.28389
2009.05.14;3;14.55000;2.77000;5.25271
2009.05.15;4;15.44500;2.88500;5.35355
2009.05.18;0;15.44100;4.88500;3.16090
2009.05.19;1;15.19500;2.57000;5.91245
2009.05.20;2;13.98500;2.31000;6.05411
2009.05.21;3;17.67000;3.23500;5.46213
2009.05.22;4;12.70500;2.91000;4.36598
2009.05.25;0;9.81900;1.72500;5.69217
2009.05.26;1;13.01000;1.99000;6.53769
2009.05.27;2;11.96000;1.94500;6.14910
2009.05.28;3;13.14000;2.90500;4.52324
2009.05.29;4;13.24500;2.47500;5.35152
2009.06.01;0;15.86000;5.71500;2.77515
2009.06.02;1;14.29000;2.35000;6.08085
2009.06.03;2;15.90500;4.77500;3.33089
2009.06.04;3;19.20000;3.40000;5.64706
2009.06.05;4;15.97000;3.62000;4.41160
2009.06.08;0;12.80100;2.95500;4.33198
2009.06.09;1;13.02000;2.59000;5.02703
2009.06.10;2;13.65500;2.83500;4.81658
2009.06.11;3;10.21300;2.11500;4.82884
2009.06.12;4;11.12000;2.10500;5.28266
2009.06.15;0;12.00300;2.98400;4.02245
2009.06.16;1;17.65600;3.89600;4.53183
2009.06.17;2;17.45600;3.76400;4.63762
2009.06.18;3;16.50500;3.49700;4.71976
2009.06.19;4;11.53500;2.23400;5.16338
2009.06.22;0;13.42500;2.49500;5.38076
2009.06.23;1;17.23500;2.81500;6.12256
2009.06.24;2;13.10500;2.13500;6.13817
2009.06.25;3;13.02600;2.59000;5.02934
2009.06.26;4;11.16400;1.53700;7.26350
2009.06.29;0;10.75500;2.60500;4.12860
2009.06.30;1;12.56900;2.08500;6.02830
2009.07.01;2;10.13500;1.81000;5.59945
2009.07.02;3;10.86000;2.48000;4.37903
2009.07.03;4;9.02000;1.44000;6.26389
2009.07.06;0;14.01100;3.86100;3.62885
2009.07.07;1;12.94500;2.64500;4.89414
2009.07.08;2;19.54000;6.39500;3.05551
2009.07.09;3;18.39000;4.25500;4.32197
2009.07.10;4;14.48700;3.82000;3.79241
2009.07.13;0;17.72700;3.85000;4.60442
2009.07.14;1;14.62500;2.31000;6.33117
2009.07.15;2;11.11500;2.77500;4.00541
2009.07.16;3;13.85500;2.02500;6.84198
2009.07.17;4;11.64000;2.23500;5.20805
2009.07.20;0;11.06000;2.81500;3.92895
2009.07.21;1;11.54500;2.90000;3.98103
2009.07.22;2;12.57500;2.30500;5.45553
2009.07.23;3;12.39000;3.79000;3.26913
2009.07.24;4;10.06400;1.81500;5.54490
2009.07.27;0;10.56000;2.32000;4.55172
2009.07.28;1;12.15500;3.31500;3.66667
2009.07.29;2;13.95500;2.48500;5.61569
2009.07.30;3;11.34000;2.83500;4.00000
2009.07.31;4;10.62500;1.67500;6.34328
2009.08.03;0;11.06100;3.71600;2.97659
2009.08.04;1;12.98700;2.16500;5.99861
2009.08.05;2;11.67000;2.02500;5.76296
2009.08.06;3;12.41500;2.44500;5.07771
2009.08.07;4;12.60500;4.11500;3.06318
2009.08.10;0;9.91800;3.60000;2.75500
2009.08.11;1;11.16500;2.38500;4.68134
2009.08.12;2;15.55000;3.78000;4.11376
2009.08.13;3;13.89000;2.98000;4.66107
2009.08.14;4;12.74500;2.39500;5.32150
2009.08.17;0;10.94200;3.38200;3.23536
2009.08.18;1;13.07000;3.07000;4.25733
2009.08.19;2;13.67500;3.89000;3.51542
2009.08.20;3;11.55000;2.17000;5.32258
2009.08.21;4;13.36500;3.02000;4.42550
2009.08.24;0;10.97000;2.00000;5.48500
2009.08.25;1;11.87000;2.11000;5.62559
2009.08.26;2;11.16000;1.89000;5.90476
2009.08.27;3;11.29500;2.14500;5.26573
2009.08.28;4;10.14600;1.64000;6.18659
2009.08.31;0;12.47800;2.13000;5.85822
2009.09.01;1;12.73000;2.94500;4.32258
2009.09.02;2;12.92500;1.52500;8.47541
2009.09.03;3;10.09500;2.34500;4.30490
2009.09.04;4;9.17000;1.87500;4.89067
2009.09.07;0;7.80200;1.67000;4.67186
