Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.03575;0.03162;1.13061
2009.01.02;4;0.35455;0.07670;4.62256
2009.01.05;0;0.34792;0.05523;6.29947
2009.01.06;1;0.32440;0.06585;4.92635
2009.01.07;2;0.31727;0.08348;3.80055
2009.01.08;3;0.32072;0.04941;6.49099
2009.01.09;4;0.29200;0.04341;6.72656
2009.01.12;0;0.30605;0.03584;8.53934
2009.01.13;1;0.35775;0.07812;4.57949
2009.01.14;2;0.33375;0.09473;3.52317
2009.01.15;3;0.41942;0.08670;4.83760
2009.01.16;4;0.39151;0.05851;6.69133
2009.01.19;0;0.28218;0.04834;5.83740
2009.01.20;1;0.36279;0.07663;4.73431
2009.01.21;2;0.39612;0.07084;5.59176
2009.01.22;3;0.37873;0.04881;7.75927
2009.01.23;4;0.33516;0.06240;5.37115
2009.01.26;0;0.37488;0.09813;3.82024
2009.01.27;1;0.31105;0.04907;6.33890
2009.01.28;2;0.34138;0.06813;5.01071
2009.01.29;3;0.32123;0.08228;3.90411
2009.01.30;4;0.33576;0.08573;3.91648
2009.02.02;0;0.34390;0.05178;6.64156
2009.02.03;1;0.33173;0.05289;6.27207
2009.02.04;2;0.34672;0.05664;6.12147
2009.02.05;3;0.37830;0.05389;7.01986
2009.02.06;4;0.35192;0.09727;3.61797
2009.02.09;0;0.36913;0.07940;4.64899
2009.02.10;1;0.39938;0.06574;6.07514
2009.02.11;2;0.33365;0.06188;5.39189
2009.02.12;3;0.36545;0.04375;8.35314
2009.02.13;4;0.27986;0.04145;6.75175
2009.02.16;0;0.24985;0.04298;5.81317
2009.02.17;1;0.28334;0.06885;4.11532
2009.02.18;2;0.27131;0.05142;5.27635
2009.02.19;3;0.26056;0.03232;8.06188
2009.02.20;4;0.28852;0.03805;7.58265
2009.02.23;0;0.31330;0.05619;5.57573
2009.02.24;1;0.25417;0.05495;4.62548
2009.02.25;2;0.24921;0.05870;4.24549
2009.02.26;3;0.22904;0.03725;6.14872
2009.02.27;4;0.25407;0.04939;5.14416
2009.03.02;0;0.31381;0.05967;5.25909
2009.03.03;1;0.25638;0.04020;6.37761
2009.03.04;2;0.25579;0.06918;3.69746
2009.03.05;3;0.25484;0.03993;6.38217
2009.03.06;4;0.25047;0.05131;4.88150
2009.03.08;6;0.01210;0.01210;1.00000
2009.03.09;0;0.23157;0.03979;5.81980
2009.03.10;1;0.27049;0.07820;3.45895
2009.03.11;2;0.26915;0.05364;5.01771
2009.03.12;3;0.27580;0.05530;4.98734
2009.03.13;4;0.22505;0.03042;7.39809
2009.03.15;6;0.01392;0.01392;1.00000
2009.03.16;0;0.21274;0.04506;4.72126
2009.03.17;1;0.21498;0.03595;5.97997
2009.03.18;2;0.24579;0.05907;4.16100
2009.03.19;3;0.23687;0.03917;6.04723
2009.03.20;4;0.21241;0.03918;5.42139
2009.03.22;6;0.01014;0.01014;1.00000
2009.03.23;0;0.22615;0.04685;4.82711
2009.03.24;1;0.24503;0.07004;3.49843
2009.03.25;2;0.26795;0.08556;3.13172
2009.03.26;3;0.24471;0.06770;3.61462
2009.03.27;4;0.23516;0.03584;6.56138
2009.03.30;0;0.22571;0.05063;4.45803
2009.03.31;1;0.23656;0.06427;3.68072
2009.04.01;2;0.26991;0.04991;5.40793
2009.04.02;3;0.25239;0.04078;6.18906
2009.04.03;4;0.30197;0.06331;4.76970
2009.04.06;0;0.25079;0.03710;6.75984
2009.04.07;1;0.26557;0.06057;4.38451
2009.04.08;2;0.19739;0.03755;5.25672
2009.04.09;3;0.20264;0.03369;6.01484
2009.04.10;4;0.13204;0.01366;9.66618
2009.04.13;0;0.18512;0.03743;4.94577
2009.04.14;1;0.19652;0.05752;3.41655
2009.04.15;2;0.24104;0.05683;4.24142
2009.04.16;3;0.29000;0.05793;5.00604
2009.04.17;4;0.19205;0.03869;4.96381
2009.04.20;0;0.24141;0.06317;3.82159
2009.04.21;1;0.22924;0.03827;5.99007
2009.04.22;2;0.25381;0.04905;5.17452
2009.04.23;3;0.20542;0.04241;4.84367
2009.04.24;4;0.22149;0.07089;3.12442
2009.04.27;0;0.22911;0.03134;7.31047
2009.04.28;1;0.23291;0.04713;4.94186
2009.04.29;2;0.23028;0.06612;3.48276
2009.04.30;3;0.29230;0.05291;5.52448
2009.05.01;4;0.23730;0.03290;7.21277
2009.05.04;0;0.19203;0.02830;6.78551
2009.05.05;1;0.22346;0.03792;5.89293
2009.05.06;2;0.20686;0.03327;6.21761
2009.05.07;3;0.29262;0.08385;3.48980
2009.05.08;4;0.21164;0.03087;6.85585
2009.05.11;0;0.22552;0.03874;5.82137
2009.05.12;1;0.23730;0.03086;7.68957
2009.05.13;2;0.25310;0.06193;4.08687
2009.05.14;3;0.21938;0.03081;7.12042
2009.05.15;4;0.20150;0.04756;4.23675
2009.05.18;0;0.17806;0.02443;7.28858
2009.05.19;1;0.18256;0.02797;6.52699
2009.05.20;2;0.20665;0.05678;3.63949
2009.05.21;3;0.22609;0.03897;5.80164
2009.05.22;4;0.19836;0.04180;4.74545
2009.05.25;0;0.16433;0.02813;5.84181
2009.05.26;1;0.17772;0.04819;3.68790
2009.05.27;2;0.19662;0.05210;3.77390
2009.05.28;3;0.23055;0.06385;3.61081
2009.05.29;4;0.21808;0.04516;4.82905
2009.06.01;0;0.21560;0.02678;8.05078
2009.06.02;1;0.17236;0.02974;5.79556
2009.06.03;2;0.21422;0.06716;3.18970
2009.06.04;3;0.25953;0.04955;5.23774
2009.06.05;4;0.25672;0.04382;5.85851
2009.06.08;0;0.21020;0.06641;3.16519
2009.06.09;1;0.17970;0.02984;6.02212
2009.06.10;2;0.19847;0.03398;5.84079
2009.06.11;3;0.21068;0.06004;3.50899
2009.06.12;4;0.16033;0.02636;6.08232
2009.06.15;0;0.19270;0.03867;4.98319
2009.06.16;1;0.19522;0.02810;6.94733
2009.06.17;2;0.22568;0.03993;5.65189
2009.06.18;3;0.19216;0.05548;3.46359
2009.06.19;4;0.16036;0.02316;6.92401
2009.06.22;0;0.16523;0.03814;4.33220
2009.06.23;1;0.18916;0.04265;4.43517
2009.06.24;2;0.17851;0.03291;5.42419
2009.06.25;3;0.19229;0.04018;4.78571
2009.06.26;4;0.19324;0.03362;5.74777
2009.06.29;0;0.15353;0.02417;6.35209
2009.06.30;1;0.16781;0.02760;6.08007
2009.07.01;2;0.16287;0.03794;4.29283
2009.07.02;3;0.18651;0.04615;4.04139
2009.07.03;4;0.14231;0.03404;4.18067
2009.07.06;0;0.16697;0.04652;3.58921
2009.07.07;1;0.16731;0.02943;5.68502
2009.07.08;2;0.18490;0.02764;6.68958
2009.07.09;3;0.16769;0.04545;3.68955
2009.07.10;4;0.19073;0.02901;6.57463
2009.07.13;0;0.17051;0.03000;5.68367
2009.07.14;1;0.16257;0.02742;5.92888
2009.07.15;2;0.15909;0.03764;4.22662
2009.07.16;3;0.17713;0.03751;4.72221
2009.07.17;4;0.14754;0.02171;6.79595
2009.07.20;0;0.13324;0.02165;6.15427
2009.07.21;1;0.16362;0.02999;5.45582
2009.07.22;2;0.16285;0.02524;6.45206
2009.07.23;3;0.13628;0.03431;3.97202
2009.07.24;4;0.12830;0.02553;5.02546
2009.07.27;0;0.15162;0.02898;5.23188
2009.07.28;1;0.13184;0.02705;4.87394
2009.07.29;2;0.14943;0.01947;7.67488
2009.07.30;3;0.16685;0.04457;3.74355
2009.07.31;4;0.16189;0.02068;7.82834
2009.08.03;0;0.14629;0.02198;6.65560
2009.08.04;1;0.16524;0.03611;4.57602
2009.08.05;2;0.11948;0.01941;6.15559
2009.08.06;3;0.16344;0.03842;4.25403
2009.08.07;4;0.16240;0.03770;4.30769
2009.08.10;0;0.15052;0.05935;2.53614
2009.08.11;1;0.14031;0.03889;3.60787
2009.08.12;2;0.15731;0.04355;3.61217
2009.08.13;3;0.14229;0.02535;5.61302
2009.08.14;4;0.19271;0.03704;5.20275
2009.08.17;0;0.17956;0.02287;7.85133
2009.08.18;1;0.14999;0.02419;6.20050
2009.08.19;2;0.13839;0.01528;9.05694
2009.08.20;3;0.13201;0.01967;6.71124
2009.08.21;4;0.14772;0.03626;4.07391
2009.08.24;0;0.14197;0.03314;4.28395
2009.08.25;1;0.10849;0.02096;5.17605
2009.08.26;2;0.12425;0.01901;6.53603
2009.08.27;3;0.13387;0.03086;4.33798
2009.08.28;4;0.13310;0.01996;6.66834
2009.08.31;0;0.12443;0.01754;7.09407
2009.09.01;1;0.15111;0.03399;4.44572
2009.09.02;2;0.14777;0.03624;4.07754
2009.09.03;3;0.13388;0.01844;7.26030
2009.09.04;4;0.12973;0.03399;3.81671
2009.09.07;0;0.09439;0.02922;3.23032
2009.09.08;1;0.11473;0.02345;4.89254
2009.09.09;2;0.11948;0.01539;7.76348
2009.09.10;3;0.15526;0.02568;6.04595
2009.09.11;4;0.11985;0.02301;5.20860
2009.09.14;0;0.13989;0.02790;5.01398
2009.09.15;1;0.12663;0.03594;3.52337
2009.09.16;2;0.12852;0.03532;3.63873
2009.09.17;3;0.11564;0.02227;5.19264
2009.09.18;4;0.10658;0.03062;3.48073
2009.09.21;0;0.10597;0.01618;6.54944
2009.09.22;1;0.14772;0.04105;3.59854
2009.09.23;2;0.15577;0.03377;4.61267
2009.09.24;3;0.15402;0.05137;2.99825
2009.09.25;4;0.15712;0.03641;4.31530
2009.09.28;0;0.17049;0.03394;5.02328
2009.09.29;1;0.14016;0.03494;4.01145
2009.09.30;2;0.14508;0.03016;4.81034
2009.10.01;3;0.14947;0.02917;5.12410
2009.10.02;4;0.16553;0.03147;5.25993
2009.10.05;0;0.15876;0.05256;3.02055
2009.10.06;1;0.15515;0.02953;5.25398
2009.10.07;2;0.13326;0.03140;4.24395
2009.10.08;3;0.13679;0.02630;5.20114
2009.10.09;4;0.12091;0.02134;5.66589
2009.10.12;0;0.14328;0.03344;4.28469
2009.10.13;1;0.16186;0.04014;4.03239
2009.10.14;2;0.14007;0.02500;5.60280
2009.10.15;3;0.16887;0.04928;3.42675
2009.10.16;4;0.15984;0.03718;4.29909
2009.10.19;0;0.14418;0.04822;2.99005
2009.10.20;1;0.13248;0.03370;3.93116
2009.10.21;2;0.18537;0.03323;5.57839
2009.10.22;3;0.16374;0.02835;5.77566
2009.10.23;4;0.16616;0.05035;3.30010
2009.10.25;6;0.00440;0.00440;1.00000
2009.10.26;0;0.13897;0.03303;4.20739
2009.10.27;1;0.14349;0.02777;5.16709
2009.10.28;2;0.20215;0.07847;2.57614
2009.10.29;3;0.18639;0.03621;5.14747
2009.10.30;4;0.20287;0.03967;5.11394
2009.11.02;0;0.20937;0.04858;4.30980
2009.11.03;1;0.18463;0.03152;5.85755
2009.11.04;2;0.18994;0.01955;9.71560
2009.11.05;3;0.14993;0.02466;6.07989
2009.11.06;4;0.13100;0.02137;6.13009
2009.11.09;0;0.14259;0.03172;4.49527
2009.11.10;1;0.15137;0.02030;7.45665
2009.11.11;2;0.14275;0.02743;5.20416
2009.11.12;3;0.13196;0.03463;3.81057
2009.11.13;4;0.12854;0.02841;4.52446
2009.11.16;0;0.12276;0.01479;8.30020
2009.11.17;1;0.12321;0.02116;5.82278
2009.11.18;2;0.11574;0.01803;6.41930
2009.11.19;3;0.14814;0.04197;3.52966
2009.11.20;4;0.13501;0.01894;7.12830
2009.11.23;0;0.13800;0.02896;4.76519
2009.11.24;1;0.14582;0.02978;4.89657
2009.11.25;2;0.12296;0.01806;6.80842
2009.11.26;3;0.16522;0.03377;4.89251
2009.11.27;4;0.21271;0.02613;8.14045
2009.11.30;0;0.15734;0.02475;6.35717
2009.12.01;1;0.15906;0.02729;5.82851
2009.12.02;2;0.12055;0.03257;3.70126
2009.12.03;3;0.12247;0.02150;5.69628
2009.12.04;4;0.13304;0.02280;5.83509
2009.12.07;0;0.13598;0.01663;8.17679
2009.12.08;1;0.14106;0.02430;5.80494
2009.12.09;2;0.16119;0.04659;3.45976
2009.12.10;3;0.14040;0.04136;3.39458
2009.12.11;4;0.11374;0.01580;7.19873
2009.12.14;0;0.11817;0.01758;6.72184
2009.12.15;1;0.11431;0.01738;6.57710
2009.12.16;2;0.13151;0.02340;5.62009
2009.12.17;3;0.15135;0.02512;6.02508
2009.12.18;4;0.12425;0.02045;6.07579
2009.12.21;0;0.12281;0.01485;8.27003
2009.12.22;1;0.11966;0.01974;6.06180
2009.12.23;2;0.10458;0.02720;3.84485
2009.12.24;3;0.10291;0.01467;7.01500
2009.12.25;4;0.08894;0.01629;5.45979
2009.12.28;0;0.08672;0.01560;5.55897
2009.12.29;1;0.13022;0.05432;2.39728
2009.12.30;2;0.11807;0.02471;4.77823
2009.12.31;3;0.16704;0.02933;5.69519
2010.01.01;4;0.04145;0.01330;3.11654
2010.01.04;0;0.15382;0.04646;3.31080
2010.01.05;1;0.14269;0.02758;5.17368
2010.01.06;2;0.13218;0.02710;4.87749
2010.01.07;3;0.11055;0.01570;7.04140
2010.01.08;4;0.11108;0.02165;5.13072
2010.01.11;0;0.10465;0.02079;5.03367
2010.01.12;1;0.11625;0.02794;4.16070
2010.01.13;2;0.10672;0.02547;4.19003
2010.01.14;3;0.09960;0.01495;6.66221
2010.01.15;4;0.12880;0.02034;6.33235
2010.01.18;0;0.11416;0.01630;7.00368
2010.01.19;1;0.13173;0.02021;6.51806
2010.01.20;2;0.13403;0.04266;3.14182
2010.01.21;3;0.14826;0.03487;4.25179
2010.01.22;4;0.15139;0.02228;6.79488
2010.01.25;0;0.13566;0.03063;4.42899
2010.01.26;1;0.16208;0.02764;5.86397
2010.01.27;2;0.14361;0.02266;6.33760
2010.01.28;3;0.14027;0.01633;8.58971
2010.01.29;4;0.14587;0.02997;4.86720
2010.02.01;0;0.13689;0.02940;4.65612
2010.02.02;1;0.11631;0.02097;5.54649
2010.02.03;2;0.12976;0.02848;4.55618
2010.02.04;3;0.16524;0.03906;4.23041
2010.02.05;4;0.16309;0.02967;5.49680
2010.02.08;0;0.13242;0.02966;4.46460
2010.02.09;1;0.14044;0.03228;4.35068
2010.02.10;2;0.11990;0.02504;4.78834
2010.02.11;3;0.13201;0.02834;4.65808
2010.02.12;4;0.13168;0.01506;8.74369
2010.02.15;0;0.09313;0.01147;8.11944
2010.02.16;1;0.11649;0.02682;4.34340
2010.02.17;2;0.10715;0.01490;7.19128
2010.02.18;3;0.13738;0.02630;5.22357
2010.02.19;4;0.14557;0.02210;6.58688
2010.02.22;0;0.10895;0.01395;7.81004
2010.02.23;1;0.14361;0.04210;3.41116
2010.02.24;2;0.13364;0.02510;5.32430
2010.02.25;3;0.14967;0.02875;5.20591
2010.02.26;4;0.13747;0.03875;3.54761
2010.03.01;0;0.15582;0.04455;3.49764
2010.03.02;1;0.14190;0.02020;7.02475
2010.03.03;2;0.13780;0.03552;3.87950
2010.03.04;3;0.12522;0.02459;5.09231
2010.03.05;4;0.13137;0.03135;4.19043
2010.03.08;0;0.12356;0.02794;4.42233
2010.03.09;1;0.09916;0.02065;4.80194
2010.03.10;2;0.15342;0.02975;5.15697
2010.03.11;3;0.11954;0.02640;4.52803
2010.03.12;4;0.11325;0.02435;4.65092
2010.03.14;6;0.00416;0.00416;1.00000
2010.03.15;0;0.10249;0.02310;4.43680
2010.03.16;1;0.12949;0.02360;5.48686
2010.03.17;2;0.13671;0.02400;5.69625
2010.03.18;3;0.11322;0.01820;6.22088
2010.03.19;4;0.11290;0.02000;5.64500
2010.03.21;6;0.00698;0.00698;1.00000
2010.03.22;0;0.12441;0.02580;4.82209
2010.03.23;1;0.11397;0.01805;6.31413
2010.03.24;2;0.12342;0.02220;5.55946
2010.03.25;3;0.11840;0.02545;4.65226
2010.03.26;4;0.12427;0.02945;4.21969
2010.03.29;0;0.10874;0.01740;6.24943
2010.03.30;1;0.09550;0.02185;4.37071
2010.03.31;2;0.11498;0.02588;4.44281
2010.04.01;3;0.13479;0.03142;4.28994
2010.04.02;4;0.08842;0.01275;6.93490
2010.04.05;0;0.09677;0.01885;5.13369
2010.04.06;1;0.12503;0.01823;6.85848
2010.04.07;2;0.13458;0.02480;5.42661
2010.04.08;3;0.11564;0.01757;6.58167
2010.04.09;4;0.10612;0.02090;5.07751
2010.04.12;0;0.11003;0.02315;4.75292
2010.04.13;1;0.11197;0.01530;7.31830
2010.04.14;2;0.12177;0.01980;6.15000
2010.04.15;3;0.11281;0.02120;5.32123
2010.04.16;4;0.12934;0.01775;7.28676
2010.04.19;0;0.13119;0.01760;7.45398
2010.04.20;1;0.13389;0.02295;5.83399
2010.04.21;2;0.10864;0.01870;5.80963
2010.04.22;3;0.10472;0.01345;7.78587
2010.04.23;4;0.12902;0.02740;4.70876
2010.04.26;0;0.11439;0.02065;5.53947
2010.04.27;1;0.14183;0.02605;5.44453
2010.04.28;2;0.14750;0.04100;3.59756
2010.04.29;3;0.13336;0.02091;6.37781
2010.04.30;4;0.13585;0.03643;3.72907
2010.05.03;0;0.10079;0.02610;3.86169
2010.05.04;1;0.12995;0.02930;4.43515
2010.05.05;2;0.11785;0.01540;7.65260
2010.05.06;3;0.22115;0.03580;6.17737
2010.05.07;4;0.34800;0.06390;5.44601
2010.05.10;0;0.24670;0.04290;5.75058
2010.05.11;1;0.17074;0.03955;4.31707
2010.05.12;2;0.16405;0.02605;6.29750
2010.05.13;3;0.13495;0.04270;3.16042
2010.05.14;4;0.15760;0.02600;6.06154
2010.05.17;0;0.18810;0.05035;3.73585
2010.05.18;1;0.15895;0.02120;7.49764
2010.05.19;2;0.25450;0.08560;2.97313
2010.05.20;3;0.33755;0.06675;5.05693
2010.05.21;4;0.35520;0.04215;8.42705
2010.05.24;0;0.19312;0.02535;7.61815
2010.05.25;1;0.19535;0.03600;5.42639
2010.05.26;2;0.20765;0.04610;4.50434
2010.05.27;3;0.22965;0.05055;4.54303
2010.05.28;4;0.18526;0.02505;7.39561
2010.05.31;0;0.20455;0.05425;3.77051
2010.06.01;1;0.19050;0.04285;4.44574
2010.06.02;2;0.18705;0.03860;4.84585
2010.06.03;3;0.16395;0.02520;6.50595
2010.06.04;4;0.17390;0.03510;4.95442
2010.06.07;0;0.25430;0.05650;4.50088
2010.06.08;1;0.20130;0.04100;4.90976
2010.06.09;2;0.17250;0.02190;7.87671
2010.06.10;3;0.20701;0.04376;4.73058
2010.06.11;4;0.17735;0.06170;2.87439
2010.06.14;0;0.13833;0.02055;6.73139
2010.06.15;1;0.13470;0.01970;6.83756
2010.06.16;2;0.14100;0.02410;5.85062
2010.06.17;3;0.13340;0.01480;9.01351
2010.06.18;4;0.11651;0.01675;6.95582
2010.06.21;0;0.14510;0.02355;6.16136
2010.06.22;1;0.13771;0.02960;4.65236
2010.06.23;2;0.14555;0.02105;6.91449
2010.06.24;3;0.15810;0.03665;4.31378
2010.06.25;4;0.15764;0.02660;5.92632
2010.06.28;0;0.13107;0.03327;3.93959
2010.06.29;1;0.15910;0.05025;3.16617
2010.06.30;2;0.16995;0.02525;6.73069
2010.07.01;3;0.18810;0.03495;5.38197
2010.07.02;4;0.18796;0.03070;6.12248
2010.07.05;0;0.14524;0.02725;5.32991
2010.07.06;1;0.16600;0.03485;4.76327
2010.07.07;2;0.15590;0.03737;4.17180
2010.07.08;3;0.16410;0.02845;5.76801
2010.07.09;4;0.12762;0.03170;4.02587
2010.07.12;0;0.12804;0.01795;7.13315
2010.07.13;1;0.14315;0.02100;6.81667
2010.07.14;2;0.13117;0.02250;5.82978
2010.07.15;3;0.15974;0.03535;4.51881
2010.07.16;4;0.17769;0.04219;4.21166
2010.07.19;0;0.15414;0.02510;6.14104
2010.07.20;1;0.14728;0.03375;4.36385
2010.07.21;2;0.15244;0.02410;6.32531
2010.07.22;3;0.13637;0.03900;3.49667
2010.07.23;4;0.16235;0.03095;5.24556
2010.07.26;0;0.12655;0.02325;5.44301
2010.07.27;1;0.11683;0.03020;3.86854
2010.07.28;2;0.15853;0.02538;6.24626
2010.07.29;3;0.14232;0.02409;5.90785
2010.07.30;4;0.16475;0.02110;7.80806
2010.08.02;0;0.12515;0.02230;5.61211
2010.08.03;1;0.12696;0.02020;6.28515
2010.08.04;2;0.12442;0.02110;5.89668
2010.08.05;3;0.13900;0.02990;4.64883
2010.08.06;4;0.13655;0.02590;5.27220
2010.08.09;0;0.11580;0.02020;5.73267
2010.08.10;1;0.15137;0.01965;7.70331
2010.08.11;2;0.13668;0.01930;7.08187
2010.08.12;3;0.14585;0.01875;7.77867
2010.08.13;4;0.14420;0.03580;4.02793
2010.08.16;0;0.14071;0.02750;5.11673
2010.08.17;1;0.13368;0.04140;3.22899
2010.08.18;2;0.10945;0.01580;6.92722
2010.08.19;3;0.15892;0.03910;4.06445
2010.08.20;4;0.13370;0.01725;7.75072
2010.08.23;0;0.11882;0.02670;4.45019
2010.08.24;1;0.12611;0.01550;8.13613
2010.08.25;2;0.15445;0.03595;4.29624
2010.08.26;3;0.14945;0.02030;7.36207
2010.08.27;4;0.14150;0.03925;3.60510
2010.08.30;0;0.11513;0.02050;5.61610
2010.08.31;1;0.15655;0.02650;5.90755
2010.09.01;2;0.13620;0.03070;4.43648
2010.09.02;3;0.12655;0.03155;4.01109
2010.09.03;4;0.11442;0.02265;5.05166
2010.09.06;0;0.12400;0.03120;3.97436
2010.09.07;1;0.11897;0.02150;5.53349
2010.09.08;2;0.11925;0.01935;6.16279
2010.09.09;3;0.12910;0.02885;4.47487
2010.09.10;4;0.10607;0.02580;4.11124
2010.09.13;0;0.11602;0.02197;5.28084
2010.09.14;1;0.14345;0.02215;6.47630
2010.09.15;2;0.13195;0.02860;4.61364
2010.09.16;3;0.13635;0.02660;5.12594
2010.09.17;4;0.12220;0.01560;7.83333
2010.09.20;0;0.12934;0.03095;4.17900
2010.09.21;1;0.14555;0.02120;6.86557
2010.09.22;2;0.14170;0.02035;6.96314
2010.09.23;3;0.14150;0.04050;3.49383
2010.09.24;4;0.12590;0.01700;7.40588
2010.09.27;0;0.10200;0.01545;6.60194
2010.09.28;1;0.11500;0.02915;3.94511
2010.09.29;2;0.11122;0.01690;6.58107
2010.09.30;3;0.16652;0.02670;6.23670
2010.10.01;4;0.14045;0.02505;5.60679
2010.10.04;0;0.10348;0.02010;5.14826
2010.10.05;1;0.12955;0.02720;4.76287
2010.10.06;2;0.11595;0.02610;4.44253
2010.10.07;3;0.13915;0.02845;4.89104
2010.10.08;4;0.15653;0.03235;4.83864
2010.10.11;0;0.11080;0.01670;6.63473
2010.10.12;1;0.12254;0.03540;3.46158
2010.10.13;2;0.11784;0.02565;4.59415
2010.10.14;3;0.14127;0.02784;5.07435
2010.10.15;4;0.12764;0.01805;7.07147
2010.10.18;0;0.11453;0.02690;4.25762
2010.10.19;1;0.14534;0.01955;7.43427
2010.10.20;2;0.12345;0.01810;6.82044
2010.10.21;3;0.14485;0.01905;7.60367
2010.10.22;4;0.12007;0.01405;8.54591
2010.10.25;0;0.12919;0.01902;6.79232
