Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.03414;0.00862;3.96056
2009.01.02;4;0.17905;0.04470;4.00559
2009.01.05;0;0.14782;0.03145;4.70016
2009.01.06;1;0.17032;0.04895;3.47947
2009.01.07;2;0.15695;0.04790;3.27662
2009.01.08;3;0.18640;0.03930;4.74300
2009.01.09;4;0.14689;0.02325;6.31785
2009.01.12;0;0.14792;0.03410;4.33783
2009.01.13;1;0.12300;0.03600;3.41667
2009.01.14;2;0.13225;0.02175;6.08046
2009.01.15;3;0.12795;0.02100;6.09286
2009.01.16;4;0.15670;0.03530;4.43909
2009.01.19;0;0.15160;0.04955;3.05954
2009.01.20;1;0.21390;0.05795;3.69111
2009.01.21;2;0.21015;0.04070;5.16339
2009.01.22;3;0.17350;0.03340;5.19461
2009.01.23;4;0.16355;0.03955;4.13527
2009.01.26;0;0.18451;0.04475;4.12313
2009.01.27;1;0.16735;0.03150;5.31270
2009.01.28;2;0.15565;0.02500;6.22600
2009.01.29;3;0.15325;0.03395;4.51399
2009.01.30;4;0.14300;0.03580;3.99441
2009.02.02;0;0.15300;0.04355;3.51320
2009.02.03;1;0.15427;0.03300;4.67485
2009.02.04;2;0.14137;0.02535;5.57673
2009.02.05;3;0.13795;0.03390;4.06932
2009.02.06;4;0.12990;0.02565;5.06433
2009.02.09;0;0.14465;0.02840;5.09331
2009.02.10;1;0.16520;0.04590;3.59913
2009.02.11;2;0.14935;0.02505;5.96208
2009.02.12;3;0.13783;0.02775;4.96685
2009.02.13;4;0.14575;0.03520;4.14062
2009.02.16;0;0.10225;0.01675;6.10448
2009.02.17;1;0.11620;0.01880;6.18085
2009.02.18;2;0.10567;0.02070;5.10483
2009.02.19;3;0.11070;0.02425;4.56495
2009.02.20;4;0.12002;0.03315;3.62051
2009.02.23;0;0.13549;0.02975;4.55429
2009.02.24;1;0.13351;0.02040;6.54461
2009.02.25;2;0.12900;0.04325;2.98266
2009.02.26;3;0.11600;0.02235;5.19016
2009.02.27;4;0.12170;0.02550;4.77255
2009.03.02;0;0.12800;0.03375;3.79259
2009.03.03;1;0.11925;0.01735;6.87320
2009.03.04;2;0.09932;0.02145;4.63030
2009.03.05;3;0.10488;0.01965;5.33740
2009.03.06;4;0.11373;0.02675;4.25159
2009.03.08;6;0.00549;0.00549;1.00000
2009.03.09;0;0.11391;0.04395;2.59181
2009.03.10;1;0.11575;0.02165;5.34642
2009.03.11;2;0.12325;0.02345;5.25586
2009.03.12;3;0.13960;0.02830;4.93286
2009.03.13;4;0.11340;0.02065;5.49153
2009.03.15;6;0.00303;0.00303;1.00000
2009.03.16;0;0.12111;0.03455;3.50535
2009.03.17;1;0.09855;0.01730;5.69653
2009.03.18;2;0.14266;0.04935;2.89078
2009.03.19;3;0.13127;0.04375;3.00046
2009.03.20;4;0.12295;0.01960;6.27296
2009.03.22;6;0.00285;0.00285;1.00000
2009.03.23;0;0.12966;0.01980;6.54848
2009.03.24;1;0.14053;0.02302;6.10469
2009.03.25;2;0.12335;0.02190;5.63242
2009.03.26;3;0.11395;0.02145;5.31235
2009.03.27;4;0.10293;0.02280;4.51447
2009.03.30;0;0.11493;0.01855;6.19569
2009.03.31;1;0.10732;0.01370;7.83358
2009.04.01;2;0.09720;0.01955;4.97187
2009.04.02;3;0.11415;0.03030;3.76733
2009.04.03;4;0.11052;0.01975;5.59595
2009.04.06;0;0.10845;0.02890;3.75260
2009.04.07;1;0.11055;0.01945;5.68380
2009.04.08;2;0.09815;0.01115;8.80269
2009.04.09;3;0.10188;0.01945;5.23805
2009.04.10;4;0.05411;0.00685;7.89927
2009.04.13;0;0.08331;0.02680;3.10858
2009.04.14;1;0.09140;0.01195;7.64854
2009.04.15;2;0.10635;0.02155;4.93503
2009.04.16;3;0.10655;0.02280;4.67325
2009.04.17;4;0.09027;0.01855;4.86631
2009.04.20;0;0.09412;0.03105;3.03124
2009.04.21;1;0.11927;0.02400;4.96958
2009.04.22;2;0.12496;0.02885;4.33137
2009.04.23;3;0.10672;0.03025;3.52793
2009.04.24;4;0.11120;0.01975;5.63038
2009.04.27;0;0.09688;0.01795;5.39721
2009.04.28;1;0.09960;0.01755;5.67521
2009.04.29;2;0.09167;0.02050;4.47171
2009.04.30;3;0.13366;0.02445;5.46667
2009.05.01;4;0.09617;0.01810;5.31326
2009.05.04;0;0.08286;0.01860;4.45484
2009.05.05;1;0.10704;0.01800;5.94667
2009.05.06;2;0.10021;0.01590;6.30252
2009.05.07;3;0.10710;0.02540;4.21654
2009.05.08;4;0.09385;0.02800;3.35179
2009.05.11;0;0.09269;0.01775;5.22197
2009.05.12;1;0.11159;0.02790;3.99964
2009.05.13;2;0.11540;0.02455;4.70061
2009.05.14;3;0.09610;0.01875;5.12533
2009.05.15;4;0.09508;0.01545;6.15405
2009.05.18;0;0.08970;0.02330;3.84979
2009.05.19;1;0.09918;0.02285;4.34048
2009.05.20;2;0.10676;0.03460;3.08555
2009.05.21;3;0.15283;0.03780;4.04312
2009.05.22;4;0.10970;0.01895;5.78892
2009.05.25;0;0.06491;0.01020;6.36373
2009.05.26;1;0.09595;0.01920;4.99740
2009.05.27;2;0.10518;0.01650;6.37455
2009.05.28;3;0.10934;0.01630;6.70798
2009.05.29;4;0.10702;0.02825;3.78832
2009.06.01;0;0.11337;0.03350;3.38418
