Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.27880;0.11286;2.47032
2009.01.02;4;0.99213;0.23683;4.18921
2009.01.05;0;1.06879;0.23569;4.53473
2009.01.06;1;1.03611;0.23463;4.41593
2009.01.07;2;1.24930;0.23622;5.28871
2009.01.08;3;1.15749;0.27095;4.27197
2009.01.09;4;1.12210;0.19976;5.61724
2009.01.12;0;0.91415;0.17863;5.11756
2009.01.13;1;1.08299;0.14902;7.26741
2009.01.14;2;1.06679;0.18278;5.83647
2009.01.15;3;1.14832;0.19983;5.74648
2009.01.16;4;1.01770;0.16085;6.32701
2009.01.19;0;0.91296;0.15345;5.94956
2009.01.20;1;0.97476;0.17134;5.68904
2009.01.21;2;1.32337;0.39113;3.38345
2009.01.22;3;1.37264;0.19351;7.09338
2009.01.23;4;1.22796;0.20727;5.92445
2009.01.26;0;1.22653;0.18581;6.60099
2009.01.27;1;1.29004;0.21862;5.90083
2009.01.28;2;1.10427;0.23843;4.63142
2009.01.29;3;1.10796;0.14957;7.40764
2009.01.30;4;1.01962;0.13228;7.70804
2009.02.02;0;0.98372;0.16638;5.91249
2009.02.03;1;1.04129;0.18610;5.59533
2009.02.04;2;0.95690;0.12694;7.53821
2009.02.05;3;1.16509;0.39994;2.91316
2009.02.06;4;1.08749;0.19695;5.52166
2009.02.09;0;1.08796;0.20423;5.32713
2009.02.10;1;1.17437;0.20631;5.69226
2009.02.11;2;0.93990;0.13619;6.90139
2009.02.12;3;0.93412;0.16958;5.50843
2009.02.13;4;1.02770;0.21243;4.83783
2009.02.16;0;0.83062;0.09300;8.93140
2009.02.17;1;1.05312;0.16024;6.57214
2009.02.18;2;0.98169;0.24835;3.95285
2009.02.19;3;0.95432;0.15826;6.03008
2009.02.20;4;1.10381;0.24293;4.54374
2009.02.23;0;1.31553;0.29067;4.52585
2009.02.24;1;1.17468;0.35710;3.28950
2009.02.25;2;1.37328;0.19051;7.20844
2009.02.26;3;0.96387;0.18749;5.14091
2009.02.27;4;1.30116;0.23655;5.50057
2009.03.02;0;1.17408;0.13455;8.72598
2009.03.03;1;0.97823;0.21285;4.59587
2009.03.04;2;0.96993;0.18106;5.35695
2009.03.05;3;1.16722;0.25806;4.52306
2009.03.06;4;1.34198;0.25332;5.29757
2009.03.08;6;0.02704;0.02704;1.00000
2009.03.09;0;0.99914;0.17593;5.67919
2009.03.10;1;0.98734;0.16199;6.09507
2009.03.11;2;1.06621;0.23257;4.58447
2009.03.12;3;1.51429;0.37601;4.02726
2009.03.13;4;1.16395;0.20294;5.73544
2009.03.15;6;0.01941;0.01941;1.00000
2009.03.16;0;0.96901;0.14832;6.53324
2009.03.17;1;0.82568;0.11300;7.30690
2009.03.18;2;1.28276;0.41473;3.09300
2009.03.19;3;1.45621;0.39446;3.69165
2009.03.20;4;1.22223;0.27998;4.36542
2009.03.22;6;0.02001;0.02001;1.00000
2009.03.23;0;1.16319;0.25167;4.62189
2009.03.24;1;1.20103;0.21942;5.47366
2009.03.25;2;1.29720;0.18003;7.20547
2009.03.26;3;0.95842;0.19385;4.94413
2009.03.27;4;1.11300;0.23577;4.72070
2009.03.30;0;1.24930;0.30759;4.06158
2009.03.31;1;1.22803;0.28557;4.30028
2009.04.01;2;1.24518;0.15361;8.10611
2009.04.02;3;1.11401;0.20124;5.53573
2009.04.03;4;1.04780;0.14366;7.29361
2009.04.06;0;0.94883;0.17259;5.49760
2009.04.07;1;1.11601;0.16830;6.63108
2009.04.08;2;1.07564;0.19474;5.52347
2009.04.09;3;0.81993;0.13003;6.30570
2009.04.10;4;0.66852;0.07524;8.88517
2009.04.13;0;0.71996;0.11731;6.13724
2009.04.14;1;1.00865;0.22337;4.51560
2009.04.15;2;1.04505;0.20433;5.11452
2009.04.16;3;0.90193;0.13321;6.77074
2009.04.17;4;0.89571;0.13550;6.61041
2009.04.20;0;0.97593;0.23380;4.17421
2009.04.21;1;0.95871;0.15831;6.05590
2009.04.22;2;1.01655;0.15544;6.53982
2009.04.23;3;0.93362;0.11559;8.07700
2009.04.24;4;1.04620;0.20443;5.11764
2009.04.27;0;0.81998;0.09448;8.67887
2009.04.28;1;0.92365;0.15624;5.91174
2009.04.29;2;0.97914;0.20580;4.75773
2009.04.30;3;1.03308;0.24390;4.23567
2009.05.01;4;0.91688;0.14356;6.38674
2009.05.04;0;0.77307;0.11558;6.68861
2009.05.05;1;0.81129;0.08851;9.16608
2009.05.06;2;0.99909;0.15245;6.55356
2009.05.07;3;0.91271;0.18695;4.88211
2009.05.08;4;0.87083;0.16206;5.37350
2009.05.11;0;0.98393;0.21210;4.63899
2009.05.12;1;1.09940;0.23045;4.77067
2009.05.13;2;1.15705;0.20344;5.68743
2009.05.14;3;0.90278;0.10638;8.48637
2009.05.15;4;1.03856;0.19820;5.23996
2009.05.18;0;1.02428;0.25464;4.02246
2009.05.19;1;0.89613;0.10991;8.15331
2009.05.20;2;0.96492;0.20772;4.64529
2009.05.21;3;1.07226;0.16765;6.39582
2009.05.22;4;0.94154;0.14624;6.43832
2009.05.25;0;0.75998;0.11218;6.77465
2009.05.26;1;0.85798;0.09156;9.37069
2009.05.27;2;0.92367;0.12095;7.63679
2009.05.28;3;1.09158;0.26902;4.05762
2009.05.29;4;1.07555;0.26274;4.09359
2009.06.01;0;1.20279;0.31276;3.84573
2009.06.02;1;1.11093;0.18449;6.02163
2009.06.03;2;1.03090;0.14274;7.22222
2009.06.04;3;0.92286;0.15259;6.04797
2009.06.05;4;1.09915;0.32203;3.41319
2009.06.08;0;0.91877;0.09392;9.78247
2009.06.09;1;0.95526;0.17684;5.40183
2009.06.10;2;0.87547;0.18241;4.79946
2009.06.11;3;0.92110;0.16459;5.59633
2009.06.12;4;0.76469;0.13577;5.63225
2009.06.15;0;0.84556;0.14221;5.94585
2009.06.16;1;1.14489;0.24406;4.69102
2009.06.17;2;1.08864;0.17599;6.18581
2009.06.18;3;0.89736;0.14688;6.10948
2009.06.19;4;0.85577;0.16313;5.24594
2009.06.22;0;0.85841;0.08874;9.67332
2009.06.23;1;1.00859;0.15188;6.64070
2009.06.24;2;0.98055;0.11676;8.39800
2009.06.25;3;0.92647;0.13305;6.96332
2009.06.26;4;0.82611;0.13939;5.92661
2009.06.29;0;0.73028;0.14452;5.05314
2009.06.30;1;0.90429;0.16099;5.61706
2009.07.01;2;0.85441;0.11428;7.47646
2009.07.02;3;0.84064;0.16117;5.21586
2009.07.03;4;0.63612;0.06615;9.61633
2009.07.06;0;0.87626;0.19828;4.41931
2009.07.07;1;0.80822;0.10380;7.78632
2009.07.08;2;1.21571;0.40237;3.02137
2009.07.09;3;1.12055;0.16586;6.75600
2009.07.10;4;1.00509;0.18925;5.31091
2009.07.13;0;1.10784;0.17029;6.50561
2009.07.14;1;0.93006;0.13509;6.88474
2009.07.15;2;0.87222;0.16599;5.25465
2009.07.16;3;0.95096;0.15174;6.26704
2009.07.17;4;0.79639;0.12740;6.25110
2009.07.20;0;0.74571;0.09426;7.91120
2009.07.21;1;0.82142;0.14503;5.66379
2009.07.22;2;0.83547;0.10141;8.23854
2009.07.23;3;0.83625;0.23827;3.50967
2009.07.24;4;0.73344;0.08363;8.77006
2009.07.27;0;0.70404;0.10420;6.75662
2009.07.28;1;0.91581;0.16913;5.41483
2009.07.29;2;0.97977;0.18171;5.39194
2009.07.30;3;0.84544;0.14579;5.79903
2009.07.31;4;0.90881;0.17953;5.06216
2009.08.03;0;0.73919;0.11716;6.30924
2009.08.04;1;0.82496;0.15057;5.47891
2009.08.05;2;0.76111;0.10894;6.98651
2009.08.06;3;0.77889;0.14163;5.49947
2009.08.07;4;1.04262;0.36038;2.89311
2009.08.10;0;0.82978;0.11867;6.99233
2009.08.11;1;0.84288;0.19339;4.35845
2009.08.12;2;0.98748;0.20469;4.82427
2009.08.13;3;0.96266;0.19262;4.99772
2009.08.14;4;0.86664;0.14602;5.93508
2009.08.17;0;0.78865;0.09441;8.35346
