Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.04284;0.00868;4.93548
2009.01.02;4;0.09233;0.00996;9.27008
2009.01.05;0;0.10820;0.01892;5.71882
2009.01.06;1;0.08291;0.01493;5.55325
2009.01.07;2;0.08267;0.01160;7.12672
2009.01.08;3;0.08218;0.01156;7.10900
2009.01.09;4;0.08115;0.01160;6.99569
2009.01.12;0;0.08712;0.01596;5.45865
2009.01.13;1;0.09725;0.02942;3.30557
2009.01.14;2;0.08312;0.01405;5.91601
2009.01.15;3;0.10425;0.01600;6.51563
2009.01.16;4;0.10267;0.01152;8.91233
2009.01.19;0;0.08532;0.01517;5.62426
2009.01.20;1;0.08726;0.01818;4.79978
2009.01.21;2;0.10048;0.01875;5.35893
2009.01.22;3;0.09619;0.01302;7.38786
2009.01.23;4;0.08970;0.01560;5.75000
2009.01.26;0;0.08966;0.01669;5.37208
2009.01.27;1;0.07675;0.00826;9.29177
2009.01.28;2;0.09841;0.01968;5.00051
2009.01.29;3;0.07312;0.01149;6.36379
2009.01.30;4;0.07725;0.00990;7.80303
2009.02.02;0;0.07348;0.01480;4.96486
2009.02.03;1;0.07111;0.01126;6.31528
2009.02.04;2;0.08097;0.01114;7.26840
2009.02.05;3;0.08311;0.01498;5.54806
2009.02.06;4;0.09187;0.02745;3.34681
2009.02.09;0;0.08923;0.02470;3.61255
2009.02.10;1;0.09236;0.01218;7.58292
2009.02.11;2;0.07407;0.01108;6.68502
2009.02.12;3;0.09125;0.01563;5.83813
2009.02.13;4;0.07921;0.01136;6.97271
2009.02.16;0;0.06178;0.00742;8.32615
2009.02.17;1;0.06617;0.01151;5.74891
2009.02.18;2;0.06310;0.00886;7.12190
2009.02.19;3;0.06307;0.00858;7.35082
2009.02.20;4;0.07314;0.01200;6.09500
2009.02.23;0;0.07044;0.00928;7.59052
2009.02.24;1;0.06549;0.01090;6.00826
2009.02.25;2;0.06488;0.00905;7.16906
2009.02.26;3;0.06051;0.00853;7.09379
2009.02.27;4;0.06279;0.00919;6.83243
2009.03.02;0;0.07163;0.01145;6.25590
2009.03.03;1;0.06112;0.01196;5.11037
2009.03.04;2;0.06648;0.01454;4.57221
2009.03.05;3;0.05844;0.00666;8.77477
2009.03.06;4;0.06443;0.00970;6.64227
2009.03.08;6;0.00173;0.00173;1.00000
2009.03.09;0;0.06054;0.01058;5.72212
2009.03.10;1;0.05999;0.00791;7.58407
2009.03.11;2;0.06914;0.02045;3.38093
2009.03.12;3;0.06820;0.01267;5.38279
2009.03.13;4;0.07533;0.00957;7.87147
2009.03.15;6;0.00234;0.00234;1.00000
2009.03.16;0;0.06278;0.01335;4.70262
2009.03.17;1;0.05729;0.00707;8.10325
2009.03.18;2;0.06485;0.01342;4.83234
2009.03.19;3;0.07117;0.01770;4.02090
2009.03.20;4;0.05949;0.00751;7.92144
2009.03.22;6;0.00341;0.00341;1.00000
2009.03.23;0;0.05611;0.01047;5.35912
2009.03.24;1;0.07317;0.01121;6.52721
2009.03.25;2;0.07350;0.01464;5.02049
2009.03.26;3;0.07575;0.01783;4.24846
2009.03.27;4;0.06383;0.00743;8.59085
2009.03.30;0;0.07041;0.01238;5.68740
2009.03.31;1;0.07429;0.01654;4.49154
2009.04.01;2;0.08109;0.01590;5.10000
2009.04.02;3;0.06737;0.01245;5.41124
2009.04.03;4;0.09110;0.01541;5.91175
2009.04.06;0;0.06609;0.01305;5.06437
2009.04.07;1;0.07656;0.01866;4.10289
2009.04.08;2;0.05593;0.00826;6.77119
2009.04.09;3;0.05916;0.00945;6.26032
2009.04.10;4;0.05375;0.00550;9.77273
2009.04.13;0;0.06357;0.00846;7.51418
2009.04.14;1;0.05459;0.01729;3.15732
2009.04.15;2;0.07777;0.01713;4.53999
2009.04.16;3;0.07435;0.01501;4.95336
2009.04.17;4;0.05464;0.00967;5.65047
2009.04.20;0;0.07027;0.01274;5.51570
2009.04.21;1;0.06418;0.01496;4.29011
2009.04.22;2;0.06433;0.01058;6.08034
2009.04.23;3;0.05778;0.01021;5.65916
2009.04.24;4;0.06267;0.00963;6.50779
