Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.03774;0.00871;4.33295
2009.01.02;4;0.09251;0.02110;4.38436
2009.01.05;0;0.10071;0.02892;3.48237
2009.01.06;1;0.08443;0.02140;3.94533
2009.01.07;2;0.08721;0.01908;4.57075
2009.01.08;3;0.07339;0.01100;6.67182
2009.01.09;4;0.07758;0.01978;3.92214
2009.01.12;0;0.07624;0.02000;3.81200
2009.01.13;1;0.08809;0.02991;2.94517
2009.01.14;2;0.08124;0.02029;4.00394
2009.01.15;3;0.09751;0.01454;6.70633
2009.01.16;4;0.09625;0.01661;5.79470
2009.01.19;0;0.06817;0.01098;6.20856
2009.01.20;1;0.07402;0.01708;4.33372
2009.01.21;2;0.09896;0.02509;3.94420
2009.01.22;3;0.09122;0.01314;6.94216
2009.01.23;4;0.08266;0.01558;5.30552
2009.01.26;0;0.08368;0.01917;4.36515
2009.01.27;1;0.06458;0.00834;7.74341
2009.01.28;2;0.08677;0.01833;4.73377
2009.01.29;3;0.06952;0.01505;4.61927
2009.01.30;4;0.07327;0.00746;9.82172
2009.02.02;0;0.06756;0.01291;5.23315
2009.02.03;1;0.07170;0.01298;5.52388
2009.02.04;2;0.08275;0.01722;4.80546
2009.02.05;3;0.07566;0.01995;3.79248
2009.02.06;4;0.07943;0.02438;3.25800
2009.02.09;0;0.08291;0.02174;3.81371
2009.02.10;1;0.10197;0.02920;3.49212
2009.02.11;2;0.06621;0.00941;7.03613
2009.02.12;3;0.08480;0.01500;5.65333
2009.02.13;4;0.06911;0.01047;6.60076
2009.02.16;0;0.05641;0.00929;6.07212
2009.02.17;1;0.05940;0.01163;5.10748
2009.02.18;2;0.06411;0.01299;4.93533
2009.02.19;3;0.06286;0.01196;5.25585
2009.02.20;4;0.06947;0.01348;5.15356
2009.02.23;0;0.06390;0.01263;5.05938
2009.02.24;1;0.06323;0.00941;6.71945
2009.02.25;2;0.05972;0.00828;7.21256
2009.02.26;3;0.05249;0.00795;6.60252
2009.02.27;4;0.05803;0.00989;5.86754
2009.03.02;0;0.06172;0.01007;6.12910
2009.03.03;1;0.05852;0.00944;6.19915
2009.03.04;2;0.06147;0.01765;3.48272
2009.03.05;3;0.05848;0.01134;5.15697
2009.03.06;4;0.06730;0.00877;7.67389
2009.03.08;6;0.00230;0.00230;1.00000
2009.03.09;0;0.05956;0.01524;3.90814
2009.03.10;1;0.06180;0.01577;3.91883
2009.03.11;2;0.06312;0.01220;5.17377
2009.03.12;3;0.08580;0.03222;2.66294
2009.03.13;4;0.06269;0.01068;5.86985
2009.03.15;6;0.00229;0.00229;1.00000
2009.03.16;0;0.05243;0.01325;3.95698
2009.03.17;1;0.05154;0.00710;7.25915
2009.03.18;2;0.06413;0.01719;3.73066
2009.03.19;3;0.06478;0.01161;5.57967
2009.03.20;4;0.05508;0.01062;5.18644
2009.03.22;6;0.00164;0.00164;1.00000
2009.03.23;0;0.05866;0.01599;3.66854
2009.03.24;1;0.07148;0.01041;6.86647
2009.03.25;2;0.07269;0.01265;5.74625
2009.03.26;3;0.06556;0.01851;3.54187
2009.03.27;4;0.06154;0.01054;5.83871
2009.03.30;0;0.06137;0.01165;5.26781
2009.03.31;1;0.07013;0.01598;4.38861
2009.04.01;2;0.07842;0.01921;4.08225
2009.04.02;3;0.07012;0.01552;4.51804
2009.04.03;4;0.08825;0.01450;6.08621
2009.04.06;0;0.07208;0.01223;5.89370
2009.04.07;1;0.07555;0.01321;5.71915
2009.04.08;2;0.05677;0.01015;5.59310
2009.04.09;3;0.06040;0.01294;4.66770
2009.04.10;4;0.06104;0.00624;9.78205
2009.04.13;0;0.06573;0.01359;4.83664
2009.04.14;1;0.05881;0.01285;4.57665
2009.04.15;2;0.07405;0.00966;7.66563
2009.04.16;3;0.07395;0.01360;5.43750
2009.04.17;4;0.05150;0.01150;4.47826
2009.04.20;0;0.06509;0.02469;2.63629
2009.04.21;1;0.07033;0.01460;4.81712
2009.04.22;2;0.06809;0.01343;5.06999
2009.04.23;3;0.06179;0.00853;7.24385
2009.04.24;4;0.05906;0.01019;5.79588
2009.04.27;0;0.06731;0.01511;4.45467
2009.04.28;1;0.06697;0.01604;4.17519
2009.04.29;2;0.06364;0.01827;3.48331
2009.04.30;3;0.07194;0.01115;6.45202
2009.05.01;4;0.06349;0.01052;6.03517
2009.05.04;0;0.05337;0.00971;5.49640
2009.05.05;1;0.06179;0.01390;4.44532
2009.05.06;2;0.05340;0.00879;6.07509
2009.05.07;3;0.07703;0.02128;3.61983
2009.05.08;4;0.06122;0.00828;7.39372
2009.05.11;0;0.06185;0.01221;5.06552
2009.05.12;1;0.06427;0.01054;6.09772
2009.05.13;2;0.06715;0.01817;3.69565
2009.05.14;3;0.05959;0.00929;6.41442
2009.05.15;4;0.05786;0.00843;6.86358
2009.05.18;0;0.05441;0.00870;6.25402
2009.05.19;1;0.05775;0.01299;4.44573
2009.05.20;2;0.05937;0.00738;8.04472
2009.05.21;3;0.06382;0.00868;7.35253
2009.05.22;4;0.05905;0.01027;5.74976
2009.05.25;0;0.04818;0.00707;6.81471
2009.05.26;1;0.05046;0.01355;3.72399
2009.05.27;2;0.05692;0.00790;7.20506
2009.05.28;3;0.06491;0.01328;4.88780
2009.05.29;4;0.06605;0.01105;5.97738
2009.06.01;0;0.06419;0.01912;3.35722
2009.06.02;1;0.05489;0.00820;6.69390
2009.06.03;2;0.06383;0.02488;2.56551
2009.06.04;3;0.07728;0.01104;7.00000
2009.06.05;4;0.06602;0.01274;5.18210
2009.06.08;0;0.05363;0.00875;6.12914
2009.06.09;1;0.04880;0.00487;10.02053
2009.06.10;2;0.05655;0.00928;6.09375
2009.06.11;3;0.06641;0.02047;3.24426
2009.06.12;4;0.05208;0.00843;6.17794
2009.06.15;0;0.05295;0.00600;8.82500
2009.06.16;1;0.05879;0.01024;5.74121
2009.06.17;2;0.06419;0.00886;7.24492
2009.06.18;3;0.06481;0.01697;3.81909
2009.06.19;4;0.05236;0.00686;7.63265
2009.06.22;0;0.04609;0.01250;3.68720
2009.06.23;1;0.05776;0.00713;8.10098
2009.06.24;2;0.07716;0.02991;2.57974
2009.06.25;3;0.06385;0.00944;6.76377
2009.06.26;4;0.05840;0.01032;5.65891
2009.06.29;0;0.04784;0.01129;4.23738
2009.06.30;1;0.04884;0.00781;6.25352
2009.07.01;2;0.04900;0.01594;3.07403
2009.07.02;3;0.05152;0.00873;5.90149
2009.07.03;4;0.04782;0.00934;5.11991
2009.07.06;0;0.05102;0.01150;4.43652
2009.07.07;1;0.04973;0.00800;6.21625
2009.07.08;2;0.05669;0.01037;5.46673
2009.07.09;3;0.05337;0.00971;5.49640
2009.07.10;4;0.05489;0.00613;8.95432
2009.07.13;0;0.05975;0.01320;4.52652
2009.07.14;1;0.05176;0.01284;4.03115
2009.07.15;2;0.05308;0.01005;5.28159
2009.07.16;3;0.05083;0.01078;4.71521
2009.07.17;4;0.04565;0.00630;7.24603
2009.07.20;0;0.04518;0.01011;4.46884
2009.07.21;1;0.05217;0.00751;6.94674
2009.07.22;2;0.04867;0.00785;6.20000
2009.07.23;3;0.04362;0.00618;7.05825
2009.07.24;4;0.03959;0.00439;9.01822
2009.07.27;0;0.04350;0.00563;7.72647
2009.07.28;1;0.04487;0.01032;4.34787
2009.07.29;2;0.04725;0.00997;4.73922
2009.07.30;3;0.04902;0.00876;5.59589
2009.07.31;4;0.05171;0.01090;4.74404
2009.08.03;0;0.05135;0.01010;5.08416
2009.08.04;1;0.05460;0.00935;5.83957
2009.08.05;2;0.04422;0.00627;7.05263
2009.08.06;3;0.04854;0.00579;8.38342
2009.08.07;4;0.05506;0.01652;3.33293
2009.08.10;0;0.04953;0.01213;4.08326
2009.08.11;1;0.04745;0.01396;3.39900
2009.08.12;2;0.05681;0.01290;4.40388
2009.08.13;3;0.05375;0.01043;5.15340
2009.08.14;4;0.06233;0.01135;5.49163
2009.08.17;0;0.05586;0.00881;6.34052
2009.08.18;1;0.04513;0.00798;5.65539
2009.08.19;2;0.05127;0.01177;4.35599
2009.08.20;3;0.04370;0.00527;8.29222
2009.08.21;4;0.05286;0.01130;4.67788
2009.08.24;0;0.04759;0.00894;5.32327
2009.08.25;1;0.03938;0.00566;6.95760
2009.08.26;2;0.04495;0.00587;7.65758
2009.08.27;3;0.04833;0.00698;6.92407
2009.08.28;4;0.04629;0.00595;7.77983
2009.08.31;0;0.04655;0.00614;7.58143
2009.09.01;1;0.05048;0.01060;4.76226
2009.09.02;2;0.04904;0.00928;5.28448
2009.09.03;3;0.04638;0.00873;5.31271
2009.09.04;4;0.04767;0.01217;3.91701
2009.09.07;0;0.03894;0.00871;4.47072
2009.09.08;1;0.03920;0.00788;4.97462
2009.09.09;2;0.04080;0.00745;5.47651
2009.09.10;3;0.05061;0.01052;4.81084
2009.09.11;4;0.04027;0.00649;6.20493
2009.09.14;0;0.04541;0.01105;4.10950
2009.09.15;1;0.03898;0.00691;5.64110
2009.09.16;2;0.04005;0.01043;3.83988
2009.09.17;3;0.04166;0.00851;4.89542
2009.09.18;4;0.03950;0.00468;8.44017
2009.09.21;0;0.03711;0.00376;9.86968
2009.09.22;1;0.05200;0.01261;4.12371
2009.09.23;2;0.05147;0.01055;4.87867
2009.09.24;3;0.04610;0.00697;6.61406
2009.09.25;4;0.05122;0.00811;6.31566
2009.09.28;0;0.05123;0.00727;7.04677
