Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;2.23200;0.87100;2.56257
2009.01.02;4;6.35800;1.68600;3.77106
2009.01.05;0;7.65100;1.57100;4.87015
2009.01.06;1;7.59300;1.99000;3.81558
2009.01.07;2;7.22200;1.73800;4.15535
2009.01.08;3;8.22400;1.51600;5.42480
2009.01.09;4;7.16100;1.25000;5.72880
2009.01.12;0;7.34800;2.39100;3.07319
2009.01.13;1;8.88300;2.77000;3.20686
2009.01.14;2;8.61300;2.35500;3.65732
2009.01.15;3;10.29900;1.47200;6.99660
2009.01.16;4;9.29900;1.76600;5.26557
2009.01.19;0;6.96500;1.89600;3.67352
2009.01.20;1;8.16700;2.21600;3.68547
2009.01.21;2;11.34800;2.80600;4.04419
2009.01.22;3;9.91200;1.54200;6.42802
2009.01.23;4;8.64100;1.75000;4.93771
2009.01.26;0;8.68200;1.49300;5.81514
2009.01.27;1;8.42200;1.48900;5.65615
2009.01.28;2;8.79100;1.73100;5.07857
2009.01.29;3;6.91900;1.50600;4.59429
2009.01.30;4;6.49800;1.06100;6.12441
2009.02.02;0;6.73600;1.50600;4.47278
2009.02.03;1;7.70900;1.24000;6.21694
2009.02.04;2;8.31600;1.41100;5.89369
2009.02.05;3;8.50000;2.80500;3.03030
2009.02.06;4;8.48100;2.95200;2.87297
2009.02.09;0;8.96000;2.22700;4.02335
2009.02.10;1;11.31000;2.63500;4.29222
2009.02.11;2;7.37300;0.82700;8.91536
2009.02.12;3;8.75500;1.44800;6.04627
2009.02.13;4;7.42500;1.48300;5.00674
2009.02.16;0;4.95900;0.72100;6.87795
2009.02.17;1;6.49700;1.17200;5.54352
2009.02.18;2;6.14800;1.36300;4.51064
2009.02.19;3;6.21300;1.26800;4.89984
2009.02.20;4;6.54700;1.29900;5.04003
2009.02.23;0;7.46800;1.78100;4.19315
2009.02.24;1;7.76300;2.39300;3.24405
2009.02.25;2;7.43700;0.98400;7.55793
2009.02.26;3;5.76000;1.01200;5.69170
2009.02.27;4;7.01200;1.80000;3.89556
2009.03.02;0;7.80800;1.21800;6.41051
2009.03.03;1;6.80800;1.41800;4.80113
2009.03.04;2;6.24500;2.25600;2.76817
2009.03.05;3;6.34300;1.51500;4.18680
2009.03.06;4;7.91400;1.50000;5.27600
2009.03.08;6;0.17700;0.17700;1.00000
2009.03.09;0;6.22400;1.12600;5.52753
2009.03.10;1;5.81200;1.26500;4.59447
2009.03.11;2;6.98700;1.07700;6.48747
2009.03.12;3;8.02900;2.48200;3.23489
2009.03.13;4;6.65600;1.28700;5.17172
2009.03.15;6;0.21700;0.21700;1.00000
2009.03.16;0;5.92800;1.61500;3.67059
2009.03.17;1;4.96700;0.71500;6.94685
2009.03.18;2;6.13300;1.23800;4.95396
2009.03.19;3;7.04300;1.31600;5.35182
2009.03.20;4;5.07400;1.43100;3.54577
2009.03.22;6;0.19300;0.19300;1.00000
2009.03.23;0;6.31400;2.17900;2.89766
2009.03.24;1;8.44400;1.46500;5.76382
2009.03.25;2;8.49400;1.71100;4.96435
2009.03.26;3;6.86300;1.84600;3.71777
2009.03.27;4;6.82800;1.67200;4.08373
2009.03.30;0;7.94700;2.15400;3.68942
2009.03.31;1;8.49200;2.11100;4.02274
2009.04.01;2;9.23700;1.57800;5.85361
2009.04.02;3;7.61800;2.54300;2.99567
2009.04.03;4;10.41200;1.58100;6.58571
2009.04.06;0;7.91200;1.75600;4.50569
2009.04.07;1;9.83400;1.98000;4.96667
2009.04.08;2;7.92300;1.44200;5.49445
2009.04.09;3;6.31700;1.13600;5.56074
2009.04.10;4;3.71200;0.39800;9.32663
2009.04.13;0;5.54200;1.00100;5.53646
2009.04.14;1;6.96100;1.91500;3.63499
2009.04.15;2;9.13700;1.37600;6.64026
2009.04.16;3;8.42800;1.81300;4.64865
2009.04.17;4;5.64900;1.28600;4.39269
2009.04.20;0;7.40100;2.95800;2.50203
2009.04.21;1;8.71000;1.95200;4.46209
2009.04.22;2;8.31400;1.51600;5.48417
2009.04.23;3;7.02600;1.33700;5.25505
2009.04.24;4;6.55500;1.32400;4.95091
2009.04.27;0;6.93300;1.21700;5.69680
2009.04.28;1;7.02100;1.78300;3.93775
2009.04.29;2;7.59500;2.55000;2.97843
2009.04.30;3;8.67900;1.62000;5.35741
2009.05.01;4;7.35000;1.55100;4.73888
2009.05.04;0;6.26600;1.00500;6.23483
2009.05.05;1;6.54200;1.19600;5.46990
2009.05.06;2;7.15300;1.44500;4.95017
2009.05.07;3;8.31100;2.25400;3.68722
2009.05.08;4;6.38400;1.04100;6.13256
2009.05.11;0;8.05200;1.94000;4.15052
2009.05.12;1;8.49200;1.55400;5.46461
2009.05.13;2;8.51600;2.60000;3.27538
2009.05.14;3;7.67200;1.51100;5.07743
2009.05.15;4;7.22600;1.85100;3.90384
2009.05.18;0;7.22900;2.22900;3.24316
2009.05.19;1;7.74300;1.33300;5.80870
2009.05.20;2;6.99600;1.13700;6.15303
2009.05.21;3;7.83700;0.90100;8.69811
2009.05.22;4;6.05000;1.41200;4.28470
2009.05.25;0;5.42500;0.95600;5.67469
2009.05.26;1;6.46900;1.71200;3.77862
2009.05.27;2;6.30700;0.98000;6.43571
2009.05.28;3;7.46700;2.32800;3.20747
2009.05.29;4;6.81800;1.22200;5.57938
2009.06.01;0;7.00400;2.72900;2.56651
2009.06.02;1;6.58000;1.10600;5.94937
2009.06.03;2;8.01900;2.93300;2.73406
2009.06.04;3;9.43500;1.34000;7.04104
2009.06.05;4;7.88400;1.62600;4.84871
2009.06.08;0;6.76700;1.36100;4.97208
2009.06.09;1;6.53600;1.10800;5.89892
