Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.03563;0.00792;4.49874
2009.01.02;4;0.06869;0.01165;5.89614
2009.01.05;0;0.07490;0.01165;6.42918
2009.01.06;1;0.07709;0.01810;4.25912
2009.01.07;2;0.07353;0.01431;5.13836
2009.01.08;3;0.08193;0.01545;5.30291
2009.01.09;4;0.06398;0.00745;8.58792
2009.01.12;0;0.07132;0.01560;4.57179
2009.01.13;1;0.08990;0.02965;3.03204
2009.01.14;2;0.08362;0.02080;4.02019
2009.01.15;3;0.09835;0.01755;5.60399
2009.01.16;4;0.09614;0.01565;6.14313
2009.01.19;0;0.06214;0.01845;3.36802
2009.01.20;1;0.07815;0.01965;3.97710
2009.01.21;2;0.09532;0.01970;4.83858
2009.01.22;3;0.09052;0.01215;7.45021
2009.01.23;4;0.08072;0.01500;5.38133
2009.01.26;0;0.08066;0.01255;6.42709
2009.01.27;1;0.06888;0.00935;7.36684
2009.01.28;2;0.08529;0.01885;4.52467
2009.01.29;3;0.07328;0.01348;5.43620
2009.01.30;4;0.06502;0.00995;6.53467
2009.02.02;0;0.06431;0.01260;5.10397
2009.02.03;1;0.07464;0.01465;5.09488
2009.02.04;2;0.08352;0.01315;6.35133
2009.02.05;3;0.07636;0.01610;4.74286
2009.02.06;4;0.07713;0.02550;3.02471
2009.02.09;0;0.08242;0.02060;4.00097
2009.02.10;1;0.10439;0.02145;4.86667
2009.02.11;2;0.07284;0.00782;9.31458
2009.02.12;3;0.09156;0.01815;5.04463
2009.02.13;4;0.06656;0.01050;6.33905
2009.02.16;0;0.04916;0.00703;6.99289
2009.02.17;1;0.06388;0.01445;4.42076
2009.02.18;2;0.05690;0.00800;7.11250
2009.02.19;3;0.05899;0.01085;5.43687
2009.02.20;4;0.06535;0.01480;4.41554
2009.02.23;0;0.06625;0.01185;5.59072
2009.02.24;1;0.06252;0.01152;5.42708
2009.02.25;2;0.05760;0.01110;5.18919
2009.02.26;3;0.05071;0.00529;9.58601
2009.02.27;4;0.05598;0.01000;5.59800
2009.03.02;0;0.06361;0.00895;7.10726
2009.03.03;1;0.05998;0.01036;5.78958
2009.03.04;2;0.05982;0.01845;3.24228
2009.03.05;3;0.05590;0.00950;5.88421
2009.03.06;4;0.06080;0.01225;4.96327
2009.03.08;6;0.00193;0.00193;1.00000
2009.03.09;0;0.05520;0.01442;3.82802
2009.03.10;1;0.05727;0.01395;4.10538
2009.03.11;2;0.06430;0.01685;3.81602
2009.03.12;3;0.06952;0.01640;4.23902
2009.03.13;4;0.05778;0.00895;6.45587
2009.03.15;6;0.00190;0.00190;1.00000
2009.03.16;0;0.05071;0.01390;3.64820
2009.03.17;1;0.05395;0.00515;10.47573
2009.03.18;2;0.07170;0.02095;3.42243
2009.03.19;3;0.07061;0.02167;3.25842
2009.03.20;4;0.06128;0.00789;7.76679
2009.03.22;6;0.00140;0.00140;1.00000
2009.03.23;0;0.05701;0.01342;4.24814
2009.03.24;1;0.07457;0.01405;5.30747
2009.03.25;2;0.07839;0.01690;4.63846
2009.03.26;3;0.06553;0.01465;4.47304
2009.03.27;4;0.05533;0.01230;4.49837
2009.03.30;0;0.06275;0.01110;5.65315
2009.03.31;1;0.07058;0.01480;4.76892
2009.04.01;2;0.07756;0.01670;4.64431
2009.04.02;3;0.06870;0.02020;3.40099
2009.04.03;4;0.08985;0.01285;6.99222
2009.04.06;0;0.06267;0.01305;4.80230
2009.04.07;1;0.08370;0.01488;5.62500
2009.04.08;2;0.06355;0.01080;5.88426
2009.04.09;3;0.05854;0.00800;7.31750
2009.04.10;4;0.03373;0.00327;10.31498
2009.04.13;0;0.05550;0.01100;5.04545
2009.04.14;1;0.05218;0.01066;4.89493
2009.04.15;2;0.07455;0.01020;7.30882
2009.04.16;3;0.07946;0.01450;5.48000
2009.04.17;4;0.04593;0.01033;4.44627
2009.04.20;0;0.06599;0.02195;3.00638
2009.04.21;1;0.06870;0.01500;4.58000
2009.04.22;2;0.06619;0.01075;6.15721
2009.04.23;3;0.06073;0.00985;6.16548
2009.04.24;4;0.06035;0.01390;4.34173
2009.04.27;0;0.05997;0.00856;7.00584
2009.04.28;1;0.06344;0.01280;4.95625
2009.04.29;2;0.06698;0.02098;3.19256
2009.04.30;3;0.08167;0.01285;6.35564
2009.05.01;4;0.06165;0.01165;5.29185
2009.05.04;0;0.04485;0.00840;5.33929
2009.05.05;1;0.06607;0.01240;5.32823
2009.05.06;2;0.06327;0.01070;5.91308
2009.05.07;3;0.07720;0.01675;4.60896
2009.05.08;4;0.06445;0.01511;4.26539
2009.05.11;0;0.06837;0.01302;5.25115
2009.05.12;1;0.07181;0.01350;5.31926
2009.05.13;2;0.07965;0.02240;3.55580
2009.05.14;3;0.06655;0.01245;5.34538
2009.05.15;4;0.05971;0.01356;4.40339
2009.05.18;0;0.05314;0.01265;4.20079
2009.05.19;1;0.06423;0.01255;5.11793
2009.05.20;2;0.06828;0.01275;5.35529
2009.05.21;3;0.06998;0.00940;7.44468
2009.05.22;4;0.06070;0.01370;4.43066
2009.05.25;0;0.04763;0.00670;7.10896
2009.05.26;1;0.05941;0.01715;3.46414
2009.05.27;2;0.05952;0.01075;5.53674
2009.05.28;3;0.07113;0.01550;4.58903
2009.05.29;4;0.06712;0.01925;3.48675
2009.06.01;0;0.07116;0.02010;3.54030
2009.06.02;1;0.06602;0.01485;4.44579
2009.06.03;2;0.07852;0.02950;2.66169
2009.06.04;3;0.09490;0.01610;5.89441
2009.06.05;4;0.07081;0.01665;4.25285
2009.06.08;0;0.06772;0.01315;5.14981
2009.06.09;1;0.06534;0.01280;5.10469
2009.06.10;2;0.07218;0.01345;5.36654
2009.06.11;3;0.07260;0.02204;3.29401
2009.06.12;4;0.05657;0.01075;5.26233
2009.06.15;0;0.06838;0.01459;4.68677
2009.06.16;1;0.07636;0.01559;4.89801
2009.06.17;2;0.08560;0.01234;6.93679
2009.06.18;3;0.07354;0.01479;4.97228
2009.06.19;4;0.06277;0.01299;4.83218
2009.06.22;0;0.06900;0.01577;4.37540
2009.06.23;1;0.07021;0.01625;4.32062
2009.06.24;2;0.06405;0.01150;5.56957
2009.06.25;3;0.05348;0.00860;6.21860
2009.06.26;4;0.03246;0.00665;4.88120
2009.06.29;0;0.05063;0.01020;4.96373
2009.06.30;1;0.05498;0.01130;4.86549
2009.07.01;2;0.05728;0.00894;6.40716
2009.07.02;3;0.05653;0.01380;4.09638
2009.07.03;4;0.04168;0.00862;4.83527
2009.07.06;0;0.05578;0.01365;4.08645
2009.07.07;1;0.05942;0.01132;5.24912
2009.07.08;2;0.06511;0.01170;5.56496
2009.07.09;3;0.05705;0.01025;5.56585
2009.07.10;4;0.05497;0.00975;5.63795
2009.07.13;0;0.06019;0.01370;4.39343
2009.07.14;1;0.05819;0.00802;7.25561
2009.07.15;2;0.05171;0.01285;4.02412
2009.07.16;3;0.06219;0.01155;5.38442
2009.07.17;4;0.04401;0.00670;6.56866
2009.07.20;0;0.04770;0.01485;3.21212
2009.07.21;1;0.05605;0.01140;4.91667
2009.07.22;2;0.05516;0.00995;5.54372
2009.07.23;3;0.04702;0.01170;4.01880
2009.07.24;4;0.04157;0.00635;6.54646
2009.07.27;0;0.04958;0.00870;5.69885
2009.07.28;1;0.05062;0.00955;5.30052
2009.07.29;2;0.05828;0.00675;8.63407
2009.07.30;3;0.05461;0.00931;5.86574
2009.07.31;4;0.05658;0.01165;4.85665
2009.08.03;0;0.05266;0.00980;5.37347
2009.08.04;1;0.06097;0.01005;6.06667
2009.08.05;2;0.04498;0.00565;7.96106
2009.08.06;3;0.05107;0.00570;8.95965
2009.08.07;4;0.05350;0.01336;4.00449
2009.08.10;0;0.04818;0.00960;5.01875
2009.08.11;1;0.04801;0.01085;4.42488
2009.08.12;2;0.06233;0.01675;3.72119
2009.08.13;3;0.05103;0.01220;4.18279
2009.08.14;4;0.06836;0.01462;4.67579
2009.08.17;0;0.06292;0.01255;5.01355
2009.08.18;1;0.04906;0.00926;5.29806
2009.08.19;2;0.05628;0.01055;5.33460
2009.08.20;3;0.04662;0.00530;8.79623
2009.08.21;4;0.05202;0.01560;3.33462
2009.08.24;0;0.04727;0.00700;6.75286
2009.08.25;1;0.03992;0.00635;6.28661
2009.08.26;2;0.05191;0.01075;4.82884
2009.08.27;3;0.05216;0.01215;4.29300
2009.08.28;4;0.04814;0.00625;7.70240
2009.08.31;0;0.04851;0.00755;6.42517
2009.09.01;1;0.06067;0.01670;3.63293
2009.09.02;2;0.05696;0.00940;6.05957
2009.09.03;3;0.05244;0.01135;4.62026
2009.09.04;4;0.05235;0.01281;4.08665
2009.09.07;0;0.02909;0.00608;4.78454
2009.09.08;1;0.04616;0.00770;5.99481
2009.09.09;2;0.04659;0.00750;6.21200
2009.09.10;3;0.06122;0.01400;4.37286
2009.09.11;4;0.04484;0.00760;5.90000
2009.09.14;0;0.04736;0.01073;4.41379
2009.09.15;1;0.04779;0.00865;5.52486
2009.09.16;2;0.04493;0.01117;4.02238
2009.09.17;3;0.04370;0.00765;5.71242
2009.09.18;4;0.03949;0.00531;7.43691
2009.09.21;0;0.04422;0.00780;5.66923
2009.09.22;1;0.05849;0.01849;3.16333
2009.09.23;2;0.06314;0.01340;4.71194
2009.09.24;3;0.05560;0.01202;4.62562
2009.09.25;4;0.06483;0.01100;5.89364
2009.09.28;0;0.06338;0.01110;5.70991
2009.09.29;1;0.05212;0.00995;5.23819
2009.09.30;2;0.05299;0.01140;4.64825
2009.10.01;3;0.05633;0.01120;5.02946
2009.10.02;4;0.06818;0.01325;5.14566
2009.10.05;0;0.05878;0.01765;3.33031
2009.10.06;1;0.04976;0.00920;5.40870
2009.10.07;2;0.04988;0.00791;6.30594
2009.10.08;3;0.05095;0.00975;5.22564
2009.10.09;4;0.04683;0.01260;3.71667
2009.10.12;0;0.05555;0.01125;4.93778
2009.10.13;1;0.05743;0.01015;5.65813
2009.10.14;2;0.05128;0.00765;6.70327
2009.10.15;3;0.05981;0.00980;6.10306
