Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;3.02100;1.02600;2.94444
2009.01.02;4;5.69000;1.16500;4.88412
2009.01.05;0;5.67700;0.79600;7.13191
2009.01.06;1;4.96300;1.05100;4.72217
2009.01.07;2;5.84300;1.18500;4.93080
2009.01.08;3;6.18600;1.58900;3.89301
2009.01.09;4;5.32200;1.11500;4.77309
2009.01.12;0;4.50400;1.06600;4.22514
2009.01.13;1;5.37800;0.81800;6.57457
2009.01.14;2;5.71500;1.29000;4.43023
2009.01.15;3;5.89300;1.14500;5.14672
2009.01.16;4;5.06700;1.05000;4.82571
2009.01.19;0;5.06900;1.32700;3.81989
2009.01.20;1;5.29100;1.17800;4.49151
2009.01.21;2;7.68400;2.19800;3.49591
2009.01.22;3;7.53300;1.19400;6.30905
2009.01.23;4;6.44100;1.24500;5.17349
2009.01.26;0;6.42800;1.21600;5.28618
2009.01.27;1;6.82800;1.43500;4.75819
2009.01.28;2;5.44900;1.45300;3.75017
2009.01.29;3;5.43300;1.03600;5.24421
2009.01.30;4;4.74100;0.70600;6.71530
2009.02.02;0;4.41400;0.99300;4.44512
2009.02.03;1;5.53200;0.96500;5.73264
2009.02.04;2;4.74400;0.84500;5.61420
2009.02.05;3;5.73400;2.27400;2.52155
2009.02.06;4;5.14500;1.42000;3.62324
2009.02.09;0;5.44200;1.19600;4.55017
2009.02.10;1;6.78600;1.50100;4.52099
2009.02.11;2;4.85500;0.70200;6.91595
2009.02.12;3;4.74100;0.97600;4.85758
2009.02.13;4;5.28700;1.10500;4.78462
2009.02.16;0;4.09700;0.60100;6.81697
2009.02.17;1;4.82600;0.95400;5.05870
2009.02.18;2;4.31800;1.10500;3.90769
2009.02.19;3;4.60900;1.05200;4.38118
2009.02.20;4;5.22000;1.30900;3.98778
2009.02.23;0;6.04900;1.56400;3.86765
2009.02.24;1;6.30000;2.28300;2.75953
2009.02.25;2;6.70800;0.87500;7.66629
2009.02.26;3;4.52000;0.82100;5.50548
2009.02.27;4;6.52100;1.54500;4.22071
2009.03.02;0;5.76300;0.73100;7.88372
2009.03.03;1;5.38700;1.28000;4.20859
2009.03.04;2;4.54400;1.27400;3.56672
2009.03.05;3;5.85400;1.36800;4.27924
2009.03.06;4;6.45800;1.30600;4.94487
2009.03.08;6;0.09200;0.09200;1.00000
2009.03.09;0;5.02400;0.75000;6.69867
2009.03.10;1;4.39200;0.69600;6.31034
2009.03.11;2;4.94000;1.04900;4.70925
2009.03.12;3;6.83500;1.60000;4.27187
2009.03.13;4;5.03500;0.65000;7.74615
2009.03.15;6;0.08900;0.08900;1.00000
2009.03.16;0;4.99100;1.24000;4.02500
2009.03.17;1;3.46200;0.62100;5.57488
2009.03.18;2;6.19600;1.77300;3.49464
2009.03.19;3;7.22700;1.77500;4.07155
2009.03.20;4;4.73900;1.10000;4.30818
2009.03.22;6;0.12500;0.12500;1.00000
2009.03.23;0;5.37700;1.41800;3.79196
2009.03.24;1;5.85900;1.09700;5.34093
2009.03.25;2;6.28300;0.78600;7.99364
2009.03.26;3;4.35100;1.00200;4.34232
2009.03.27;4;5.09100;1.45000;3.51103
2009.03.30;0;6.36100;1.76000;3.61420
2009.03.31;1;6.06500;1.45500;4.16838
2009.04.01;2;5.88900;0.83900;7.01907
2009.04.02;3;5.52400;1.79100;3.08431
2009.04.03;4;5.65100;0.91900;6.14908
2009.04.06;0;5.11700;1.10800;4.61823
2009.04.07;1;5.70100;1.11300;5.12219
2009.04.08;2;5.57500;1.15200;4.83941
2009.04.09;3;4.00200;0.75400;5.30769
2009.04.10;4;3.03800;0.47800;6.35565
2009.04.13;0;3.32200;0.64100;5.18253
2009.04.14;1;5.66900;1.13000;5.01681
2009.04.15;2;5.30100;1.09700;4.83227
2009.04.16;3;4.84200;0.83700;5.78495
2009.04.17;4;4.11500;0.81500;5.04908
2009.04.20;0;4.58300;1.52700;3.00131
2009.04.21;1;4.84700;1.11300;4.35490
2009.04.22;2;4.70000;0.84300;5.57533
2009.04.23;3;4.41500;0.80700;5.47088
2009.04.24;4;5.06300;0.93300;5.42658
2009.04.27;0;3.84900;0.61500;6.25854
2009.04.28;1;4.18500;0.94900;4.40991
2009.04.29;2;5.14500;1.66100;3.09753
2009.04.30;3;5.40500;1.52500;3.54426
2009.05.01;4;4.34700;0.82500;5.26909
2009.05.04;0;3.98800;0.66000;6.04242
2009.05.05;1;3.97800;0.62800;6.33439
2009.05.06;2;5.44600;1.08400;5.02399
2009.05.07;3;4.83700;1.24000;3.90081
2009.05.08;4;4.15700;0.68500;6.06861
2009.05.11;0;5.08800;1.31200;3.87805
2009.05.12;1;6.00700;1.42800;4.20658
2009.05.13;2;5.51300;1.51700;3.63415
2009.05.14;3;4.90700;0.73700;6.65807
2009.05.15;4;5.20200;1.17500;4.42723
2009.05.18;0;4.96100;1.75300;2.83001
2009.05.19;1;4.65900;0.64100;7.26833
2009.05.20;2;4.34800;0.90100;4.82575
2009.05.21;3;5.21900;0.69600;7.49856
2009.05.22;4;4.17800;1.17200;3.56485
2009.05.25;0;3.85600;0.63400;6.08202
2009.05.26;1;3.94500;0.70300;5.61166
2009.05.27;2;4.16700;0.78600;5.30153
2009.05.28;3;4.88200;1.53800;3.17425
2009.05.29;4;4.64400;1.12000;4.14643
2009.06.01;0;5.33100;1.48900;3.58026
2009.06.02;1;5.11200;0.87500;5.84229
2009.06.03;2;5.09600;0.93000;5.47957
