Date;Day of week;SumHL;DayHL;SumHL / DayHL
2010.05.10;0;9.03900;3.40000;2.65853
2010.05.11;1;7.07000;1.11000;6.36937
2010.05.12;2;6.20000;1.41000;4.39716
2010.05.13;3;5.91000;0.99000;5.96970
2010.05.14;4;6.46000;1.79000;3.60894
2010.05.17;0;9.07100;1.36000;6.66985
2010.05.18;1;6.09000;1.76000;3.46023
2010.05.19;2;10.65000;2.20000;4.84091
2010.05.20;3;13.64000;2.99000;4.56187
2010.05.21;4;10.68000;1.88000;5.68085
2010.05.24;0;7.54000;1.27000;5.93701
2010.05.25;1;7.79000;1.48000;5.26351
2010.05.26;2;6.35000;1.20000;5.29167
2010.05.27;3;5.77900;1.98200;2.91574
2010.05.28;4;5.22900;0.90900;5.75248
2010.05.31;0;5.13400;0.89000;5.76854
2010.06.01;1;6.42100;1.11000;5.78468
2010.06.02;2;5.47700;1.18400;4.62584
2010.06.03;3;5.16000;1.14600;4.50262
2010.06.04;4;6.57600;2.10600;3.12251
2010.06.07;0;7.87800;1.43000;5.50909
2010.06.08;1;7.14700;1.05700;6.76159
2010.06.09;2;4.68300;0.78000;6.00385
2010.06.10;3;5.39200;1.16200;4.64028
2010.06.11;4;4.60500;0.64000;7.19531
2010.06.14;0;1.03600;0.65800;1.57447
2010.06.15;1;4.19500;1.02000;4.11275
2010.06.16;2;4.85800;0.89000;5.45843
2010.06.17;3;4.29400;0.74200;5.78706
2010.06.18;4;3.14000;0.42000;7.47619
2010.06.21;0;4.49700;1.03000;4.36602
2010.06.22;1;3.66800;0.83000;4.41928
2010.06.23;2;3.95100;0.94300;4.18982
2010.06.24;3;4.63100;0.98000;4.72551
2010.06.25;4;4.05900;0.46000;8.82391
2010.06.28;0;3.40500;0.68800;4.94913
2010.06.29;1;4.30200;1.25000;3.44160
2010.06.30;2;4.77500;0.97800;4.88241
2010.07.01;3;5.26400;0.98300;5.35504
2010.07.02;4;4.43000;0.84900;5.21790
2010.07.05;0;3.42800;0.74000;4.63243
2010.07.06;1;4.02800;0.88000;4.57727
2010.07.07;2;4.19500;0.83900;5.00000
2010.07.08;3;4.13800;0.97000;4.26598
2010.07.09;4;3.28900;0.43200;7.61343
2010.07.12;0;4.82000;1.57500;3.06032
2010.07.13;1;3.68800;0.81300;4.53629
2010.07.14;2;4.06100;0.64400;6.30590
2010.07.15;3;4.50000;0.90500;4.97238
2010.07.16;4;4.74400;1.09500;4.33242
2010.07.19;0;5.97100;1.54200;3.87224
2010.07.20;1;5.02500;1.28700;3.90443
2010.07.21;2;3.74700;0.57900;6.47150
2010.07.22;3;4.22600;1.19700;3.53049
2010.07.23;4;5.27700;1.10900;4.75834
2010.07.26;0;4.13200;0.72000;5.73889
2010.07.27;1;3.38700;0.94000;3.60319
2010.07.28;2;4.11000;0.72300;5.68465
2010.07.29;3;4.59800;0.73100;6.29001
2010.07.30;4;5.34700;1.07000;4.99720
2010.08.02;0;3.99700;1.37800;2.90058
2010.08.03;1;3.51500;0.75900;4.63109
2010.08.04;2;3.70900;0.80200;4.62469
2010.08.05;3;3.69100;0.58700;6.28790
2010.08.06;4;3.71300;0.73700;5.03799
2010.08.09;0;3.04600;0.75700;4.02378
2010.08.10;1;3.74400;0.76000;4.92632
2010.08.11;2;4.45900;1.09300;4.07960
2010.08.12;3;5.33200;1.07500;4.96000
2010.08.13;4;4.61300;1.02400;4.50488
2010.08.16;0;3.31400;0.85600;3.87150
2010.08.17;1;3.02700;0.92000;3.29022
2010.08.18;2;2.87300;0.33000;8.70606
2010.08.19;3;3.82300;0.95200;4.01576
2010.08.20;4;3.76300;0.52100;7.22265
2010.08.23;0;3.13000;0.82000;3.81707
2010.08.24;1;4.99000;1.26800;3.93533
2010.08.25;2;4.67000;1.06200;4.39736
2010.08.26;3;3.64600;0.49500;7.36566
2010.08.27;4;4.23600;1.11000;3.81622
2010.08.30;0;4.28900;1.30800;3.27905
2010.08.31;1;4.15000;0.72100;5.75589
2010.09.01;2;4.42800;1.05100;4.21313
2010.09.02;3;4.23900;0.84100;5.04043
2010.09.03;4;3.54500;1.12300;3.15672
2010.09.06;0;2.91000;0.43000;6.76744
2010.09.07;1;2.83200;0.92000;3.07826
2010.09.08;2;4.16300;0.62900;6.61844
2010.09.09;3;3.21300;0.56000;5.73750
2010.09.10;4;4.64500;1.35100;3.43819
2010.09.13;0;3.82900;0.79000;4.84684
2010.09.14;1;4.17500;0.64300;6.49300
2010.09.15;2;5.01600;2.00700;2.49925
2010.09.16;3;3.51800;0.52000;6.76538
2010.09.17;4;3.28000;0.41700;7.86571
2010.09.20;0;2.76400;0.57100;4.84063
2010.09.21;1;2.89000;0.59800;4.83278
2010.09.22;2;3.08800;0.64100;4.81747
2010.09.23;3;4.33100;0.55700;7.77558
2010.09.24;4;4.11400;0.82000;5.01707
2010.09.27;0;3.22900;0.86100;3.75029
2010.09.28;1;3.26000;0.45200;7.21239
2010.09.29;2;2.92400;0.55200;5.29710
2010.09.30;3;3.73300;0.65500;5.69924
2010.10.01;4;3.18100;0.39900;7.97243
2010.10.04;0;3.76400;0.89600;4.20089
2010.10.05;1;3.93600;1.12500;3.49867
2010.10.06;2;3.73400;0.55600;6.71583
2010.10.07;3;3.91900;1.06900;3.66604
2010.10.08;4;5.34900;1.49900;3.56838
2010.10.11;0;4.23000;0.99500;4.25126
2010.10.12;1;4.55100;0.69600;6.53879
2010.10.13;2;3.42400;0.58300;5.87307
2010.10.14;3;4.30900;0.70500;6.11206
2010.10.15;4;3.84400;0.57600;6.67361
2010.10.18;0;4.08700;0.68600;5.95773
2010.10.19;1;5.59400;0.83200;6.72356
2010.10.20;2;3.59400;0.63700;5.64207
2010.10.21;3;4.13600;0.85200;4.85446
2010.10.22;4;3.14300;0.50300;6.24851
2010.10.25;0;4.20700;0.73500;5.72381
2010.10.26;1;3.09500;0.41200;7.51214
2010.10.27;2;3.64800;0.82300;4.43256
2010.10.28;3;4.20800;0.45200;9.30973
2010.10.29;4;4.71200;2.21100;2.13116
2010.10.31;6;0.51600;0.51600;1.00000
