Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.04204;0.00847;4.96340
2009.01.02;4;0.10940;0.02275;4.80879
2009.01.05;0;0.14739;0.03605;4.08849
2009.01.06;1;0.12314;0.02405;5.12017
2009.01.07;2;0.10850;0.02270;4.77974
2009.01.08;3;0.12544;0.03015;4.16053
2009.01.09;4;0.10786;0.01833;5.88434
2009.01.12;0;0.10234;0.03301;3.10027
2009.01.13;1;0.10428;0.01937;5.38358
2009.01.14;2;0.13195;0.03905;3.37900
2009.01.15;3;0.12102;0.02605;4.64568
2009.01.16;4;0.13245;0.02630;5.03612
2009.01.19;0;0.10447;0.02033;5.13871
2009.01.20;1;0.11106;0.01708;6.50234
2009.01.21;2;0.13272;0.02239;5.92765
2009.01.22;3;0.11816;0.02250;5.25156
2009.01.23;4;0.12263;0.03845;3.18934
2009.01.26;0;0.11540;0.02475;4.66263
2009.01.27;1;0.11093;0.01810;6.12873
2009.01.28;2;0.12155;0.02800;4.34107
2009.01.29;3;0.08717;0.01794;4.85897
2009.01.30;4;0.12052;0.02070;5.82222
2009.02.02;0;0.08122;0.02191;3.70698
2009.02.03;1;0.10692;0.02310;4.62857
2009.02.04;2;0.10965;0.02120;5.17217
2009.02.05;3;0.10621;0.01540;6.89675
2009.02.06;4;0.11338;0.03530;3.21190
2009.02.09;0;0.10191;0.01745;5.84011
2009.02.10;1;0.14080;0.03465;4.06349
2009.02.11;2;0.11027;0.01510;7.30265
2009.02.12;3;0.10274;0.01675;6.13373
2009.02.13;4;0.10203;0.01850;5.51514
2009.02.16;0;0.06529;0.01065;6.13052
2009.02.17;1;0.09288;0.02625;3.53829
2009.02.18;2;0.08313;0.01250;6.65040
2009.02.19;3;0.09113;0.01500;6.07533
2009.02.20;4;0.09806;0.02305;4.25423
2009.02.23;0;0.10638;0.02060;5.16408
2009.02.24;1;0.08912;0.01445;6.16747
2009.02.25;2;0.10996;0.02155;5.10255
2009.02.26;3;0.08706;0.01805;4.82327
2009.02.27;4;0.09193;0.02385;3.85451
2009.03.02;0;0.10225;0.02110;4.84597
2009.03.03;1;0.10695;0.01695;6.30973
2009.03.04;2;0.09600;0.02565;3.74269
2009.03.05;3;0.08109;0.01926;4.21028
