Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.02765;0.00831;3.32732
2009.01.02;4;0.12100;0.02398;5.04587
2009.01.05;0;0.13453;0.04225;3.18414
2009.01.06;1;0.11010;0.02065;5.33172
2009.01.07;2;0.13135;0.03400;3.86324
2009.01.08;3;0.11121;0.02190;5.07808
2009.01.09;4;0.09401;0.03030;3.10264
2009.01.12;0;0.08673;0.01435;6.04390
2009.01.13;1;0.08352;0.01200;6.96000
2009.01.14;2;0.08359;0.01170;7.14444
2009.01.15;3;0.10020;0.01540;6.50649
2009.01.16;4;0.09636;0.01400;6.88286
2009.01.19;0;0.08484;0.02245;3.77906
2009.01.20;1;0.10425;0.02020;5.16089
2009.01.21;2;0.11125;0.02345;4.74414
2009.01.22;3;0.08945;0.00880;10.16477
2009.01.23;4;0.09574;0.02105;4.54822
2009.01.26;0;0.09465;0.02990;3.16555
2009.01.27;1;0.09895;0.01230;8.04472
2009.01.28;2;0.10218;0.02355;4.33885
2009.01.29;3;0.08870;0.01740;5.09770
2009.01.30;4;0.09459;0.01470;6.43469
2009.02.02;0;0.08100;0.01080;7.50000
2009.02.03;1;0.09873;0.02660;3.71165
2009.02.04;2;0.09613;0.02250;4.27244
2009.02.05;3;0.08319;0.01495;5.56455
2009.02.06;4;0.07937;0.01530;5.18758
2009.02.09;0;0.07890;0.01770;4.45763
2009.02.10;1;0.10388;0.02740;3.79124
2009.02.11;2;0.08434;0.01215;6.94156
2009.02.12;3;0.08964;0.01545;5.80194
2009.02.13;4;0.07618;0.00990;7.69495
2009.02.16;0;0.06790;0.01275;5.32549
2009.02.17;1;0.08813;0.01900;4.63842
2009.02.18;2;0.07533;0.01750;4.30457
2009.02.19;3;0.06612;0.00975;6.78154
2009.02.20;4;0.11393;0.04230;2.69338
2009.02.23;0;0.09981;0.02380;4.19370
2009.02.24;1;0.08690;0.01805;4.81440
2009.02.25;2;0.08375;0.01945;4.30591
2009.02.26;3;0.07325;0.01330;5.50752
2009.02.27;4;0.08601;0.01480;5.81149
2009.03.02;0;0.07804;0.00990;7.88283
2009.03.03;1;0.06940;0.01060;6.54717
2009.03.04;2;0.07650;0.01780;4.29775
2009.03.05;3;0.07885;0.01660;4.75000
2009.03.06;4;0.09107;0.02325;3.91699
2009.03.08;6;0.00341;0.00341;1.00000
2009.03.09;0;0.08266;0.01500;5.51067
2009.03.10;1;0.09865;0.02180;4.52523
2009.03.11;2;0.08337;0.01592;5.23681
2009.03.12;3;0.12617;0.04720;2.67309
2009.03.13;4;0.07879;0.00995;7.91859
2009.03.15;6;0.00274;0.00274;1.00000
2009.03.16;0;0.07445;0.01085;6.86175
2009.03.17;1;0.06455;0.00895;7.21229
2009.03.18;2;0.10932;0.04585;2.38430
2009.03.19;3;0.10665;0.03000;3.55500
2009.03.20;4;0.09142;0.01290;7.08682
2009.03.22;6;0.00155;0.00155;1.00000
2009.03.23;0;0.07995;0.01705;4.68915
2009.03.24;1;0.08078;0.01145;7.05502
2009.03.25;2;0.08906;0.01585;5.61893
2009.03.26;3;0.07281;0.01070;6.80467
2009.03.27;4;0.07689;0.02570;2.99183
2009.03.30;0;0.07755;0.01127;6.88110
2009.03.31;1;0.07986;0.01580;5.05443
2009.04.01;2;0.07213;0.01390;5.18921
2009.04.02;3;0.08195;0.01785;4.59104
2009.04.03;4;0.06551;0.00940;6.96915
2009.04.06;0;0.06292;0.01687;3.72970
2009.04.07;1;0.06556;0.01375;4.76800
2009.04.08;2;0.07096;0.01060;6.69434
2009.04.09;3;0.07242;0.01785;4.05714
2009.04.10;4;0.04442;0.00851;5.21974
2009.04.13;0;0.06747;0.03025;2.23041
2009.04.14;1;0.06660;0.01275;5.22353
2009.04.15;2;0.06582;0.01232;5.34253
2009.04.16;3;0.06553;0.01215;5.39342
2009.04.17;4;0.06422;0.02325;2.76215
2009.04.20;0;0.06451;0.00993;6.49648
2009.04.21;1;0.05790;0.00820;7.06098
2009.04.22;2;0.05999;0.01260;4.76111
2009.04.23;3;0.06606;0.01757;3.75982
2009.04.24;4;0.06758;0.01765;3.82890
2009.04.27;0;0.07240;0.02445;2.96115
