Date;Day of week;SumHL;DayHL;SumHL / DayHL
2012.06.27;2;0.04971;0.01684;2.95190
2012.06.28;3;0.04896;0.01328;3.68675
2012.06.29;4;0.04545;0.01021;4.45152
2012.07.02;0;0.02650;0.01082;2.44917
2012.07.03;1;0.03059;0.00591;5.17597
2012.07.04;2;0.03715;0.00668;5.56138
2012.07.05;3;0.05919;0.01387;4.26748
2012.07.06;4;0.04725;0.01502;3.14581
2012.07.09;0;0.05205;0.01909;2.72656
2012.07.10;1;0.02712;0.00612;4.43137
2012.07.11;2;0.03940;0.00652;6.04294
2012.07.12;3;0.03977;0.00996;3.99297
2012.07.13;4;0.04219;0.01069;3.94668
2012.07.16;0;0.04315;0.01520;2.83882
2012.07.17;1;0.03397;0.00678;5.01032
2012.07.18;2;0.02690;0.00515;5.22330
2012.07.19;3;0.02428;0.00389;6.24165
2012.07.20;4;0.02382;0.00493;4.83164
2012.07.23;0;0.04022;0.01641;2.45094
2012.07.24;1;0.03275;0.00588;5.56973
2012.07.25;2;0.03494;0.00972;3.59465
2012.07.26;3;0.04204;0.01409;2.98368
2012.07.27;4;0.03354;0.01094;3.06581
2012.07.30;0;0.02676;0.00503;5.32008
2012.07.31;1;0.03396;0.01222;2.77905
2012.08.01;2;0.03352;0.00763;4.39318
2012.08.02;3;0.05139;0.01129;4.55182
2012.08.03;4;0.03159;0.00932;3.38948
2012.08.06;0;0.02541;0.00459;5.53595
2012.08.07;1;0.02843;0.00787;3.61245
2012.08.08;2;0.02913;0.00635;4.58740
2012.08.09;3;0.04499;0.01810;2.48564
2012.08.10;4;0.02993;0.00623;4.80417
2012.08.13;0;0.02294;0.00415;5.52771
2012.08.14;1;0.02318;0.00292;7.93836
2012.08.15;2;0.02684;0.00898;2.98886
2012.08.16;3;0.02710;0.00849;3.19199
2012.08.17;4;0.02699;0.00547;4.93419
2012.08.20;0;0.02816;0.00656;4.29268
2012.08.21;1;0.03337;0.01189;2.80656
2012.08.22;2;0.02774;0.00597;4.64657
2012.08.23;3;0.02896;0.00537;5.39292
2012.08.24;4;0.02734;0.00797;3.43036
2012.08.27;0;0.02413;0.00521;4.63148
2012.08.28;1;0.02627;0.00643;4.08554
2012.08.29;2;0.02421;0.00479;5.05428
2012.08.30;3;0.02687;0.00621;4.32689
2012.08.31;4;0.02972;0.00703;4.22760
2012.09.03;0;0.02974;0.00974;3.05339
2012.09.04;1;0.02899;0.00873;3.32073
2012.09.05;2;0.03028;0.00762;3.97375
2012.09.06;3;0.02594;0.00617;4.20421
2012.09.07;4;0.03067;0.00701;4.37518
2012.09.10;0;0.02595;0.00764;3.39660
2012.09.11;1;0.03013;0.01061;2.83977
2012.09.12;2;0.02988;0.00854;3.49883
2012.09.13;3;0.04650;0.01217;3.82087
2012.09.14;4;0.03979;0.01358;2.93004
2012.09.17;0;0.03445;0.00876;3.93265
2012.09.18;1;0.03768;0.00787;4.78780
2012.09.19;2;0.04659;0.01856;2.51024
2012.09.20;3;0.03899;0.01014;3.84517
2012.09.21;4;0.02565;0.00459;5.58824
2012.09.24;0;0.03177;0.00690;4.60435
2012.09.25;1;0.03015;0.00391;7.71100
2012.09.26;2;0.03891;0.01088;3.57629
2012.09.27;3;0.03209;0.00960;3.34271
2012.09.28;4;0.03368;0.00932;3.61373
2012.10.01;0;0.02222;0.00503;4.41750
2012.10.02;1;0.02414;0.00459;5.25926
2012.10.03;2;0.03296;0.00735;4.48435
2012.10.04;3;0.02912;0.00793;3.67213
2012.10.05;4;0.03126;0.01034;3.02321
2012.10.08;0;0.03335;0.00935;3.56684
2012.10.09;1;0.03093;0.00461;6.70933
2012.10.10;2;0.03704;0.00681;5.43906
2012.10.11;3;0.04495;0.01274;3.52826
2012.10.12;4;0.04215;0.01189;3.54500
2012.10.15;0;0.04049;0.00986;4.10649
2012.10.16;1;0.04274;0.01375;3.10836
2012.10.17;2;0.04282;0.01408;3.04119
2012.10.18;3;0.03628;0.01049;3.45853
2012.10.19;4;0.03204;0.00648;4.94444
2012.10.22;0;0.02645;0.00719;3.67872
2012.10.23;1;0.02956;0.00626;4.72204
2012.10.24;2;0.03827;0.01316;2.90805
2012.10.25;3;0.04076;0.01555;2.62122
2012.10.26;4;0.05340;0.01668;3.20144
2012.10.28;6;0.00102;0.00102;1.00000
2012.10.29;0;0.04263;0.01293;3.29698
2012.10.30;1;0.02871;0.00709;4.04937
2012.10.31;2;0.03246;0.00589;5.51104
2012.11.01;3;0.02634;0.00379;6.94987
2012.11.02;4;0.02675;0.00540;4.95370
2012.11.05;0;0.07086;0.06114;1.15898
2012.11.06;1;0.04200;0.01731;2.42634
2012.11.07;2;0.03034;0.00654;4.63914
2012.11.08;3;0.02866;0.00485;5.90928
2012.11.09;4;0.03504;0.00987;3.55015
2012.11.12;0;0.03938;0.01809;2.17689
2012.11.13;1;0.03363;0.01359;2.47461
2012.11.14;2;0.03690;0.01887;1.95548
2012.11.15;3;0.04874;0.02813;1.73267
2012.11.16;4;0.04409;0.01590;2.77296
2012.11.19;0;0.03254;0.01079;3.01576
2012.11.20;1;0.02685;0.00768;3.49609
2012.11.21;2;0.03070;0.00811;3.78545
2012.11.22;3;0.02345;0.00665;3.52632
2012.11.23;4;0.02275;0.00573;3.97033
2012.11.26;0;0.02525;0.00614;4.11238
2012.11.27;1;0.03110;0.00564;5.51418
2012.11.28;2;0.03333;0.02041;1.63302
2012.11.29;3;0.04175;0.01649;2.53184
2012.11.30;4;0.04125;0.01324;3.11556
2012.12.03;0;0.04323;0.01640;2.63598
2012.12.04;1;0.03031;0.00885;3.42486
2012.12.05;2;0.03236;0.01124;2.87900
2012.12.06;3;0.03583;0.00660;5.42879
2012.12.07;4;0.02788;0.00533;5.23077
2012.12.10;0;0.03920;0.02041;1.92063
2012.12.11;1;0.04192;0.01769;2.36970
2012.12.12;2;0.03446;0.00977;3.52712
2012.12.13;3;0.03709;0.01484;2.49933
2012.12.14;4;0.05157;0.01828;2.82112
2012.12.17;0;0.03753;0.01609;2.33250
2012.12.18;1;0.03846;0.01587;2.42344
2012.12.19;2;0.03381;0.01192;2.83641
2012.12.20;3;0.03536;0.01699;2.08122
2012.12.21;4;0.03713;0.01401;2.65025
2012.12.24;0;0.02695;0.00583;4.62264
2012.12.25;1;0.01743;0.00818;2.13081
2012.12.26;2;0.03238;0.01174;2.75809
2012.12.27;3;0.03430;0.01215;2.82305
2012.12.28;4;0.03469;0.01159;2.99310
2012.12.31;0;0.02515;0.00503;5.00000
2013.01.01;1;0.02478;0.02067;1.19884
2013.01.02;2;0.03811;0.01911;1.99424
2013.01.03;3;0.03223;0.01030;3.12913
2013.01.04;4;0.04671;0.01487;3.14122
2013.01.07;0;0.03522;0.00996;3.53614
2013.01.08;1;0.03038;0.01150;2.64174
2013.01.09;2;0.05614;0.03241;1.73218
2013.01.10;3;0.09947;0.05034;1.97596
2013.01.11;4;0.04555;0.01378;3.30552
2013.01.14;0;0.03717;0.01388;2.67795
2013.01.15;1;0.04087;0.00987;4.14083
2013.01.16;2;0.03409;0.01279;2.66536
2013.01.17;3;0.03012;0.00809;3.72311
2013.01.18;4;0.03575;0.00779;4.58922
2013.01.21;0;0.03069;0.00751;4.08655
2013.01.22;1;0.02895;0.00830;3.48795
2013.01.23;2;0.03462;0.00935;3.70267
2013.01.24;3;0.03784;0.02234;1.69382
2013.01.25;4;0.05501;0.02229;2.46792
2013.01.28;0;0.04708;0.01655;2.84471
2013.01.29;1;0.06003;0.02457;2.44322
2013.01.30;2;0.05250;0.02499;2.10084
2013.01.31;3;0.02657;0.00676;3.93047
2013.02.01;4;0.03458;0.01030;3.35728
2013.02.04;0;0.03561;0.00959;3.71324
2013.02.05;1;0.02834;0.00683;4.14934
2013.02.06;2;0.02910;0.01245;2.33735
2013.02.07;3;0.03013;0.00791;3.80910
2013.02.08;4;0.03536;0.00954;3.70650
2013.02.11;0;0.02210;0.00696;3.17529
2013.02.12;1;0.02629;0.00968;2.71591
2013.02.13;2;0.01988;0.00397;5.00756
2013.02.14;3;0.02249;0.00425;5.29176
2013.02.15;4;0.02363;0.00436;5.41972
2013.02.18;0;0.03585;0.01783;2.01066
2013.02.19;1;0.02825;0.01125;2.51111
2013.02.20;2;0.03199;0.00757;4.22589
2013.02.21;3;0.03356;0.01058;3.17202
2013.02.22;4;0.02854;0.00917;3.11232
2013.02.25;0;0.03418;0.01106;3.09042
2013.02.26;1;0.02788;0.01174;2.37479
2013.02.27;2;0.02250;0.00724;3.10773
2013.02.28;3;0.02642;0.00433;6.10162
2013.03.01;4;0.02850;0.00696;4.09483
2013.03.04;0;0.02851;0.01116;2.55466
2013.03.05;1;0.03189;0.01560;2.04423
2013.03.06;2;0.03198;0.01391;2.29907
2013.03.07;3;0.02734;0.01158;2.36097
2013.03.08;4;0.02665;0.00585;4.55556
2013.03.10;6;0.00154;0.00154;1.00000
2013.03.11;0;0.02699;0.00645;4.18450
2013.03.12;1;0.03702;0.01531;2.41803
2013.03.13;2;0.04215;0.01237;3.40744
2013.03.14;3;0.03632;0.01429;2.54164
2013.03.15;4;0.02488;0.01013;2.45607
2013.03.17;6;0.00090;0.00090;1.00000
2013.03.18;0;0.02768;0.00646;4.28483
2013.03.19;1;0.04544;0.01426;3.18654
2013.03.20;2;0.03347;0.01063;3.14864
2013.03.21;3;0.02333;0.00577;4.04333
2013.03.22;4;0.02180;0.00565;3.85841
2013.03.24;6;0.00037;0.00037;1.00000
2013.03.25;0;0.02488;0.00573;4.34206
2013.03.26;1;0.02414;0.00735;3.28435
2013.03.27;2;0.03192;0.00966;3.30435
2013.03.28;3;0.02553;0.00870;2.93448
2013.03.29;4;0.02031;0.00332;6.11747
2013.04.01;0;0.02083;0.00662;3.14653
2013.04.02;1;0.03603;0.00904;3.98562
2013.04.03;2;0.02696;0.00557;4.84022
2013.04.04;3;0.02991;0.01102;2.71416
2013.04.05;4;0.02549;0.00463;5.50540
2013.04.08;0;0.03250;0.01283;2.53313
2013.04.09;1;0.03575;0.01105;3.23529
2013.04.10;2;0.02836;0.00540;5.25185
2013.04.11;3;0.03027;0.00752;4.02527
2013.04.12;4;0.02408;0.00534;4.50936
2013.04.15;0;0.03393;0.01116;3.04032
2013.04.16;1;0.03145;0.01217;2.58422
2013.04.17;2;0.03555;0.00832;4.27284
2013.04.18;3;0.03353;0.00837;4.00597
2013.04.19;4;0.02833;0.00588;4.81803
2013.04.22;0;0.02522;0.00604;4.17550
2013.04.23;1;0.03096;0.00544;5.69118
2013.04.24;2;0.03397;0.00921;3.68838
2013.04.25;3;0.02358;0.00620;3.80323
2013.04.26;4;0.02659;0.00605;4.39504
2013.04.29;0;0.02150;0.00613;3.50734
2013.04.30;1;0.02508;0.00676;3.71006
2013.05.01;2;0.02124;0.00366;5.80328
2013.05.02;3;0.02973;0.00554;5.36643
2013.05.03;4;0.03319;0.00813;4.08241
2013.05.06;0;0.07090;0.03966;1.78770
2013.05.07;1;0.05496;0.02659;2.06694
2013.05.08;2;0.05797;0.02010;2.88408
2013.05.09;3;0.03728;0.01063;3.50706
2013.05.10;4;0.05830;0.02048;2.84668
2013.05.13;0;0.03680;0.01157;3.18064
2013.05.14;1;0.04381;0.00718;6.10167
2013.05.15;2;0.02788;0.00551;5.05989
2013.05.16;3;0.03047;0.00921;3.30836
2013.05.17;4;0.03063;0.00886;3.45711
2013.05.20;0;0.03105;0.01288;2.41071
2013.05.21;1;0.03767;0.01254;3.00399
2013.05.22;2;0.04034;0.00888;4.54279
2013.05.23;3;0.04195;0.01189;3.52817
2013.05.24;4;0.03369;0.00770;4.37532
2013.05.27;0;0.03115;0.00993;3.13696
2013.05.28;1;0.02908;0.00731;3.97811
2013.05.29;2;0.04527;0.01570;2.88344
2013.05.30;3;0.03623;0.00986;3.67444
2013.05.31;4;0.07038;0.02383;2.95342
2013.06.03;0;0.05611;0.02985;1.87973
2013.06.04;1;0.03034;0.00901;3.36737
2013.06.05;2;0.02976;0.00513;5.80117
2013.06.06;3;0.03227;0.00859;3.75669
2013.06.07;4;0.05633;0.01883;2.99150
2013.06.10;0;0.03757;0.01038;3.61946
2013.06.11;1;0.04614;0.01236;3.73301
2013.06.12;2;0.02885;0.00457;6.31291
2013.06.13;3;0.04971;0.01544;3.21956
2013.06.14;4;0.03077;0.00679;4.53166
2013.06.17;0;0.03281;0.00743;4.41588
2013.06.18;1;0.03956;0.00887;4.45998
2013.06.19;2;0.04280;0.01422;3.00985
2013.06.20;3;0.04354;0.01058;4.11531
2013.06.21;4;0.02657;0.00517;5.13926
2013.06.24;0;0.03354;0.01240;2.70484
2013.06.25;1;0.03310;0.00768;4.30990
2013.06.26;2;0.03669;0.01152;3.18490
2013.06.27;3;0.02434;0.00679;3.58468
2013.06.28;4;0.03821;0.01292;2.95743
2013.07.01;0;0.02835;0.00689;4.11466
2013.07.02;1;0.02581;0.00565;4.56814
2013.07.03;2;0.02700;0.00603;4.47761
2013.07.04;3;0.02233;0.00287;7.78049
2013.07.05;4;0.02861;0.00935;3.05989
2013.07.08;0;0.02553;0.00932;2.73927
2013.07.09;1;0.02857;0.00694;4.11671
2013.07.10;2;0.03002;0.00782;3.83887
2013.07.11;3;0.03226;0.00902;3.57650
2013.07.12;4;0.03693;0.00952;3.87920
2013.07.15;0;0.04091;0.01007;4.06256
2013.07.16;1;0.02704;0.00491;5.50713
2013.07.17;2;0.02539;0.00545;4.65872
