Date;Day of week;SumHL;DayHL;SumHL / DayHL
2016.01.04;0;1.25070;0.37440;3.34054
2016.01.05;1;0.96890;0.29810;3.25025
2016.01.06;2;1.10960;0.23500;4.72170
2016.01.07;3;1.53420;0.40700;3.76953
2016.01.08;4;1.12710;0.32050;3.51669
2016.01.11;0;1.23570;0.20840;5.92946
2016.01.12;1;1.11000;0.20120;5.51690
2016.01.13;2;0.95600;0.21080;4.53510
2016.01.14;3;1.35190;0.24580;5.50000
2016.01.15;4;1.23500;0.28030;4.40599
2016.01.18;0;0.79330;0.10310;7.69447
2016.01.19;1;0.91190;0.17860;5.10582
2016.01.20;2;1.20760;0.24920;4.84591
2016.01.21;3;1.52680;0.33760;4.52251
2016.01.22;4;0.81090;0.16300;4.97485
2016.01.25;0;0.76070;0.15350;4.95570
2016.01.26;1;0.89210;0.16520;5.40012
2016.01.27;2;0.91640;0.14670;6.24676
2016.01.28;3;0.94290;0.22370;4.21502
2016.01.29;4;1.07520;0.32110;3.34849
2016.02.01;0;0.75500;0.16760;4.50477
2016.02.02;1;0.88430;0.10830;8.16528
2016.02.03;2;1.58220;0.53840;2.93871
2016.02.04;3;1.28690;0.36470;3.52865
2016.02.05;4;0.99330;0.30600;3.24608
2016.02.08;0;1.24120;0.29240;4.24487
2016.02.09;1;1.35650;0.40160;3.37774
2016.02.10;2;1.39700;0.34640;4.03291
2016.02.11;3;1.44500;0.23370;6.18314
2016.02.12;4;1.04150;0.24690;4.21831
2016.02.15;0;0.88850;0.21250;4.18118
2016.02.16;1;0.90480;0.15060;6.00797
2016.02.17;2;0.98390;0.16420;5.99208
2016.02.18;3;0.99880;0.17050;5.85806
2016.02.19;4;0.74570;0.18010;4.14048
2016.02.22;0;0.91390;0.27960;3.26860
2016.02.23;1;0.97820;0.13380;7.31091
2016.02.24;2;0.98420;0.19510;5.04459
2016.02.25;3;0.92430;0.18150;5.09256
2016.02.26;4;0.89240;0.33840;2.63712
2016.02.29;0;0.88280;0.25670;3.43903
2016.03.01;1;0.92060;0.12060;7.63350
2016.03.02;2;0.77430;0.12390;6.24939
2016.03.03;3;0.90540;0.26600;3.40376
2016.03.04;4;1.11110;0.31540;3.52283
2016.03.07;0;0.84960;0.20630;4.11827
2016.03.08;1;0.97720;0.18460;5.29361
2016.03.09;2;0.92400;0.20100;4.59701
2016.03.10;3;2.26870;0.85860;2.64232
2016.03.11;4;1.12520;0.24990;4.50260
2016.03.13;6;0.02290;0.02290;1.00000
2016.03.14;0;0.88810;0.18230;4.87164
2016.03.15;1;0.92270;0.13270;6.95328
2016.03.16;2;1.14580;0.40130;2.85522
2016.03.17;3;1.07990;0.27800;3.88453
2016.03.18;4;0.75340;0.15990;4.71169
2016.03.20;6;0.01730;0.01730;1.00000
2016.03.21;0;0.78700;0.11490;6.84943
2016.03.22;1;0.87380;0.15910;5.49214
2016.03.23;2;0.72640;0.13490;5.38473
2016.03.24;3;0.79790;0.10510;7.59182
2016.03.25;4;0.36660;0.08240;4.44903
2016.03.28;0;0.55960;0.12510;4.47322
2016.03.29;1;1.02860;0.31680;3.24684
2016.03.30;2;0.87380;0.14790;5.90805
2016.03.31;3;0.80290;0.22440;3.57799
2016.04.01;4;0.93310;0.22090;4.22408
2016.04.04;0;0.74900;0.12450;6.01606
2016.04.05;1;0.85200;0.14730;5.78411
2016.04.06;2;1.02650;0.22580;4.54606
2016.04.07;3;1.17160;0.23990;4.88370
2016.04.08;4;0.67910;0.14590;4.65456
2016.04.11;0;0.93570;0.15260;6.13172
2016.04.12;1;0.89680;0.24530;3.65593
2016.04.13;2;0.88080;0.25480;3.45683
2016.04.14;3;0.88430;0.12590;7.02383
2016.04.15;4;0.61910;0.15190;4.07571
2016.04.18;0;0.71990;0.12840;5.60670
2016.04.19;1;0.66670;0.15340;4.34615
2016.04.20;2;0.73440;0.20370;3.60530
2016.04.21;3;1.03000;0.27000;3.81481
2016.04.22;4;0.69190;0.21100;3.27915
2016.04.25;0;0.67230;0.14070;4.77825
2016.04.26;1;0.86200;0.17220;5.00581
2016.04.27;2;0.94120;0.18620;5.05478
2016.04.28;3;0.90300;0.15320;5.89426
2016.04.29;4;0.76900;0.22450;3.42539
2016.05.02;0;0.78410;0.23190;3.38120
2016.05.03;1;0.88790;0.24280;3.65692
2016.05.04;2;0.90320;0.12750;7.08392
2016.05.05;3;0.73540;0.22690;3.24108
2016.05.06;4;0.81610;0.20260;4.02813
2016.05.09;0;0.83110;0.09290;8.94618
2016.05.10;1;0.73210;0.10880;6.72886
2016.05.11;2;0.62700;0.15390;4.07407
2016.05.12;3;0.65240;0.12220;5.33879
2016.05.13;4;0.72310;0.20100;3.59751
2016.05.16;0;0.56860;0.07820;7.27110
2016.05.17;1;0.64230;0.09950;6.45528
2016.05.18;2;0.82540;0.21260;3.88241
2016.05.19;3;0.75700;0.11170;6.77708
2016.05.20;4;0.55970;0.08640;6.47801
2016.05.23;0;0.67920;0.12410;5.47301
2016.05.24;1;0.69240;0.19470;3.55624
2016.05.25;2;0.63850;0.12120;5.26815
2016.05.26;3;0.67030;0.12350;5.42753
2016.05.27;4;0.61240;0.19130;3.20125
2016.05.30;0;0.45900;0.13380;3.43049
2016.05.31;1;0.77990;0.11640;6.70017
2016.06.01;2;0.76740;0.19410;3.95363
2016.06.02;3;0.79850;0.15840;5.04104
2016.06.03;4;0.94050;0.53650;1.75303
2016.06.06;0;0.80160;0.13910;5.76276
2016.06.07;1;0.66760;0.08710;7.66475
2016.06.08;2;0.55790;0.10380;5.37476
2016.06.09;3;0.75490;0.25980;2.90570
2016.06.10;4;0.69630;0.16300;4.27178
2016.06.13;0;0.75310;0.16810;4.48007
2016.06.14;1;0.82320;0.26590;3.09590
2016.06.15;2;0.88310;0.21010;4.20324
2016.06.16;3;1.40750;0.34770;4.04803
2016.06.17;4;0.85880;0.15700;5.47006
2016.06.20;0;0.87540;0.16410;5.33455
2016.06.21;1;0.92600;0.24830;3.72936
2016.06.22;2;1.04010;0.23150;4.49287
2016.06.23;3;1.78220;0.33360;5.34233
