Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.13190;0.03329;3.96215
2009.01.02;4;0.47506;0.08466;5.61139
2009.01.05;0;0.56738;0.16464;3.44619
2009.01.06;1;0.54930;0.14558;3.77318
2009.01.07;2;0.56047;0.12711;4.40933
2009.01.08;3;0.54192;0.10273;5.27519
2009.01.09;4;0.51152;0.13240;3.86344
2009.01.12;0;0.47399;0.07798;6.07835
2009.01.13;1;0.47488;0.09830;4.83093
2009.01.14;2;0.49429;0.10192;4.84978
2009.01.15;3;0.59455;0.08749;6.79563
2009.01.16;4;0.48718;0.09843;4.94951
2009.01.19;0;0.41934;0.13527;3.10002
2009.01.20;1;0.50697;0.10940;4.63410
2009.01.21;2;0.62739;0.11386;5.51019
2009.01.22;3;0.52954;0.07435;7.12226
2009.01.23;4;0.56349;0.11855;4.75318
2009.01.26;0;0.53111;0.15176;3.49967
2009.01.27;1;0.55213;0.08799;6.27492
2009.01.28;2;0.54170;0.09226;5.87145
2009.01.29;3;0.48528;0.10672;4.54723
2009.01.30;4;0.48391;0.08971;5.39416
2009.02.02;0;0.44773;0.08771;5.10466
2009.02.03;1;0.53626;0.11570;4.63492
2009.02.04;2;0.48867;0.11369;4.29827
2009.02.05;3;0.46949;0.06337;7.40871
2009.02.06;4;0.43804;0.11030;3.97135
2009.02.09;0;0.39739;0.09595;4.14164
2009.02.10;1;0.60278;0.11583;5.20401
2009.02.11;2;0.43919;0.07301;6.01548
2009.02.12;3;0.54541;0.09888;5.51588
2009.02.13;4;0.42257;0.05469;7.72664
2009.02.16;0;0.35841;0.04499;7.96644
2009.02.17;1;0.42296;0.11345;3.72816
2009.02.18;2;0.36331;0.05867;6.19243
2009.02.19;3;0.37381;0.10894;3.43134
2009.02.20;4;0.48855;0.14730;3.31670
2009.02.23;0;0.53158;0.13583;3.91357
2009.02.24;1;0.45079;0.09848;4.57748
2009.02.25;2;0.47134;0.09425;5.00095
2009.02.26;3;0.38514;0.05824;6.61298
2009.02.27;4;0.45252;0.06859;6.59746
2009.03.02;0;0.38143;0.04280;8.91192
2009.03.03;1;0.40827;0.07333;5.56757
2009.03.04;2;0.40596;0.09728;4.17311
2009.03.05;3;0.39696;0.08604;4.61367
2009.03.06;4;0.41840;0.10214;4.09634
2009.03.08;6;0.01256;0.01256;1.00000
2009.03.09;0;0.37194;0.07972;4.66558
2009.03.10;1;0.46387;0.11306;4.10287
2009.03.11;2;0.47352;0.11409;4.15041
2009.03.12;3;0.47576;0.09503;5.00642
2009.03.13;4;0.35730;0.04237;8.43285
2009.03.15;6;0.01282;0.01282;1.00000
2009.03.16;0;0.39733;0.10462;3.79784
2009.03.17;1;0.34073;0.04416;7.71581
2009.03.18;2;0.52074;0.23277;2.23714
2009.03.19;3;0.47265;0.13004;3.63465
2009.03.20;4;0.44323;0.08389;5.28347
2009.03.22;6;0.01677;0.01677;1.00000
2009.03.23;0;0.42441;0.09947;4.26671
2009.03.24;1;0.44083;0.09894;4.45553
2009.03.25;2;0.47226;0.09072;5.20569
2009.03.26;3;0.36396;0.05808;6.26653
2009.03.27;4;0.36232;0.13720;2.64082
2009.03.30;0;0.45470;0.07821;5.81383
2009.03.31;1;0.39871;0.07164;5.56547
2009.04.01;2;0.36438;0.05097;7.14891
2009.04.02;3;0.40805;0.12247;3.33184
2009.04.03;4;0.34141;0.05268;6.48083
2009.04.06;0;0.32182;0.09079;3.54466
2009.04.07;1;0.37201;0.08239;4.51523
2009.04.08;2;0.39366;0.06803;5.78656
2009.04.09;3;0.35185;0.08887;3.95915
2009.04.10;4;0.21147;0.04260;4.96408
2009.04.13;0;0.30967;0.11291;2.74263
2009.04.14;1;0.32773;0.06503;5.03967
2009.04.15;2;0.35267;0.06322;5.57846
2009.04.16;3;0.36696;0.06029;6.08658
2009.04.17;4;0.30636;0.07813;3.92116
2009.04.20;0;0.32344;0.07641;4.23295
2009.04.21;1;0.32096;0.04295;7.47288
2009.04.22;2;0.32481;0.06698;4.84936
2009.04.23;3;0.31834;0.07834;4.06357
2009.04.24;4;0.34047;0.08014;4.24844
2009.04.27;0;0.36580;0.10837;3.37547
2009.04.28;1;0.36456;0.08934;4.08059
2009.04.29;2;0.37546;0.09331;4.02379
2009.04.30;3;0.43752;0.08198;5.33691
2009.05.01;4;0.29642;0.04796;6.18057
2009.05.04;0;0.33363;0.08753;3.81161
2009.05.05;1;0.37573;0.06565;5.72323
2009.05.06;2;0.36623;0.05498;6.66115
2009.05.07;3;0.42459;0.09173;4.62869
2009.05.08;4;0.35810;0.12739;2.81105
2009.05.11;0;0.31134;0.04583;6.79337
2009.05.12;1;0.33340;0.05743;5.80533
2009.05.13;2;0.36313;0.06168;5.88732
2009.05.14;3;0.31164;0.05593;5.57196
2009.05.15;4;0.32046;0.07529;4.25634
2009.05.18;0;0.28583;0.05797;4.93065
2009.05.19;1;0.29943;0.05467;5.47704
2009.05.20;2;0.33022;0.09802;3.36890
2009.05.21;3;0.36452;0.07649;4.76559
2009.05.22;4;0.31059;0.06107;5.08580
2009.05.25;0;0.21468;0.03532;6.07814
2009.05.26;1;0.30668;0.06191;4.95364
2009.05.27;2;0.38022;0.06743;5.63874
2009.05.28;3;0.35852;0.07241;4.95125
2009.05.29;4;0.33189;0.09099;3.64754
2009.06.01;0;0.33363;0.05535;6.02764
2009.06.02;1;0.34271;0.08516;4.02431
2009.06.03;2;0.36606;0.08502;4.30558
2009.06.04;3;0.36816;0.06319;5.82624
2009.06.05;4;0.35160;0.12269;2.86576
2009.06.08;0;0.35742;0.07722;4.62859
2009.06.09;1;0.37203;0.09597;3.87652
2009.06.10;2;0.37642;0.08585;4.38462
2009.06.11;3;0.35248;0.08789;4.01047
2009.06.12;4;0.34815;0.07332;4.74836
2009.06.15;0;0.30208;0.09515;3.17478
2009.06.16;1;0.34256;0.07233;4.73607
2009.06.17;2;0.33208;0.06834;4.85923
2009.06.18;3;0.34268;0.04979;6.88251
2009.06.19;4;0.28971;0.04918;5.89081
2009.06.22;0;0.28155;0.05333;5.27939
2009.06.23;1;0.31417;0.10672;2.94387
2009.06.24;2;0.37801;0.09503;3.97780
2009.06.25;3;0.29617;0.04694;6.30954
2009.06.26;4;0.27200;0.05166;5.26520
2009.06.29;0;0.25976;0.04593;5.65556
2009.06.30;1;0.28196;0.05679;4.96496
2009.07.01;2;0.25751;0.07628;3.37585
2009.07.02;3;0.24828;0.06236;3.98140
2009.07.03;4;0.22235;0.03937;5.64770
2009.07.06;0;0.25771;0.04665;5.52433
2009.07.07;1;0.29291;0.05674;5.16232
2009.07.08;2;0.27702;0.04116;6.73032
2009.07.09;3;0.29922;0.08254;3.62515
2009.07.10;4;0.26136;0.05798;4.50776
2009.07.13;0;0.25488;0.03980;6.40402
2009.07.14;1;0.28690;0.04009;7.15640
2009.07.15;2;0.23738;0.06946;3.41751
2009.07.16;3;0.26418;0.04034;6.54883
2009.07.17;4;0.23248;0.03420;6.79766
2009.07.20;0;0.24516;0.05719;4.28676
2009.07.21;1;0.23057;0.04250;5.42518
2009.07.22;2;0.21931;0.03808;5.75919
2009.07.23;3;0.25281;0.06236;4.05404
2009.07.24;4;0.23217;0.04439;5.23023
2009.07.27;0;0.24206;0.04609;5.25190
2009.07.28;1;0.25517;0.06423;3.97275
2009.07.29;2;0.28427;0.07170;3.96471
2009.07.30;3;0.25479;0.03235;7.87604
2009.07.31;4;0.27818;0.08046;3.45737
2009.08.03;0;0.32012;0.08735;3.66480
2009.08.04;1;0.24375;0.02397;10.16896
2009.08.05;2;0.22367;0.03319;6.73908
