Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00216;0.00058;3.72414
2009.01.02;4;0.02659;0.00210;12.66190
2009.01.05;0;0.03467;0.00560;6.19107
2009.01.06;1;0.03267;0.00295;11.07458
2009.01.07;2;0.03173;0.00365;8.69315
2009.01.08;3;0.03599;0.00605;5.94876
2009.01.09;4;0.04553;0.00705;6.45816
2009.01.12;0;0.03448;0.00578;5.96540
2009.01.13;1;0.03906;0.00440;8.87727
2009.01.14;2;0.04089;0.00425;9.62118
2009.01.15;3;0.04110;0.00635;6.47244
2009.01.16;4;0.03989;0.00405;9.84938
2009.01.19;0;0.03020;0.00260;11.61538
2009.01.20;1;0.03245;0.00355;9.14085
2009.01.21;2;0.02925;0.00255;11.47059
2009.01.22;3;0.02715;0.00201;13.50746
2009.01.23;4;0.03684;0.00515;7.15340
2009.01.26;0;0.03331;0.00530;6.28491
2009.01.27;1;0.03367;0.00495;6.80202
2009.01.28;2;0.03124;0.00290;10.77241
2009.01.29;3;0.03306;0.00325;10.17231
2009.01.30;4;0.03530;0.00360;9.80556
2009.02.02;0;0.03108;0.00340;9.14118
2009.02.03;1;0.03387;0.00335;10.11045
2009.02.04;2;0.03155;0.00315;10.01587
2009.02.05;3;0.03363;0.00275;12.22909
2009.02.06;4;0.03462;0.00330;10.49091
2009.02.09;0;0.02730;0.00270;10.11111
2009.02.10;1;0.03095;0.00262;11.81298
2009.02.11;2;0.02542;0.00208;12.22115
2009.02.12;3;0.02837;0.00250;11.34800
2009.02.13;4;0.02847;0.00273;10.42857
2009.02.16;0;0.02795;0.00286;9.77273
2009.02.17;1;0.02703;0.00229;11.80349
2009.02.18;2;0.03007;0.00255;11.79216
2009.02.19;3;0.03057;0.00275;11.11636
2009.02.20;4;0.03015;0.00276;10.92391
2009.02.23;0;0.02498;0.00258;9.68217
2009.02.24;1;0.02534;0.00185;13.69730
2009.02.25;2;0.02757;0.00288;9.57292
2009.02.26;3;0.02633;0.00213;12.36150
2009.02.27;4;0.02977;0.00298;9.98993
2009.03.02;0;0.02960;0.00365;8.10959
2009.03.03;1;0.03055;0.00325;9.40000
2009.03.04;2;0.02727;0.00277;9.84477
2009.03.05;3;0.02939;0.00335;8.77313
2009.03.06;4;0.03067;0.00390;7.86410
2009.03.08;6;0.00132;0.00132;1.00000
2009.03.09;0;0.02690;0.00195;13.79487
2009.03.10;1;0.02729;0.00210;12.99524
2009.03.11;2;0.02373;0.00265;8.95472
2009.03.12;3;0.02442;0.00330;7.40000
2009.03.13;4;0.03057;0.00285;10.72632
2009.03.15;6;0.00005;0.00005;0.50000
2009.03.16;0;0.02764;0.00255;10.83922
2009.03.17;1;0.02535;0.00200;12.67500
2009.03.18;2;0.02668;0.00195;13.68205
2009.03.19;3;0.02753;0.00287;9.59233
2009.03.20;4;0.02893;0.00285;10.15088
2009.03.22;6;0.00035;0.00035;1.00000
2009.03.23;0;0.02553;0.00259;9.85714
2009.03.24;1;0.01654;0.00121;13.66942
2009.03.25;2;0.00678;0.00085;7.97647
2009.03.26;3;0.00562;0.00048;11.70833
2009.03.27;4;0.02098;0.00178;11.78652
2009.03.30;0;0.02492;0.00239;10.42678
2009.03.31;1;0.02626;0.00170;15.44706
2009.04.01;2;0.02940;0.00204;14.41176
2009.04.02;3;0.02393;0.00204;11.73039
2009.04.03;4;0.02243;0.00157;14.28662
2009.04.06;0;0.02604;0.00360;7.23333
2009.04.07;1;0.02492;0.00220;11.32727
2009.04.08;2;0.02381;0.00190;12.53158
2009.04.09;3;0.02479;0.00158;15.68987
2009.04.10;4;0.02116;0.00165;12.82424
2009.04.13;0;0.02193;0.00170;12.90000
2009.04.14;1;0.02509;0.00177;14.17514
2009.04.15;2;0.02459;0.00164;14.99390
2009.04.16;3;0.02436;0.00149;16.34899
2009.04.17;4;0.02460;0.00152;16.18421
2009.04.20;0;0.02262;0.00194;11.65979
2009.04.21;1;0.03339;0.00249;13.40964
2009.04.22;2;0.02800;0.00295;9.49153
2009.04.23;3;0.02096;0.00138;15.18841
2009.04.24;4;0.02256;0.00145;15.55862
2009.04.27;0;0.05990;0.00552;10.85145
2009.04.28;1;0.07724;0.00615;12.55935
2009.04.29;2;0.07362;0.00530;13.89057
2009.04.30;3;0.07768;0.00522;14.88123
