Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00000;0.00000;0.00000
2009.01.02;4;26.45500;3.47200;7.61953
2009.01.05;0;28.17800;7.38100;3.81764
2009.01.06;1;26.61700;5.40000;4.92907
2009.01.07;2;28.07300;4.06700;6.90263
2009.01.08;3;30.32400;5.46900;5.54471
2009.01.09;4;34.02500;7.88900;4.31297
2009.01.12;0;31.75000;6.31300;5.02930
2009.01.13;1;42.78700;8.29900;5.15568
2009.01.14;2;46.15900;9.70100;4.75817
2009.01.15;3;42.75100;5.63300;7.58938
2009.01.16;4;38.90500;6.88400;5.65151
2009.01.19;0;34.68000;9.33400;3.71545
2009.01.20;1;46.35600;7.12600;6.50519
2009.01.21;2;39.77500;6.79800;5.85099
2009.01.22;3;40.30400;6.82800;5.90275
2009.01.23;4;43.61900;10.04700;4.34149
2009.01.26;0;38.04000;9.24800;4.11332
2009.01.27;1;35.52000;7.77000;4.57143
2009.01.28;2;31.68300;4.61400;6.86671
2009.01.29;3;28.95700;8.77400;3.30032
2009.01.30;4;37.05700;9.19100;4.03188
2009.02.02;0;36.68100;5.54500;6.61515
2009.02.03;1;43.38200;5.84400;7.42334
2009.02.04;2;43.85700;7.89600;5.55433
2009.02.05;3;34.12200;6.98400;4.88574
2009.02.06;4;38.00000;8.51400;4.46324
2009.02.09;0;31.67800;8.47300;3.73870
2009.02.10;1;53.69800;9.92300;5.41147
2009.02.11;2;32.35200;5.08700;6.35974
2009.02.12;3;39.15200;7.83000;5.00026
2009.02.13;4;35.77800;8.14000;4.39533
2009.02.16;0;41.80300;6.76800;6.17657
2009.02.17;1;42.89400;9.00400;4.76388
2009.02.18;2;55.55200;7.55300;7.35496
2009.02.19;3;36.49400;6.80800;5.36046
2009.02.20;4;40.38300;8.27000;4.88307
2009.02.23;0;56.04300;11.40900;4.91217
2009.02.24;1;39.96100;6.77100;5.90179
2009.02.25;2;43.92800;9.03100;4.86413
2009.02.26;3;32.65300;4.85700;6.72287
2009.02.27;4;41.48000;7.63000;5.43644
2009.03.02;0;40.70700;8.85700;4.59603
2009.03.03;1;35.96800;6.40600;5.61474
2009.03.04;2;39.23400;7.19300;5.45447
2009.03.05;3;44.13400;10.32900;4.27282
2009.03.06;4;40.08200;6.52600;6.14189
2009.03.08;6;2.07500;2.07500;1.00000
2009.03.09;0;44.03400;7.32900;6.00819
2009.03.10;1;36.73800;9.25100;3.97125
2009.03.11;2;41.89700;8.33100;5.02905
2009.03.12;3;46.87400;14.55500;3.22047
2009.03.13;4;38.27800;8.19300;4.67204
2009.03.15;6;1.65100;1.65100;1.00000
2009.03.16;0;38.75400;7.04700;5.49936
2009.03.17;1;37.16500;6.99000;5.31688
2009.03.18;2;40.63800;11.85300;3.42850
2009.03.19;3;36.98600;6.43300;5.74942
2009.03.20;4;29.95600;4.46600;6.70757
2009.03.22;6;1.65300;1.65300;1.00000
2009.03.23;0;44.04400;5.39500;8.16386
2009.03.24;1;30.85900;3.78000;8.16376
2009.03.25;2;30.24900;6.20700;4.87337
2009.03.26;3;23.15400;2.91400;7.94578
2009.03.27;4;28.80200;9.36900;3.07418
2009.03.30;0;45.80500;8.86800;5.16520
2009.03.31;1;29.14900;5.55100;5.25113
2009.04.01;2;38.97400;7.01200;5.55819
2009.04.02;3;50.25000;12.99600;3.86657
2009.04.03;4;30.81100;4.23100;7.28220
2009.04.06;0;28.31600;6.73500;4.20431
2009.04.07;1;37.38100;5.53200;6.75723
2009.04.08;2;33.32500;7.24500;4.59972
2009.04.09;3;36.80400;4.08400;9.01175
2009.04.10;4;20.50500;3.65900;5.60399
2009.04.13;0;20.22900;5.77600;3.50225
2009.04.14;1;36.18400;4.90700;7.37396
2009.04.15;2;31.45700;4.33400;7.25819
2009.04.16;3;28.68600;5.20000;5.51654
2009.04.17;4;26.81400;7.11300;3.76972
2009.04.20;0;27.63800;5.89200;4.69077
2009.04.21;1;31.33800;5.22100;6.00230
2009.04.22;2;29.24000;4.90200;5.96491
2009.04.23;3;28.69600;3.85600;7.44191
2009.04.24;4;39.38700;8.87700;4.43697
2009.04.27;0;33.80000;6.04400;5.59232
2009.04.28;1;36.05000;7.16700;5.03000
2009.04.29;2;41.28300;10.05900;4.10409
2009.04.30;3;34.76900;6.01500;5.78038
2009.05.01;4;27.61900;3.51400;7.85970
2009.05.04;0;31.06200;6.22300;4.99148
2009.05.05;1;33.03200;5.00800;6.59585
2009.05.06;2;36.46000;5.62700;6.47947
2009.05.07;3;36.47700;7.99200;4.56419
2009.05.08;4;37.34500;7.20500;5.18321
2009.05.11;0;34.99300;5.68800;6.15207
2009.05.12;1;33.99900;4.65800;7.29906
2009.05.13;2;34.65600;8.69500;3.98574
2009.05.14;3;40.50600;5.00300;8.09634
2009.05.15;4;35.03500;5.31500;6.59172
2009.05.18;0;32.43900;8.15700;3.97683
2009.05.19;1;35.66800;5.86200;6.08461
2009.05.20;2;41.25100;10.35900;3.98214
2009.05.21;3;34.43400;5.78200;5.95538
2009.05.22;4;32.36400;4.35200;7.43658
2009.05.25;0;25.93100;3.30300;7.85074
2009.05.26;1;30.29600;5.07700;5.96730
2009.05.27;2;31.04100;4.52700;6.85686
2009.05.28;3;35.15900;4.00300;8.78316
2009.05.29;4;30.55200;6.49400;4.70465
2009.06.01;0;31.53700;9.03700;3.48976
2009.06.02;1;26.63100;4.84000;5.50227
2009.06.03;2;35.29900;9.87200;3.57567
2009.06.04;3;29.67400;3.89800;7.61262
2009.06.05;4;29.03600;6.64200;4.37157
2009.06.08;0;26.23100;3.81200;6.88116
2009.06.09;1;30.73200;7.14100;4.30360
2009.06.10;2;31.25200;5.59500;5.58570
2009.06.11;3;24.26400;6.45800;3.75720
2009.06.12;4;24.22600;5.74300;4.21835
2009.06.15;0;26.47400;7.43200;3.56216
2009.06.16;1;29.47600;4.47600;6.58534
2009.06.17;2;25.00100;3.89200;6.42369
2009.06.18;3;29.97900;4.00600;7.48352
2009.06.19;4;23.35800;4.50300;5.18721
2009.06.22;0;23.90000;4.26400;5.60507
2009.06.23;1;25.01700;5.18600;4.82395
2009.06.24;2;25.33100;3.38300;7.48773
2009.06.25;3;24.60800;3.79800;6.47920
2009.06.26;4;25.82300;3.08500;8.37050
2009.06.29;0;19.33100;3.68900;5.24017
2009.06.30;1;22.56400;4.41600;5.10960
2009.07.01;2;22.79500;6.90900;3.29932
2009.07.02;3;23.95500;4.59000;5.21895
2009.07.03;4;22.47200;6.21000;3.61868
2009.07.06;0;23.36300;3.86300;6.04789
2009.07.07;1;24.53200;5.55000;4.42018
2009.07.08;2;26.13500;4.07900;6.40721
2009.07.09;3;26.93100;7.36900;3.65463
2009.07.10;4;24.22100;4.97300;4.87050
2009.07.13;0;24.99400;3.88000;6.44175
2009.07.14;1;23.17400;2.04600;11.32649
2009.07.15;2;19.31000;4.31600;4.47405
2009.07.16;3;21.15300;2.91100;7.26658
2009.07.17;4;19.42000;2.48200;7.82434
2009.07.20;0;21.27400;4.79100;4.44041
2009.07.21;1;19.53900;3.21500;6.07745
2009.07.22;2;21.07800;3.31500;6.35837
2009.07.23;3;20.03500;4.26600;4.69644
2009.07.24;4;20.66100;4.03300;5.12299
2009.07.27;0;23.72300;2.87800;8.24288
2009.07.28;1;25.58200;5.30200;4.82497
2009.07.29;2;23.41900;3.65100;6.41441
2009.07.30;3;22.36200;3.50900;6.37276
2009.07.31;4;26.28800;5.13400;5.12037
2009.08.03;0;24.82900;4.67400;5.31215
2009.08.04;1;21.69100;2.81000;7.71922
2009.08.05;2;19.72600;3.99500;4.93767
2009.08.06;3;19.31800;3.62600;5.32763
2009.08.07;4;26.21400;5.52400;4.74547
2009.08.10;0;21.72900;4.43500;4.89944
2009.08.11;1;19.99800;3.80600;5.25434
2009.08.12;2;27.80800;7.44000;3.73763
2009.08.13;3;26.87900;3.94800;6.80826
2009.08.14;4;20.95600;4.58100;4.57455
2009.08.17;0;21.71100;3.94000;5.51041
2009.08.18;1;18.35800;2.98100;6.15834
2009.08.19;2;24.95800;5.66400;4.40643
2009.08.20;3;17.24700;2.54000;6.79016
2009.08.21;4;19.10100;4.44100;4.30106
2009.08.24;0;14.20100;1.87200;7.58600
2009.08.25;1;17.24000;3.77700;4.56447
2009.08.26;2;20.80300;3.94400;5.27459
2009.08.27;3;22.39600;3.81800;5.86590
2009.08.28;4;20.61400;2.90000;7.10828
2009.08.31;0;17.82800;2.37700;7.50021
2009.09.01;1;25.68400;6.96800;3.68599
2009.09.02;2;20.37500;2.75200;7.40371
2009.09.03;3;20.56500;3.10900;6.61467
2009.09.04;4;18.09300;2.99300;6.04511
2009.09.07;0;4.72600;1.93000;2.44870
2009.09.08;1;17.99600;4.84300;3.71588
2009.09.09;2;17.43100;1.78000;9.79270
2009.09.10;3;25.82100;3.47600;7.42837
2009.09.11;4;18.85300;2.13700;8.82218
2009.09.14;0;19.10000;2.94200;6.49218
2009.09.15;1;19.45500;3.22900;6.02509
2009.09.16;2;17.45500;3.54500;4.92384
2009.09.17;3;15.75300;2.82700;5.57234
2009.09.18;4;17.36600;2.42700;7.15534
2009.09.21;0;19.87800;4.80300;4.13866
2009.09.22;1;15.53700;2.20200;7.05586
2009.09.23;2;16.72200;1.84400;9.06833
2009.09.24;3;21.15100;3.20200;6.60556
2009.09.25;4;20.33900;2.66100;7.64337
2009.09.28;0;18.97000;2.55000;7.43922
2009.09.29;1;17.44500;2.49700;6.98638
2009.09.30;2;18.29500;2.37900;7.69021
2009.10.01;3;18.61100;3.53100;5.27074
2009.10.02;4;22.40200;4.70300;4.76334
2009.10.05;0;19.48500;6.34500;3.07092
2009.10.06;1;17.71800;2.18700;8.10151
2009.10.07;2;21.09000;3.42200;6.16306
