Date;Day of week;SumHL;DayHL;SumHL / DayHL
2016.12.15;3;0.14102;0.04353;3.23960
2016.12.16;4;0.13339;0.04545;2.93487
2016.12.19;0;0.09406;0.01606;5.85679
2016.12.20;1;0.11257;0.03230;3.48514
2016.12.21;2;0.10455;0.02473;4.22766
2016.12.22;3;0.11219;0.02515;4.46083
2016.12.23;4;0.14552;0.02696;5.39763
2016.12.26;0;0.23400;0.03366;6.95187
2016.12.27;1;0.16886;0.05887;2.86835
2016.12.28;2;0.14401;0.02958;4.86849
2016.12.29;3;0.11768;0.01767;6.65988
2016.12.30;4;0.13646;0.03301;4.13390
2017.01.02;0;0.19585;0.03409;5.74509
2017.01.03;1;0.13926;0.06069;2.29461
2017.01.04;2;0.12016;0.01915;6.27467
2017.01.05;3;0.12292;0.02456;5.00489
2017.01.06;4;0.13587;0.03687;3.68511
2017.01.09;0;0.10952;0.02519;4.34776
2017.01.10;1;0.08462;0.01922;4.40271
2017.01.11;2;0.16413;0.04693;3.49734
2017.01.12;3;0.10356;0.01588;6.52141
2017.01.13;4;0.13452;0.02415;5.57019
2017.01.16;0;0.07909;0.01758;4.49886
2017.01.17;1;0.11918;0.02543;4.68659
2017.01.18;2;0.09234;0.01349;6.84507
2017.01.19;3;0.10158;0.01837;5.52967
2017.01.20;4;0.10397;0.02504;4.15216
2017.01.23;0;0.09634;0.02617;3.68131
2017.01.24;1;0.07952;0.01358;5.85567
2017.01.25;2;0.07982;0.01225;6.51592
2017.01.26;3;0.08185;0.01659;4.93369
2017.01.27;4;0.11429;0.03651;3.13038
2017.01.30;0;0.08742;0.02143;4.07933
2017.01.31;1;0.12515;0.01840;6.80163
2017.02.01;2;0.10873;0.02173;5.00368
2017.02.02;3;0.08863;0.02455;3.61018
2017.02.03;4;0.12728;0.02332;5.45798
2017.02.06;0;0.09616;0.02235;4.30246
2017.02.07;1;0.10280;0.02212;4.64738
2017.02.08;2;0.08428;0.01645;5.12340
2017.02.09;3;0.09523;0.01221;7.79934
2017.02.10;4;0.09683;0.01387;6.98125
2017.02.13;0;0.08756;0.01024;8.55078
2017.02.14;1;0.09547;0.01357;7.03537
2017.02.15;2;0.12637;0.02876;4.39395
2017.02.16;3;0.11899;0.03678;3.23518
2017.02.17;4;0.11325;0.02677;4.23048
2017.02.20;0;0.13215;0.02467;5.35671
2017.02.21;1;0.11484;0.02217;5.17997
2017.02.22;2;0.10623;0.02170;4.89539
2017.02.23;3;0.09449;0.01692;5.58452
2017.02.24;4;0.10126;0.02314;4.37597
2017.02.27;0;0.10451;0.03408;3.06661
2017.02.28;1;0.10686;0.03677;2.90617
2017.03.01;2;0.13268;0.03500;3.79086
2017.03.02;3;0.11612;0.03673;3.16145
2017.03.03;4;0.11892;0.01855;6.41078
2017.03.06;0;0.09576;0.02604;3.67742
2017.03.07;1;0.09170;0.01483;6.18341
2017.03.08;2;0.08710;0.02463;3.53634
2017.03.09;3;0.12327;0.03121;3.94970
2017.03.10;4;0.13034;0.02481;5.25353
2017.03.12;6;0.00000;0.00000;0.00000
2017.03.13;0;0.10184;0.02352;4.32993
2017.03.14;1;0.10835;0.05003;2.16570
2017.03.15;2;0.12967;0.04423;2.93172
2017.03.16;3;0.16841;0.05686;2.96184
2017.03.17;4;0.10414;0.01892;5.50423
2017.03.19;6;0.00000;0.00000;0.00000
2017.03.20;0;0.09405;0.01958;4.80337
2017.03.21;1;0.11521;0.03834;3.00496
2017.03.22;2;0.10642;0.03484;3.05454
2017.03.23;3;0.10006;0.03330;3.00480
2017.03.24;4;0.08523;0.03248;2.62408
2017.03.27;0;0.08476;0.02706;3.13230
2017.03.28;1;0.09738;0.01545;6.30291
2017.03.29;2;0.09559;0.01753;5.45294
2017.03.30;3;0.10353;0.02044;5.06507
2017.03.31;4;0.09876;0.01872;5.27564
2017.04.03;0;0.09549;0.02369;4.03081
2017.04.04;1;0.09420;0.02851;3.30410
2017.04.05;2;0.09321;0.01728;5.39410
2017.04.06;3;0.07577;0.01752;4.32477
2017.04.07;4;0.12476;0.03037;4.10800
2017.04.10;0;0.12708;0.03410;3.72669
2017.04.11;1;0.07789;0.01562;4.98656
2017.04.12;2;0.09680;0.03157;3.06620
2017.04.13;3;0.09328;0.03277;2.84651
2017.04.14;4;0.15500;0.02437;6.36028
2017.04.17;0;0.07231;0.01071;6.75163
2017.04.18;1;0.09546;0.02490;3.83373
2017.04.19;2;0.09591;0.02546;3.76709
2017.04.20;3;0.09893;0.01724;5.73840
2017.04.21;4;0.10422;0.02231;4.67145
2017.04.24;0;0.10486;0.02793;3.75439
2017.04.25;1;0.08896;0.02059;4.32054
2017.04.26;2;0.08973;0.01803;4.97671
2017.04.27;3;0.09033;0.01696;5.32606
2017.04.28;4;0.11966;0.02717;4.40412
2017.05.01;0;0.08696;0.01351;6.43671
2017.05.02;1;0.06257;0.00956;6.54498
2017.05.03;2;0.10824;0.01728;6.26389
2017.05.04;3;0.09361;0.01995;4.69223
2017.05.05;4;0.08745;0.02915;3.00000
2017.05.08;0;0.08841;0.01849;4.78150
2017.05.09;1;0.09251;0.01580;5.85506
2017.05.10;2;0.09374;0.01612;5.81514
2017.05.11;3;0.08299;0.01886;4.40032
2017.05.12;4;0.10483;0.01717;6.10542
2017.05.15;0;0.09013;0.01457;6.18600
2017.05.16;1;0.10359;0.01864;5.55740
2017.05.17;2;0.12928;0.02852;4.53296
2017.05.18;3;0.15609;0.03259;4.78951
2017.05.19;4;0.08584;0.02080;4.12692
2017.05.22;0;0.09020;0.01624;5.55419
2017.05.23;1;0.10355;0.02000;5.17750
2017.05.24;2;0.09309;0.02283;4.07753
2017.05.25;3;0.10398;0.02480;4.19274
2017.05.26;4;0.10648;0.02747;3.87623
2017.05.29;0;0.08606;0.02594;3.31766
2017.05.30;1;0.09562;0.03247;2.94487
2017.05.31;2;0.07904;0.01682;4.69917
2017.06.01;3;0.09048;0.02123;4.26189
2017.06.02;4;0.08924;0.02160;4.13148
2017.06.05;0;0.07354;0.01749;4.20469
2017.06.06;1;0.06247;0.01178;5.30306
2017.06.07;2;0.08295;0.01788;4.63926
2017.06.08;3;0.07257;0.01572;4.61641
2017.06.09;4;0.09863;0.01573;6.27018
2017.06.12;0;0.07816;0.02685;2.91099
2017.06.13;1;0.07844;0.02326;3.37231
2017.06.14;2;0.10032;0.02766;3.62690
2017.06.15;3;0.07577;0.02098;3.61153
2017.06.16;4;0.08032;0.01728;4.64815
2017.06.19;0;0.08680;0.01459;5.94928
2017.06.20;1;0.08546;0.03298;2.59127
2017.06.21;2;0.06380;0.01114;5.72711
2017.06.22;3;0.05844;0.01914;3.05329
2017.06.23;4;0.07350;0.01541;4.76963
2017.06.26;0;0.00000;0.00000;0.00000
2017.06.27;1;0.01463;0.02308;0.63388
2017.06.28;2;0.07809;0.02350;3.32298
2017.06.29;3;0.07324;0.01931;3.79285
2017.06.30;4;0.05134;0.01291;3.97676
2017.07.03;0;0.06036;0.01996;3.02405
2017.07.04;1;0.04838;0.02037;2.37506
2017.07.05;2;0.06270;0.01551;4.04255
2017.07.06;3;0.06703;0.02753;2.43480
2017.07.07;4;0.04869;0.01983;2.45537
2017.07.10;0;0.05145;0.01666;3.08824
2017.07.11;1;0.09153;0.03183;2.87559
2017.07.12;2;0.07521;0.03401;2.21141
2017.07.13;3;0.06551;0.01711;3.82876
2017.07.14;4;0.06377;0.02762;2.30883
2017.07.17;0;0.09875;0.04071;2.42569
2017.07.18;1;0.11160;0.02171;5.14049
2017.07.19;2;0.09331;0.02985;3.12596
2017.07.20;3;0.12145;0.03617;3.35776
2017.07.21;4;0.14783;0.05837;2.53264
2017.07.24;0;0.14449;0.05077;2.84597
2017.07.25;1;0.10698;0.02462;4.34525
2017.07.26;2;0.11715;0.02708;4.32607
2017.07.27;3;0.10793;0.02002;5.39111
2017.07.28;4;0.08903;0.02441;3.64728
2017.07.31;0;0.09440;0.03317;2.84595
2017.08.01;1;0.05999;0.02063;2.90790
2017.08.02;2;0.11580;0.03719;3.11374
2017.08.03;3;0.09104;0.03915;2.32542
2017.08.04;4;0.13089;0.04683;2.79500
2017.08.07;0;0.09323;0.02710;3.44022
2017.08.08;1;0.09648;0.02642;3.65178
2017.08.09;2;0.07906;0.01550;5.10065
2017.08.10;3;0.09133;0.02433;3.75380
2017.08.11;4;0.09435;0.02141;4.40682
2017.08.14;0;0.07445;0.01724;4.31845
2017.08.15;1;0.11407;0.05149;2.21538
2017.08.16;2;0.11448;0.03563;3.21302
2017.08.17;3;0.08900;0.02036;4.37132
2017.08.18;4;0.09087;0.03068;2.96186
2017.08.21;0;0.08012;0.03080;2.60130
2017.08.22;1;0.06493;0.01814;3.57938
2017.08.23;2;0.08063;0.01726;4.67149
2017.08.24;3;0.08236;0.02433;3.38512
2017.08.25;4;0.08082;0.02579;3.13377
2017.08.28;0;0.05862;0.01597;3.67063
2017.08.29;1;0.09835;0.01921;5.11973
2017.08.30;2;0.08096;0.02626;3.08302
2017.08.31;3;0.08635;0.02452;3.52162
2017.09.01;4;0.11608;0.02513;4.61918
2017.09.04;0;0.06151;0.01684;3.65261
2017.09.05;1;0.09073;0.02403;3.77570
2017.09.06;2;0.09975;0.02748;3.62991
2017.09.07;3;0.14422;0.05141;2.80529
2017.09.08;4;0.10215;0.02425;4.21237
2017.09.11;0;0.07400;0.02613;2.83199
2017.09.12;1;0.11632;0.03916;2.97038
