Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;4.25400;1.83300;2.32079
2009.01.02;4;6.19500;1.81000;3.42265
2009.01.05;0;6.94600;1.79000;3.88045
2009.01.06;1;6.71800;1.80000;3.73222
2009.01.07;2;8.39000;1.80000;4.66111
2009.01.08;3;7.54300;2.08500;3.61775
2009.01.09;4;7.46500;1.50500;4.96013
2009.01.12;0;5.67000;1.38500;4.09386
2009.01.13;1;6.88200;1.09000;6.31376
2009.01.14;2;6.94800;1.36500;5.09011
2009.01.15;3;7.67800;1.54000;4.98571
2009.01.16;4;6.52500;1.18500;5.50633
2009.01.19;0;5.53800;1.14500;4.83668
2009.01.20;1;6.31000;1.29500;4.87259
2009.01.21;2;9.00500;3.07000;2.93322
2009.01.22;3;9.47500;1.48500;6.38047
2009.01.23;4;8.32500;1.64500;5.06079
2009.01.26;0;8.23400;1.43000;5.75804
2009.01.27;1;8.87500;1.64000;5.41159
2009.01.28;2;7.50000;1.89000;3.96825
2009.01.29;3;7.44000;1.18500;6.27848
2009.01.30;4;6.65000;0.98000;6.78571
2009.02.02;0;6.09000;1.19500;5.09623
2009.02.03;1;6.49500;1.39000;4.67266
2009.02.04;2;5.92000;0.96000;6.16667
2009.02.05;3;7.49800;3.03500;2.47051
2009.02.06;4;7.02500;1.48000;4.74662
2009.02.09;0;6.99800;1.53000;4.57386
2009.02.10;1;7.92000;1.53500;5.15961
2009.02.11;2;6.01000;1.06000;5.66981
2009.02.12;3;5.77000;1.30500;4.42146
2009.02.13;4;6.69000;1.60500;4.16822
2009.02.16;0;4.89300;0.65000;7.52769
2009.02.17;1;6.59900;1.19000;5.54538
2009.02.18;2;6.17000;1.87500;3.29067
2009.02.19;3;5.89000;1.16500;5.05579
2009.02.20;4;7.30500;1.87000;3.90642
2009.02.23;0;8.98000;2.18500;4.10984
2009.02.24;1;7.72000;2.67000;2.89139
2009.02.25;2;9.14500;1.43500;6.37282
2009.02.26;3;6.02500;1.40500;4.28826
2009.02.27;4;8.70500;1.75500;4.96011
2009.03.02;0;7.64500;0.99500;7.68342
2009.03.03;1;6.22000;1.60000;3.88750
2009.03.04;2;5.96500;1.36500;4.36996
2009.03.05;3;7.78000;1.96000;3.96939
2009.03.06;4;9.07500;1.93000;4.70207
2009.03.08;6;0.14800;0.14800;1.00000
2009.03.09;0;6.29500;1.29500;4.86100
2009.03.10;1;6.36500;1.24000;5.13306
2009.03.11;2;7.02000;1.81500;3.86777
2009.03.12;3;10.58500;2.86000;3.70105
2009.03.13;4;7.84000;1.53500;5.10749
2009.03.15;6;0.08200;0.08200;1.00000
2009.03.16;0;6.03500;1.10500;5.46154
2009.03.17;1;4.77400;0.81500;5.85767
2009.03.18;2;8.47000;3.20000;2.64688
2009.03.19;3;10.03000;3.06500;3.27243
2009.03.20;4;8.10500;2.11500;3.83215
2009.03.22;6;0.16500;0.16500;1.00000
2009.03.23;0;7.82500;1.95500;4.00256
2009.03.24;1;7.88500;1.65500;4.76435
2009.03.25;2;9.10500;1.43500;6.34495
2009.03.26;3;6.12000;1.43000;4.27972
2009.03.27;4;7.41000;1.75000;4.23429
2009.03.30;0;8.43100;2.36500;3.56490
2009.03.31;1;8.38600;2.15600;3.88961
2009.04.01;2;8.57500;1.25500;6.83267
2009.04.02;3;7.37000;1.52500;4.83279
2009.04.03;4;6.90100;1.03500;6.66763
2009.04.06;0;5.92100;1.31600;4.49924
2009.04.07;1;7.05000;1.25500;5.61753
2009.04.08;2;7.00200;1.55500;4.50289
2009.04.09;3;4.96800;0.93500;5.31337
2009.04.10;4;3.39700;0.52500;6.47048
2009.04.13;0;3.85900;0.87000;4.43563
2009.04.14;1;6.37600;1.68500;3.78398
2009.04.15;2;6.69900;1.51500;4.42178
2009.04.16;3;5.64500;0.99000;5.70202
2009.04.17;4;5.47800;1.04500;5.24211
2009.04.20;0;6.02100;1.76000;3.42102
2009.04.21;1;6.07800;1.19000;5.10756
2009.04.22;2;6.36000;1.17000;5.43590
2009.04.23;3;5.66700;0.80500;7.03975
2009.04.24;4;6.56000;1.51500;4.33003
2009.04.27;0;4.88700;0.68000;7.18676
2009.04.28;1;5.46000;1.15000;4.74783
2009.04.29;2;6.13000;1.59500;3.84326
2009.04.30;3;6.65000;1.85000;3.59459
2009.05.01;4;5.66000;1.05500;5.36493
2009.05.04;0;4.22800;0.84000;5.03333
2009.05.05;1;4.54400;0.60500;7.51074
2009.05.06;2;6.20500;1.14500;5.41921
2009.05.07;3;5.65000;1.47500;3.83051
2009.05.08;4;5.36500;1.26500;4.24111
2009.05.11;0;6.05000;1.57000;3.85350
2009.05.12;1;6.93000;1.72500;4.01739
2009.05.13;2;7.58000;1.55000;4.89032
2009.05.14;3;5.63500;0.75000;7.51333
2009.05.15;4;6.67500;1.45500;4.58763
2009.05.18;0;6.32200;1.91000;3.30995
2009.05.19;1;5.31500;0.80500;6.60248
2009.05.20;2;5.70000;1.53500;3.71336
2009.05.21;3;6.97500;1.29500;5.38610
2009.05.22;4;5.65000;1.06500;5.30516
2009.05.25;0;4.10400;0.79000;5.19494
2009.05.26;1;4.88100;0.63000;7.74762
2009.05.27;2;5.42000;0.85000;6.37647
2009.05.28;3;6.92100;2.02000;3.42624
2009.05.29;4;6.94000;2.00500;3.46135
2009.06.01;0;7.90700;2.35500;3.35754
2009.06.02;1;7.14000;1.32500;5.38868
2009.06.03;2;6.36200;1.04500;6.08804
2009.06.04;3;5.62000;1.09500;5.13242
2009.06.05;4;6.99500;2.37500;2.94526
2009.06.08;0;5.46000;0.65500;8.33588
2009.06.09;1;5.68800;1.31500;4.32548
2009.06.10;2;5.08400;1.35500;3.75203
2009.06.11;3;5.38700;1.26500;4.25850
2009.06.12;4;4.09500;0.95500;4.28796
2009.06.15;0;5.07900;0.99200;5.11996
2009.06.16;1;7.53200;1.80900;4.16363
2009.06.17;2;6.92900;1.28100;5.40906
2009.06.18;3;5.69700;1.07800;5.28479
2009.06.19;4;5.14800;1.16700;4.41131
2009.06.22;0;4.91200;0.58500;8.39658
2009.06.23;1;6.11200;1.08000;5.65926
2009.06.24;2;5.97000;1.02500;5.82439
2009.06.25;3;5.60300;0.97000;5.77629
2009.06.26;4;4.49900;0.99400;4.52616
2009.06.29;0;4.33600;1.07800;4.02226
2009.06.30;1;5.29000;1.20000;4.40833
2009.07.01;2;4.86300;0.82000;5.93049
2009.07.02;3;4.77000;1.18500;4.02532
2009.07.03;4;3.26000;0.42500;7.67059
2009.07.06;0;5.05300;1.46700;3.44444
2009.07.07;1;4.42000;0.74500;5.93289
2009.07.08;2;8.11900;3.10900;2.61145
2009.07.09;3;7.10500;1.22500;5.80000
2009.07.10;4;6.09700;1.41000;4.32411
2009.07.13;0;7.10000;1.29500;5.48263
2009.07.14;1;5.75500;1.05000;5.48095
2009.07.15;2;4.93000;1.21000;4.07438
2009.07.16;3;5.57000;1.18500;4.70042
2009.07.17;4;4.46800;0.90000;4.96444
2009.07.20;0;4.08700;0.65000;6.28769
2009.07.21;1;4.89500;1.10500;4.42986
2009.07.22;2;4.96000;0.78000;6.35897
2009.07.23;3;4.99000;1.77000;2.81921
2009.07.24;4;3.95000;0.57500;6.86957
2009.07.27;0;3.60000;0.71500;5.03497
2009.07.28;1;5.16200;1.23000;4.19675
2009.07.29;2;5.91500;1.34500;4.39777
2009.07.30;3;4.72500;1.06000;4.45755
2009.07.31;4;5.26000;1.32500;3.96981
2009.08.03;0;3.72500;0.84000;4.43452
2009.08.04;1;4.70200;1.10500;4.25520
2009.08.05;2;4.27000;0.77000;5.54545
2009.08.06;3;4.38500;1.03000;4.25728
2009.08.07;4;6.32300;2.73500;2.31188
2009.08.10;0;4.49000;0.83000;5.40964
2009.08.11;1;4.82300;1.40000;3.44500
2009.08.12;2;6.17000;1.64000;3.76220
2009.08.13;3;5.88500;1.45000;4.05862
2009.08.14;4;4.99500;1.05000;4.75714
2009.08.17;0;4.43600;0.67000;6.62090
2009.08.18;1;4.71500;0.95000;4.96316
2009.08.19;2;4.95500;1.29500;3.82625
2009.08.20;3;4.29500;0.69500;6.17986
2009.08.21;4;5.90500;1.30000;4.54231
2009.08.24;0;4.51300;0.79500;5.67673
2009.08.25;1;4.90500;0.85500;5.73684
2009.08.26;2;4.42500;0.69500;6.36691
2009.08.27;3;4.81500;1.08000;4.45833
2009.08.28;4;3.78500;0.66500;5.69173
2009.08.31;0;5.47600;1.02000;5.36863
2009.09.01;1;4.27000;0.63000;6.77778
2009.09.02;2;5.05500;0.95500;5.29319
2009.09.03;3;3.95000;0.83500;4.73054
2009.09.04;4;4.08600;0.97500;4.19077
2009.09.07;0;3.20700;0.49500;6.47879
2009.09.08;1;4.63900;1.04700;4.43075
2009.09.09;2;3.57000;0.98000;3.64286
2009.09.10;3;4.19500;0.83500;5.02395
