Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.01956;0.07637;0.25612
2009.01.02;4;0.97555;0.22668;4.30364
2009.01.05;0;0.95875;0.36330;2.63900
2009.01.06;1;1.10529;0.22602;4.89023
2009.01.07;2;1.21049;0.18820;6.43193
2009.01.08;3;1.10556;0.27353;4.04182
2009.01.09;4;1.07704;0.18669;5.76914
2009.01.12;0;0.90036;0.22330;4.03206
2009.01.13;1;0.93242;0.14657;6.36160
2009.01.14;2;1.30955;0.41420;3.16164
2009.01.15;3;1.44365;0.43217;3.34047
2009.01.16;4;1.17152;0.22275;5.25935
2009.01.19;0;1.16839;0.18073;6.46484
2009.01.20;1;1.54115;0.24630;6.25721
2009.01.21;2;1.39114;0.32820;4.23870
2009.01.22;3;1.34138;0.39997;3.35370
2009.01.23;4;1.14617;0.26128;4.38675
2009.01.26;0;1.16284;0.28585;4.06801
2009.01.27;1;1.42382;0.32778;4.34383
2009.01.28;2;1.55570;0.27360;5.68604
2009.01.29;3;1.13426;0.24880;4.55892
2009.01.30;4;1.57426;0.27180;5.79198
2009.02.02;0;1.31183;0.27553;4.76111
2009.02.03;1;1.23718;0.22350;5.53548
2009.02.04;2;1.59967;0.28450;5.62274
2009.02.05;3;1.06464;0.25590;4.16038
2009.02.06;4;0.85439;0.21607;3.95423
2009.02.09;0;1.06621;0.16133;6.60888
2009.02.10;1;1.46859;0.41607;3.52967
2009.02.11;2;1.24098;0.17602;7.05022
2009.02.12;3;1.36427;0.19667;6.93685
2009.02.13;4;1.08414;0.16867;6.42758
2009.02.16;0;0.82278;0.14946;5.50502
2009.02.17;1;1.11048;0.25981;4.27420
2009.02.18;2;1.04261;0.13440;7.75751
2009.02.19;3;1.03641;0.28887;3.58781
2009.02.20;4;1.49914;0.30703;4.88272
2009.02.23;0;1.19694;0.27793;4.30662
2009.02.24;1;1.01966;0.17875;5.70439
2009.02.25;2;1.05237;0.18703;5.62674
2009.02.26;3;1.03320;0.15907;6.49525
2009.02.27;4;1.14977;0.31195;3.68575
2009.03.02;0;1.30199;0.27360;4.75874
2009.03.03;1;1.15267;0.18317;6.29290
2009.03.04;2;1.08853;0.21500;5.06293
2009.03.05;3;1.30865;0.25250;5.18277
2009.03.06;4;0.92725;0.23046;4.02347
2009.03.08;6;0.00200;0.00200;1.00000
2009.03.09;0;1.28857;0.45030;2.86158
2009.03.10;1;1.12726;0.33327;3.38242
2009.03.11;2;1.02946;0.23875;4.31187
2009.03.12;3;1.48468;0.59177;2.50888
2009.03.13;4;0.98178;0.26422;3.71577
2009.03.15;6;0.00214;0.00214;1.00000
2009.03.16;0;1.84976;0.63245;2.92475
2009.03.17;1;1.77384;0.46410;3.82211
2009.03.18;2;1.70159;0.33779;5.03742
2009.03.19;3;1.85272;0.56330;3.28905
2009.03.20;4;1.09144;0.25703;4.24635
2009.03.22;6;0.01388;0.01388;1.00000
2009.03.23;0;2.04811;0.39993;5.12117
2009.03.24;1;0.99977;0.17519;5.70678
2009.03.25;2;1.34949;0.25553;5.28114
2009.03.26;3;0.83815;0.14752;5.68160
2009.03.27;4;0.81976;0.21911;3.74132
2009.03.30;0;1.12513;0.30118;3.73574
2009.03.31;1;1.15603;0.30050;3.84702
2009.04.01;2;1.27669;0.35023;3.64529
2009.04.02;3;1.13121;0.24014;4.71063
2009.04.03;4;1.75834;0.47319;3.71593
2009.04.06;0;1.71688;0.23347;7.35375
2009.04.07;1;1.79211;0.48238;3.71514
2009.04.08;2;1.19606;0.32547;3.67487
2009.04.09;3;1.21342;0.33290;3.64500
2009.04.10;4;0.51918;0.09430;5.50562
2009.04.13;0;1.12508;0.21743;5.17445
2009.04.14;1;3.47470;1.27421;2.72694
2009.04.15;2;1.51742;0.71775;2.11413
2009.04.16;3;0.98767;0.15747;6.27212
2009.04.17;4;0.97464;0.22866;4.26240
2009.04.20;0;1.44102;0.34522;4.17421
2009.04.21;1;1.38163;0.40541;3.40798
2009.04.22;2;1.06491;0.14415;7.38751
2009.04.23;3;0.99508;0.20167;4.93420
2009.04.24;4;0.88807;0.28659;3.09875
2009.04.27;0;2.85453;0.69535;4.10517
2009.04.28;1;1.85158;0.35247;5.25316
2009.04.29;2;1.79744;0.29210;6.15351
2009.04.30;3;2.07174;0.28355;7.30644
2009.05.01;4;1.09634;0.13703;8.00073
2009.05.04;0;1.56293;0.59477;2.62779
2009.05.05;1;1.18940;0.17600;6.75795
2009.05.06;2;1.22102;0.23260;5.24944
2009.05.07;3;1.39564;0.31129;4.48341
2009.05.08;4;0.97829;0.16293;6.00436
2009.05.11;0;1.44981;0.29587;4.90016
2009.05.12;1;1.32387;0.19963;6.63162
2009.05.13;2;1.24090;0.24547;5.05520
2009.05.14;3;1.23077;0.21690;5.67437
2009.05.15;4;0.82548;0.13064;6.31874
2009.05.18;0;1.19282;0.32102;3.71572
2009.05.19;1;1.14078;0.16995;6.71244
2009.05.20;2;1.22694;0.21100;5.81488
2009.05.21;3;1.38878;0.23525;5.90342
2009.05.22;4;0.90773;0.13137;6.90972
2009.05.25;0;0.70524;0.13051;5.40372
2009.05.26;1;1.02108;0.16670;6.12525
2009.05.27;2;0.91840;0.16261;5.64787
2009.05.28;3;0.98346;0.11210;8.77306
2009.05.29;4;0.87475;0.19218;4.55172
2009.06.01;0;2.30111;0.68295;3.36937
2009.06.02;1;1.13470;0.17052;6.65435
2009.06.03;2;0.95792;0.24330;3.93720
2009.06.04;3;0.91782;0.22605;4.06025
2009.06.05;4;0.86111;0.20549;4.19052
2009.06.08;0;1.36901;0.30062;4.55396
2009.06.09;1;1.02163;0.24681;4.13934
2009.06.10;2;0.95197;0.19618;4.85253
2009.06.11;3;1.18314;0.36715;3.22250
2009.06.12;4;0.74256;0.10784;6.88576
2009.06.15;0;1.19237;0.21525;5.53947
2009.06.16;1;0.88716;0.22592;3.92688
2009.06.17;2;0.99330;0.18701;5.31148
2009.06.18;3;0.93928;0.14494;6.48047
2009.06.19;4;0.64668;0.17488;3.69785
2009.06.22;0;0.94419;0.18007;5.24346
2009.06.23;1;1.05493;0.18183;5.80174
2009.06.24;2;2.23337;0.79064;2.82476
2009.06.25;3;0.78114;0.12159;6.42438
2009.06.26;4;0.58005;0.12287;4.72084
2009.06.29;0;0.78953;0.12969;6.08782
2009.06.30;1;0.73836;0.10393;7.10440
2009.07.01;2;0.72012;0.14037;5.13016
2009.07.02;3;0.92616;0.17457;5.30538
2009.07.03;4;1.49355;0.47081;3.17230
2009.07.06;0;1.39046;0.25963;5.35554
2009.07.07;1;0.69315;0.23157;2.99326
2009.07.08;2;1.00865;0.26847;3.75703
2009.07.09;3;0.99128;0.17657;5.61409
2009.07.10;4;1.02129;0.23510;4.34407
2009.07.13;0;0.99020;0.18656;5.30768
2009.07.14;1;0.89510;0.18887;4.73924
2009.07.15;2;1.07451;0.26990;3.98114
2009.07.16;3;1.05368;0.13363;7.88506
2009.07.17;4;0.85433;0.32290;2.64580
2009.07.20;0;0.95632;0.18674;5.12113
2009.07.21;1;0.85751;0.16850;5.08908
2009.07.22;2;0.87339;0.13787;6.33488
2009.07.23;3;0.93826;0.11810;7.94462
2009.07.24;4;0.64165;0.10003;6.41458
2009.07.27;0;0.75459;0.17175;4.39354
2009.07.28;1;0.84035;0.13615;6.17224
2009.07.29;2;0.82031;0.11778;6.96476
2009.07.30;3;0.70144;0.10114;6.93534
2009.07.31;4;0.57809;0.08936;6.46923
2009.08.03;0;0.64957;0.14010;4.63647
2009.08.04;1;0.62265;0.09760;6.37961
2009.08.05;2;0.73419;0.17896;4.10254
2009.08.06;3;0.85797;0.15295;5.60948
2009.08.07;4;0.69118;0.17630;3.92048
2009.08.10;0;0.73961;0.11151;6.63268
2009.08.11;1;0.83661;0.15127;5.53057
2009.08.12;2;0.98273;0.21323;4.60878
2009.08.13;3;1.07245;0.20720;5.17592
2009.08.14;4;0.87120;0.12361;7.04797
2009.08.17;0;1.01325;0.23539;4.30456
2009.08.18;1;0.73657;0.12805;5.75221
2009.08.19;2;0.72139;0.13960;5.16755
2009.08.20;3;0.63754;0.08295;7.68583
2009.08.21;4;0.62538;0.13427;4.65763
2009.08.24;0;0.70036;0.18343;3.81813
2009.08.25;1;0.72310;0.16550;4.36918
2009.08.26;2;0.83374;0.21859;3.81417
2009.08.27;3;0.90444;0.16405;5.51320
2009.08.28;4;0.87287;0.13810;6.32056
2009.08.31;0;0.68334;0.15236;4.48504
2009.09.01;1;0.99460;0.35943;2.76716
2009.09.02;2;1.37873;0.22930;6.01278
2009.09.03;3;1.03212;0.15940;6.47503
2009.09.04;4;0.61220;0.21828;2.80465
2009.09.07;0;0.10206;0.03225;3.16465
2009.09.08;1;0.73559;0.14768;4.98097
2009.09.09;2;1.01337;0.17989;5.63328
2009.09.10;3;1.04350;0.19597;5.32479
2009.09.11;4;0.83458;0.14385;5.80174
2009.09.14;0;1.00523;0.22972;4.37589
2009.09.15;1;0.77225;0.12288;6.28459
2009.09.16;2;0.87846;0.17805;4.93378
2009.09.17;3;0.79055;0.14550;5.43333
2009.09.18;4;0.55608;0.09677;5.74641
2009.09.21;0;0.61415;0.15335;4.00489
2009.09.22;1;0.79101;0.13925;5.68050
2009.09.23;2;0.87176;0.16404;5.31431
2009.09.24;3;0.91477;0.22982;3.98038
2009.09.25;4;0.79509;0.15276;5.20483
2009.09.28;0;0.99756;0.13423;7.43172
2009.09.29;1;0.75527;0.08950;8.43877
2009.09.30;2;0.85862;0.10656;8.05762
2009.10.01;3;0.93630;0.29737;3.14860
2009.10.02;4;0.69425;0.20253;3.42789
2009.10.05;0;0.67530;0.10843;6.22798
2009.10.06;1;0.67848;0.17270;3.92866
2009.10.07;2;0.71688;0.18382;3.89990
2009.10.08;3;0.78862;0.18465;4.27089
2009.10.09;4;0.72814;0.10035;7.25600
2009.10.12;0;0.70595;0.13205;5.34608
2009.10.13;1;0.77189;0.14288;5.40237
2009.10.14;2;0.74295;0.10160;7.31250
2009.10.15;3;0.66307;0.09050;7.32674
2009.10.16;4;0.69828;0.14199;4.91781
2009.10.19;0;0.79434;0.18930;4.19620
2009.10.20;1;0.95982;0.27665;3.46944
2009.10.21;2;1.09253;0.21320;5.12444
2009.10.22;3;0.83362;0.15062;5.53459
2009.10.23;4;0.81253;0.23238;3.49656
2009.10.25;6;0.01534;0.01534;1.00000
2009.10.26;0;1.02127;0.28074;3.63778
2009.10.27;1;1.03084;0.16520;6.23995
2009.10.28;2;0.97484;0.12940;7.53354
2009.10.29;3;1.04970;0.36697;2.86045
2009.10.30;4;0.96227;0.26072;3.69082
2009.11.02;0;1.50625;0.25560;5.89300
2009.11.03;1;1.09916;0.21535;5.10406
2009.11.04;2;1.09039;0.12622;8.63881
2009.11.05;3;0.93190;0.16370;5.69273
2009.11.06;4;0.82992;0.18237;4.55075
2009.11.09;0;1.00665;0.21034;4.78582
2009.11.10;1;0.91103;0.16971;5.36816
2009.11.11;2;0.74676;0.11817;6.31937
2009.11.12;3;1.03581;0.15249;6.79264
2009.11.13;4;0.77242;0.20504;3.76717
2009.11.16;0;0.93031;0.11567;8.04279
2009.11.17;1;0.98394;0.18840;5.22261
2009.11.18;2;0.79260;0.12405;6.38936
2009.11.19;3;0.89027;0.09897;8.99535
2009.11.20;4;0.58614;0.09580;6.11837
2009.11.23;0;0.81020;0.17128;4.73027
2009.11.24;1;0.78859;0.15530;5.07785
2009.11.25;2;0.70675;0.12050;5.86515
2009.11.26;3;0.97705;0.22313;4.37884
2009.11.27;4;1.03292;0.19941;5.17988
2009.11.30;0;0.94031;0.13855;6.78679
2009.12.01;1;0.74539;0.11317;6.58646
2009.12.02;2;0.82590;0.16470;5.01457
2009.12.03;3;0.93497;0.20230;4.62170
2009.12.04;4;0.92564;0.20537;4.50718
2009.12.07;0;1.12099;0.15744;7.12011
2009.12.08;1;1.17661;0.34558;3.40474
2009.12.09;2;0.96565;0.17517;5.51264
2009.12.10;3;0.75396;0.15060;5.00637
2009.12.11;4;0.72702;0.12675;5.73586
2009.12.14;0;1.16120;0.21632;5.36797
2009.12.15;1;0.84241;0.17793;4.73450
2009.12.16;2;0.78967;0.09108;8.67007
2009.12.17;3;0.98605;0.29130;3.38500
2009.12.18;4;0.69905;0.12709;5.50043
2009.12.21;0;0.85208;0.18096;4.70866
2009.12.22;1;0.71229;0.10812;6.58796
2009.12.23;2;0.74084;0.09317;7.95149
2009.12.24;3;0.55214;0.06425;8.59362
2009.12.25;4;0.03769;0.02792;1.34993
2009.12.28;0;1.07853;0.24910;4.32971
2009.12.29;1;0.82169;0.15447;5.31941
2009.12.30;2;0.74052;0.10950;6.76274
2009.12.31;3;0.86795;0.10893;7.96796
2010.01.01;4;0.02186;0.02186;1.00000
2010.01.04;0;0.97205;0.24290;4.00185
2010.01.05;1;0.80194;0.12368;6.48399
2010.01.06;2;0.78012;0.13157;5.92932
2010.01.07;3;0.58662;0.08624;6.80218
2010.01.08;4;0.61949;0.13064;4.74196
2010.01.11;0;1.03217;0.22129;4.66433
2010.01.12;1;0.94151;0.14106;6.67454
2010.01.13;2;0.72402;0.12542;5.77276
2010.01.14;3;0.61686;0.12254;5.03395
2010.01.15;4;0.64407;0.07961;8.09032
2010.01.18;0;0.56098;0.09780;5.73599
2010.01.19;1;0.69482;0.12770;5.44103
2010.01.20;2;0.76283;0.15617;4.88461
2010.01.21;3;0.95756;0.28715;3.33470
2010.01.22;4;0.72027;0.10728;6.71393
2010.01.25;0;0.79306;0.12498;6.34550
2010.01.26;1;0.96131;0.17960;5.35251
2010.01.27;2;0.96079;0.20432;4.70238
2010.01.28;3;0.92708;0.20387;4.54741
2010.01.29;4;0.87282;0.16340;5.34162
2010.02.01;0;0.93478;0.22418;4.16977
2010.02.02;1;0.77661;0.10407;7.46238
2010.02.03;2;0.70704;0.15402;4.59057
2010.02.04;3;0.87463;0.24908;3.51144
2010.02.05;4;0.88993;0.14843;5.99562
2010.02.08;0;1.02182;0.14180;7.20606
2010.02.09;1;1.06464;0.24853;4.28375
2010.02.10;2;0.91430;0.16762;5.45460
2010.02.11;3;1.00472;0.21567;4.65860
2010.02.12;4;0.68713;0.14119;4.86670
2010.02.15;0;0.70928;0.11357;6.24531
2010.02.16;1;0.62027;0.11530;5.37962
2010.02.17;2;0.70818;0.10640;6.65583
2010.02.18;3;0.78182;0.10508;7.44024
2010.02.19;4;0.64197;0.14391;4.46091
2010.02.22;0;0.67886;0.08635;7.86173
2010.02.23;1;0.74117;0.17115;4.33053
2010.02.24;2;0.68188;0.14333;4.75741
2010.02.25;3;0.73440;0.11760;6.24490
2010.02.26;4;0.57185;0.07600;7.52434
2010.03.01;0;0.67173;0.07763;8.65297
2010.03.02;1;0.62886;0.07798;8.06438
2010.03.03;2;0.54775;0.06568;8.33968
2010.03.04;3;0.55223;0.05527;9.99150
2010.03.05;4;0.40441;0.10306;3.92402
2010.03.08;0;0.72245;0.10089;7.16077
2010.03.09;1;0.58920;0.09720;6.06173
2010.03.10;2;0.57226;0.06372;8.98085
2010.03.11;3;0.57661;0.08675;6.64680
2010.03.12;4;0.41303;0.06272;6.58530
