Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.45135;0.06467;6.97928
2009.01.02;4;0.96068;0.16610;5.78374
2009.01.05;0;0.85136;0.15905;5.35278
2009.01.06;1;0.83721;0.14350;5.83422
2009.01.07;2;0.83907;0.17670;4.74856
2009.01.08;3;0.91635;0.14360;6.38127
2009.01.09;4;0.80704;0.14080;5.73182
2009.01.12;0;0.84764;0.12077;7.01863
2009.01.13;1;0.79475;0.15080;5.27023
2009.01.14;2;0.87076;0.23670;3.67875
2009.01.15;3;1.11512;0.19085;5.84291
2009.01.16;4;0.98652;0.25440;3.87783
2009.01.19;0;0.73415;0.18320;4.00737
2009.01.20;1;0.89945;0.19640;4.57968
2009.01.21;2;1.14626;0.30485;3.76008
2009.01.22;3;0.88200;0.17730;4.97462
2009.01.23;4;0.93507;0.21355;4.37869
2009.01.26;0;0.90141;0.28285;3.18688
2009.01.27;1;0.84594;0.17710;4.77662
2009.01.28;2;0.92842;0.12425;7.47219
2009.01.29;3;0.84814;0.18950;4.47567
2009.01.30;4;0.90418;0.09390;9.62918
2009.02.02;0;0.74204;0.15775;4.70390
2009.02.03;1;0.88325;0.18021;4.90123
2009.02.04;2;0.87656;0.14745;5.94479
2009.02.05;3;0.74466;0.13340;5.58216
2009.02.06;4;0.65862;0.15972;4.12359
2009.02.09;0;0.72472;0.19440;3.72798
2009.02.10;1;0.91097;0.18345;4.96577
2009.02.11;2;0.76851;0.11895;6.46078
2009.02.12;3;0.78273;0.20910;3.74333
2009.02.13;4;0.79383;0.11830;6.71031
2009.02.16;0;0.59538;0.10335;5.76081
2009.02.17;1;0.81700;0.19418;4.20744
2009.02.18;2;0.61823;0.07275;8.49801
2009.02.19;3;0.73558;0.24070;3.05600
2009.02.20;4;0.84319;0.21958;3.84001
2009.02.23;0;0.86271;0.16150;5.34186
2009.02.24;1;0.73365;0.12690;5.78132
2009.02.25;2;0.83330;0.12390;6.72559
2009.02.26;3;0.63747;0.11970;5.32556
2009.02.27;4;0.80827;0.20455;3.95145
2009.03.02;0;0.81630;0.17765;4.59499
2009.03.03;1;0.91400;0.19450;4.69923
2009.03.04;2;0.82929;0.25320;3.27524
2009.03.05;3;0.86240;0.16980;5.07892
2009.03.06;4;0.74695;0.13525;5.52274
2009.03.08;6;0.01950;0.01950;1.00000
2009.03.09;0;0.70746;0.15251;4.63878
2009.03.10;1;0.81909;0.21685;3.77722
2009.03.11;2;0.76259;0.15245;5.00223
2009.03.12;3;0.83525;0.17035;4.90314
2009.03.13;4;0.62596;0.08730;7.17022
2009.03.15;6;0.01451;0.01451;1.00000
2009.03.16;0;0.78762;0.18575;4.24022
2009.03.17;1;0.62111;0.13736;4.52177
2009.03.18;2;0.85625;0.26775;3.19795
2009.03.19;3;0.80837;0.27055;2.98788
2009.03.20;4;0.64034;0.11065;5.78708
2009.03.22;6;0.02540;0.02540;1.00000
2009.03.23;0;0.67408;0.12730;5.29521
2009.03.24;1;0.71509;0.17040;4.19654
2009.03.25;2;0.91549;0.19050;4.80572
2009.03.26;3;0.66933;0.10685;6.26420
2009.03.27;4;0.61326;0.20255;3.02770
2009.03.30;0;0.80895;0.24777;3.26492
2009.03.31;1;0.68076;0.14480;4.70138
2009.04.01;2;0.66220;0.08970;7.38239
2009.04.02;3;0.69104;0.21220;3.25655
2009.04.03;4;0.68912;0.10650;6.47061
2009.04.06;0;0.55515;0.15585;3.56208
2009.04.07;1;0.60129;0.14520;4.14112
2009.04.08;2;0.68349;0.11940;5.72437
2009.04.09;3;0.63553;0.11415;5.56750
2009.04.10;4;0.71009;0.11470;6.19085
2009.04.13;0;0.55863;0.13338;4.18826
2009.04.14;1;0.56337;0.11010;5.11689
2009.04.15;2;0.59679;0.14907;4.00342
2009.04.16;3;0.60897;0.08681;7.01498
2009.04.17;4;0.51721;0.08891;5.81723
2009.04.20;0;0.51509;0.17255;2.98516
2009.04.21;1;0.50686;0.07125;7.11382
2009.04.22;2;0.55595;0.11180;4.97272
2009.04.23;3;0.53080;0.14310;3.70929
2009.04.24;4;0.54166;0.11160;4.85358
2009.04.27;0;0.65804;0.23847;2.75942
2009.04.28;1;0.61938;0.15175;4.08158
2009.04.29;2;0.57664;0.14862;3.87996
2009.04.30;3;0.64225;0.10770;5.96332
2009.05.01;4;0.48489;0.04690;10.33881
2009.05.04;0;0.51194;0.10900;4.69670
2009.05.05;1;0.58917;0.13130;4.48720
2009.05.06;2;0.74245;0.12360;6.00688
2009.05.07;3;0.68293;0.13800;4.94877
2009.05.08;4;0.62783;0.17835;3.52021
2009.05.11;0;0.54110;0.15680;3.45089
2009.05.12;1;0.65078;0.12430;5.23556
2009.05.13;2;0.62120;0.14310;4.34102
2009.05.14;3;0.57098;0.11045;5.16958
2009.05.15;4;0.58636;0.11654;5.03141
2009.05.18;0;0.50197;0.13876;3.61754
2009.05.19;1;0.54015;0.08830;6.11721
2009.05.20;2;0.59979;0.10370;5.78390
2009.05.21;3;0.53333;0.07575;7.04066
2009.05.22;4;0.60023;0.10600;5.66255
2009.05.25;0;0.39823;0.06485;6.14079
2009.05.26;1;0.59712;0.16356;3.65077
2009.05.27;2;0.63914;0.08620;7.41462
2009.05.28;3;0.71959;0.12825;5.61084
2009.05.29;4;0.59653;0.16120;3.70056
2009.06.01;0;0.63876;0.20640;3.09477
2009.06.02;1;0.64708;0.11420;5.66620
2009.06.03;2;0.74843;0.22660;3.30287
2009.06.04;3;0.63449;0.10005;6.34173
2009.06.05;4;0.64838;0.15540;4.17233
2009.06.08;0;0.67850;0.12415;5.46516
2009.06.09;1;0.65604;0.16010;4.09769
2009.06.10;2;0.63858;0.16850;3.78979
2009.06.11;3;0.58671;0.12065;4.86291
2009.06.12;4;0.56571;0.10675;5.29939
2009.06.15;0;0.66200;0.16901;3.91693
2009.06.16;1;0.66919;0.11464;5.83732
2009.06.17;2;0.67638;0.13168;5.13654
2009.06.18;3;0.66400;0.09147;7.25921
2009.06.19;4;0.52068;0.04920;10.58293
2009.06.22;0;0.55100;0.19345;2.84828
2009.06.23;1;0.57771;0.15255;3.78702
2009.06.24;2;0.60507;0.10770;5.61811
2009.06.25;3;0.64721;0.10110;6.40168
2009.06.26;4;0.53746;0.07198;7.46680
2009.06.29;0;0.50246;0.12191;4.12157
2009.06.30;1;0.49078;0.09850;4.98254
2009.07.01;2;0.47156;0.14435;3.26678
2009.07.02;3;0.46669;0.10171;4.58844
2009.07.03;4;0.45576;0.05425;8.40111
2009.07.06;0;0.43852;0.13050;3.36031
2009.07.07;1;0.53252;0.10135;5.25427
2009.07.08;2;0.54024;0.10800;5.00222
2009.07.09;3;0.51833;0.10660;4.86238
2009.07.10;4;0.55030;0.08804;6.25057
2009.07.13;0;0.59787;0.10115;5.91073
2009.07.14;1;0.50559;0.05770;8.76239
2009.07.15;2;0.41736;0.09965;4.18826
2009.07.16;3;0.46196;0.07085;6.52025
2009.07.17;4;0.40035;0.05211;7.68279
2009.07.20;0;0.44214;0.09763;4.52873
2009.07.21;1;0.41732;0.06795;6.14157
2009.07.22;2;0.46198;0.05538;8.34200
2009.07.23;3;0.42021;0.08060;5.21352
2009.07.24;4;0.36542;0.08048;4.54051
2009.07.27;0;0.51809;0.15119;3.42675
2009.07.28;1;0.44025;0.10320;4.26599
2009.07.29;2;0.49871;0.09734;5.12338
2009.07.30;3;0.41976;0.07505;5.59307
2009.07.31;4;0.55755;0.12153;4.58776
2009.08.03;0;0.52678;0.12538;4.20147
2009.08.04;1;0.40078;0.06054;6.62009
2009.08.05;2;0.40411;0.06452;6.26333
2009.08.06;3;0.45247;0.09495;4.76535
2009.08.07;4;0.49678;0.09205;5.39685
2009.08.10;0;0.46667;0.14160;3.29569
2009.08.11;1;0.50027;0.10890;4.59385
2009.08.12;2;0.58321;0.19410;3.00469
2009.08.13;3;0.51245;0.09390;5.45740
2009.08.14;4;0.45264;0.08090;5.59506
2009.08.17;0;0.49363;0.16485;2.99442
2009.08.18;1;0.39603;0.08286;4.77951
2009.08.19;2;0.42939;0.13330;3.22123
2009.08.20;3;0.37355;0.05952;6.27604
2009.08.21;4;0.47457;0.11325;4.19046
2009.08.24;0;0.37373;0.05720;6.53374
2009.08.25;1;0.45734;0.09560;4.78389
2009.08.26;2;0.44496;0.11170;3.98353
2009.08.27;3;0.46544;0.09160;5.08122
2009.08.28;4;0.38809;0.05790;6.70276
2009.08.31;0;0.41314;0.06245;6.61553
2009.09.01;1;0.48052;0.14950;3.21418
2009.09.02;2;0.38889;0.06830;5.69385
2009.09.03;3;0.39577;0.08260;4.79140
2009.09.04;4;0.37454;0.07590;4.93465
2009.09.07;0;0.26819;0.03115;8.60963
2009.09.08;1;0.40925;0.08985;4.55481
2009.09.09;2;0.36594;0.07620;4.80236
2009.09.10;3;0.49881;0.10630;4.69247
2009.09.11;4;0.37902;0.05513;6.87502
2009.09.14;0;0.51329;0.09910;5.17952
2009.09.15;1;0.36152;0.05813;6.21916
2009.09.16;2;0.40889;0.06495;6.29546
2009.09.17;3;0.35642;0.06750;5.28030
2009.09.18;4;0.38794;0.08277;4.68696
2009.09.21;0;0.40982;0.08220;4.98564
2009.09.22;1;0.34999;0.09305;3.76131
2009.09.23;2;0.44287;0.09300;4.76204
2009.09.24;3;0.43020;0.10180;4.22593
2009.09.25;4;0.41958;0.07025;5.97267
2009.09.28;0;0.44771;0.08194;5.46388
2009.09.29;1;0.34070;0.05800;5.87414
2009.09.30;2;0.44051;0.08795;5.00864
2009.10.01;3;0.40217;0.07707;5.21824
2009.10.02;4;0.42887;0.07460;5.74893
2009.10.05;0;0.34508;0.07160;4.81955
2009.10.06;1;0.32344;0.07130;4.53633
2009.10.07;2;0.40827;0.07280;5.60810
2009.10.08;3;0.41705;0.06830;6.10615
2009.10.09;4;0.37281;0.06065;6.14691
2009.10.12;0;0.31999;0.04268;7.49742
2009.10.13;1;0.35631;0.05065;7.03475
2009.10.14;2;0.35583;0.08104;4.39079
2009.10.15;3;0.43226;0.10692;4.04284
2009.10.16;4;0.46391;0.10445;4.44146
2009.10.19;0;0.42947;0.11345;3.78554
2009.10.20;1;0.37581;0.07858;4.78251
2009.10.21;2;0.41814;0.08730;4.78969
2009.10.22;3;0.35524;0.08412;4.22301
2009.10.23;4;0.28909;0.05550;5.20883
2009.10.25;6;0.01633;0.01633;1.00000
2009.10.26;0;0.37580;0.11939;3.14767
2009.10.27;1;0.40841;0.07585;5.38444
2009.10.28;2;0.52451;0.11615;4.51580
2009.10.29;3;0.49334;0.13480;3.65979
2009.10.30;4;0.40038;0.10935;3.66145
2009.11.02;0;0.47924;0.09850;4.86538
2009.11.03;1;0.47069;0.11203;4.20146
2009.11.04;2;0.36486;0.12405;2.94123
2009.11.05;3;0.36703;0.07015;5.23207
2009.11.06;4;0.38862;0.07200;5.39750
2009.11.09;0;0.35101;0.11894;2.95115
2009.11.10;1;0.38839;0.04915;7.90214
2009.11.11;2;0.35219;0.06410;5.49438
2009.11.12;3;0.42420;0.09915;4.27837
2009.11.13;4;0.37877;0.07947;4.76620
2009.11.16;0;0.31828;0.06096;5.22113
2009.11.17;1;0.35188;0.09165;3.83939
2009.11.18;2;0.33702;0.04570;7.37462
2009.11.19;3;0.37609;0.08074;4.65804
2009.11.20;4;0.37528;0.08110;4.62737
2009.11.23;0;0.34152;0.11070;3.08509
2009.11.24;1;0.41610;0.07780;5.34833
2009.11.25;2;0.36813;0.07607;4.83936
2009.11.26;3;0.40169;0.12772;3.14508
2009.11.27;4;0.59975;0.13437;4.46342
2009.11.30;0;0.47665;0.08355;5.70497
2009.12.01;1;0.34014;0.08820;3.85646
2009.12.02;2;0.35875;0.05585;6.42346
2009.12.03;3;0.37042;0.07230;5.12337
2009.12.04;4;0.43965;0.09810;4.48165
2009.12.07;0;0.42307;0.09287;4.55551
2009.12.08;1;0.47054;0.11155;4.21820
2009.12.09;2;0.49120;0.07395;6.64233
2009.12.10;3;0.43887;0.06500;6.75185
2009.12.11;4;0.35351;0.07295;4.84592
2009.12.14;0;0.38105;0.04470;8.52461
2009.12.15;1;0.36537;0.08897;4.10667
2009.12.16;2;0.44354;0.09630;4.60582
2009.12.17;3;0.43415;0.14359;3.02354
2009.12.18;4;0.40745;0.06145;6.63059
2009.12.21;0;0.38387;0.07305;5.25489
2009.12.22;1;0.37367;0.05980;6.24866
2009.12.23;2;0.32160;0.08070;3.98513
2009.12.24;3;0.31796;0.04475;7.10525
2009.12.25;4;0.38392;0.05171;7.42448
