Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.11314;0.02911;3.88664
2009.01.02;4;0.46394;0.08214;5.64816
2009.01.05;0;0.52127;0.10259;5.08110
2009.01.06;1;0.56597;0.13739;4.11944
2009.01.07;2;0.63417;0.10877;5.83038
2009.01.08;3;0.54070;0.06421;8.42081
2009.01.09;4;0.45654;0.07603;6.00473
2009.01.12;0;0.54094;0.13642;3.96525
2009.01.13;1;0.57131;0.07917;7.21624
2009.01.14;2;0.52359;0.10945;4.78383
2009.01.15;3;0.63974;0.08251;7.75348
2009.01.16;4;0.65555;0.14305;4.58266
2009.01.19;0;0.50791;0.11237;4.51998
2009.01.20;1;0.53639;0.12035;4.45692
2009.01.21;2;0.60133;0.10523;5.71444
2009.01.22;3;0.55202;0.10137;5.44560
2009.01.23;4;0.59276;0.14753;4.01789
2009.01.26;0;0.54383;0.14092;3.85914
2009.01.27;1;0.58673;0.13484;4.35131
2009.01.28;2;0.59992;0.09130;6.57087
2009.01.29;3;0.47370;0.11059;4.28339
2009.01.30;4;0.53017;0.10701;4.95440
2009.02.02;0;0.54264;0.06251;8.68085
2009.02.03;1;0.61019;0.14538;4.19721
2009.02.04;2;0.63134;0.13596;4.64357
2009.02.05;3;0.50606;0.07710;6.56368
2009.02.06;4;0.57438;0.14401;3.98847
2009.02.09;0;0.59803;0.19035;3.14174
2009.02.10;1;0.71730;0.14434;4.96952
2009.02.11;2;0.63833;0.08358;7.63735
2009.02.12;3;0.64858;0.15566;4.16665
2009.02.13;4;0.51537;0.08348;6.17357
2009.02.16;0;0.55163;0.18529;2.97712
2009.02.17;1;0.72443;0.14054;5.15462
2009.02.18;2;0.74216;0.13846;5.36010
2009.02.19;3;0.68546;0.17234;3.97737
2009.02.20;4;0.79906;0.17181;4.65084
2009.02.23;0;0.74047;0.15660;4.72842
2009.02.24;1;0.63142;0.10902;5.79178
2009.02.25;2;0.75973;0.17869;4.25166
2009.02.26;3;0.60966;0.09342;6.52601
2009.02.27;4;0.64525;0.10352;6.23310
2009.03.02;0;0.63283;0.14299;4.42569
2009.03.03;1;0.59527;0.10853;5.48484
2009.03.04;2;0.60321;0.14985;4.02543
2009.03.05;3;0.53895;0.11600;4.64612
2009.03.06;4;0.54839;0.11632;4.71449
2009.03.08;6;0.02428;0.02428;1.00000
2009.03.09;0;0.56129;0.11474;4.89184
2009.03.10;1;0.52723;0.13017;4.05032
2009.03.11;2;0.62113;0.12644;4.91245
2009.03.12;3;0.68101;0.18431;3.69492
2009.03.13;4;0.56646;0.08271;6.84875
2009.03.15;6;0.01448;0.01448;1.00000
2009.03.16;0;0.57908;0.12272;4.71871
2009.03.17;1;0.52136;0.10498;4.96628
2009.03.18;2;0.63159;0.18847;3.35114
2009.03.19;3;0.55321;0.08413;6.57566
