Date;Day of week;SumHL;DayHL;SumHL / DayHL
2016.12.19;0;0.15249;0.04225;3.60923
2016.12.20;1;0.21440;0.03344;6.41148
2016.12.21;2;0.18770;0.02838;6.61381
2016.12.22;3;0.21470;0.02850;7.53333
2016.12.23;4;0.17842;0.02001;8.91654
2016.12.26;0;0.25875;0.04147;6.23945
2016.12.27;1;0.50181;0.10511;4.77414
2016.12.28;2;0.20152;0.05454;3.69490
2016.12.29;3;0.23734;0.04547;5.21971
2016.12.30;4;0.42527;0.07536;5.64318
2017.01.02;0;0.26400;0.05661;4.66349
2017.01.03;1;0.29254;0.05406;5.41139
2017.01.04;2;0.25206;0.05943;4.24129
2017.01.05;3;0.31361;0.05757;5.44746
2017.01.06;4;0.24720;0.04636;5.33218
2017.01.09;0;0.25462;0.04689;5.43016
2017.01.10;1;0.23464;0.03670;6.39346
2017.01.11;2;0.29103;0.06982;4.16829
2017.01.12;3;0.27139;0.04910;5.52729
2017.01.13;4;0.22722;0.03443;6.59948
2017.01.16;0;0.20791;0.03856;5.39186
2017.01.17;1;0.21889;0.04916;4.45260
2017.01.18;2;0.19971;0.03162;6.31594
2017.01.19;3;0.23402;0.03878;6.03455
2017.01.20;4;0.22919;0.03400;6.74088
2017.01.23;0;0.22542;0.02526;8.92399
2017.01.24;1;0.18667;0.02407;7.75530
2017.01.25;2;0.18165;0.02704;6.71783
2017.01.26;3;0.20344;0.04378;4.64687
2017.01.27;4;0.23671;0.02955;8.01049
2017.01.30;0;0.27817;0.04877;5.70371
2017.01.31;1;0.01201;0.00887;1.35400
2017.02.01;2;0.28240;0.08048;3.50895
2017.02.02;3;0.28059;0.03887;7.21868
2017.02.03;4;0.21531;0.02843;7.57334
2017.02.06;0;0.24896;0.04163;5.98030
2017.02.07;1;0.18325;0.03072;5.96517
2017.02.08;2;0.18566;0.03169;5.85863
2017.02.09;3;0.17899;0.03053;5.86276
2017.02.10;4;0.18616;0.03098;6.00904
2017.02.13;0;0.18665;0.03597;5.18905
2017.02.14;1;0.18258;0.03382;5.39858
2017.02.15;2;0.20594;0.03721;5.53453
2017.02.16;3;0.21657;0.03292;6.57868
2017.02.17;4;0.17993;0.04067;4.42415
2017.02.20;0;0.17516;0.01622;10.79901
2017.02.21;1;0.17332;0.03871;4.47740
2017.02.22;2;0.21295;0.03939;5.40619
2017.02.23;3;0.19503;0.02570;7.58872
2017.02.24;4;0.21008;0.03569;5.88624
2017.02.27;0;0.21795;0.03832;5.68763
2017.02.28;1;0.01141;0.00656;1.73933
2017.03.01;2;0.19724;0.03478;5.67108
2017.03.02;3;0.16950;0.02494;6.79631
2017.03.03;4;0.20853;0.05110;4.08082
2017.03.06;0;0.20907;0.03848;5.43321
2017.03.07;1;0.16457;0.02424;6.78919
2017.03.08;2;0.16946;0.02731;6.20505
2017.03.09;3;0.21309;0.03186;6.68832
2017.03.10;4;0.21321;0.05556;3.83747
2017.03.12;6;0.01236;0.01236;1.00000
2017.03.13;0;0.32218;0.08089;3.98294
2017.03.14;1;0.16107;0.02127;7.57264
2017.03.15;2;0.20994;0.05852;3.58749
2017.03.16;3;0.23312;0.03094;7.53458
2017.03.17;4;0.17734;0.03105;5.71143
2017.03.19;6;0.01420;0.01420;1.00000
2017.03.20;0;0.21230;0.03100;6.84839
2017.03.21;1;0.18775;0.05062;3.70901
2017.03.22;2;0.18209;0.02573;7.07695
2017.03.23;3;0.15324;0.01587;9.65595
2017.03.24;4;0.16376;0.02949;5.55307
2017.03.27;0;0.18113;0.03081;5.87894
2017.03.28;1;0.17406;0.04048;4.29990
2017.03.29;2;0.18643;0.03867;4.82105
2017.03.30;3;0.18980;0.04018;4.72374
2017.03.31;4;0.17965;0.02320;7.74353
2017.04.03;0;0.14866;0.01747;8.50944
2017.04.04;1;0.16303;0.02763;5.90047
2017.04.05;2;0.18072;0.02360;7.65763
2017.04.06;3;0.18305;0.02750;6.65636
2017.04.07;4;0.20387;0.03870;5.26796
2017.04.10;0;0.16896;0.02287;7.38784
2017.04.11;1;0.16991;0.02200;7.72318
2017.04.12;2;0.19924;0.03864;5.15631
2017.04.13;3;0.17654;0.03479;5.07445
2017.04.14;4;0.19380;0.01940;9.98969
2017.04.17;0;0.49071;0.05864;8.36818
