Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00000;0.00000;0.00000
2009.01.02;4;0.00800;0.02200;0.36364
2009.01.05;0;0.00700;0.24100;0.02905
2009.01.06;1;0.01600;0.00900;1.77778
2009.01.07;2;0.03000;0.01300;2.30769
2009.01.08;3;0.15800;0.28000;0.56429
2009.01.09;4;0.00800;0.24100;0.03320
2009.01.12;0;2.01157;2.02300;0.99435
2009.01.13;1;0.84200;0.26400;3.18939
2009.01.14;2;0.89400;0.71100;1.25738
2009.01.15;3;0.90097;0.65750;1.37030
2009.01.16;4;0.77600;0.55100;1.40835
2009.01.19;0;0.85300;0.70400;1.21165
2009.01.20;1;1.47488;0.70000;2.10697
2009.01.21;2;1.73992;0.69500;2.50348
2009.01.22;3;1.42204;0.34600;4.10994
2009.01.23;4;0.41399;0.40100;1.03239
2009.01.26;0;0.84800;0.38000;2.23158
2009.01.27;1;1.04150;0.47600;2.18803
2009.01.28;2;1.14232;1.05000;1.08792
2009.01.29;3;1.75400;1.14500;1.53188
2009.01.30;4;1.72300;0.71700;2.40307
2009.02.02;0;1.22400;0.50000;2.44800
2009.02.03;1;1.00900;0.34300;2.94169
2009.02.04;2;0.87619;0.39900;2.19596
2009.02.05;3;0.30600;0.13000;2.35385
2009.02.06;4;0.61800;0.24000;2.57500
2009.02.09;0;1.14820;0.49020;2.34231
2009.02.10;1;1.23854;0.48120;2.57386
2009.02.11;2;1.31290;0.82140;1.59837
2009.02.12;3;1.70910;0.59100;2.89188
2009.02.13;4;0.81990;0.25890;3.16686
2009.02.16;0;0.47370;0.76800;0.61680
2009.02.17;1;1.52249;1.17360;1.29728
2009.02.18;2;1.26184;0.49200;2.56472
2009.02.19;3;1.63373;0.64240;2.54317
2009.02.20;4;1.42240;0.45300;3.13996
2009.02.23;0;0.40910;0.36700;1.11471
2009.02.24;1;1.23085;0.36360;3.38518
2009.02.25;2;1.29170;0.26240;4.92264
2009.02.26;3;1.16300;0.30700;3.78827
2009.02.27;4;1.04310;0.38840;2.68563
2009.03.02;0;0.66790;0.57110;1.16950
2009.03.03;1;1.06077;0.26660;3.97888
2009.03.04;2;0.81222;0.29530;2.75049
2009.03.05;3;1.05739;0.29310;3.60761
2009.03.06;4;0.90740;0.19980;4.54154
2009.03.08;6;0.00000;0.00000;0.00000
2009.03.09;0;0.99778;0.26400;3.77947
2009.03.10;1;1.50150;0.99710;1.50587
2009.03.11;2;1.20591;0.29210;4.12841
2009.03.12;3;1.44600;0.43060;3.35810
2009.03.13;4;1.16048;0.43290;2.68071
2009.03.15;6;0.00000;0.00000;0.00000
2009.03.16;0;1.01002;0.28930;3.49125
2009.03.17;1;1.03075;0.26300;3.91920
2009.03.18;2;0.94954;0.34200;2.77643
2009.03.19;3;1.24481;0.90630;1.37351
2009.03.20;4;0.67681;0.34840;1.94262
2009.03.22;6;0.00000;0.00000;0.00000
2009.03.23;0;1.11870;0.34100;3.28065
2009.03.24;1;1.03516;0.37020;2.79622
2009.03.25;2;1.31686;0.42790;3.07749
2009.03.26;3;1.01292;0.31600;3.20544
2009.03.27;4;0.91082;0.46110;1.97532
2009.03.30;0;1.12540;0.47730;2.35785
2009.03.31;1;1.10131;0.29800;3.69567
2009.04.01;2;0.77680;0.20840;3.72745
2009.04.02;3;1.13160;0.54840;2.06346
2009.04.03;4;0.64530;0.15580;4.14185
2009.04.06;0;0.93090;0.32070;2.90271
2009.04.07;1;0.80770;0.27200;2.96949
2009.04.08;2;0.91280;0.29600;3.08378
2009.04.09;3;0.85460;0.26430;3.23345
2009.04.10;4;0.55930;0.12900;4.33566
2009.04.13;0;0.63780;0.23750;2.68547
2009.04.14;1;0.68070;0.22700;2.99868
2009.04.15;2;0.88280;0.19200;4.59792
2009.04.16;3;0.69420;0.15990;4.34146
2009.04.17;4;0.44950;0.17900;2.51117
2009.04.20;0;1.16160;0.57390;2.02405
2009.04.21;1;0.66120;0.36000;1.83667
2009.04.22;2;0.98580;0.34410;2.86486
2009.04.23;3;0.84540;0.36400;2.32253
2009.04.24;4;0.97640;0.43300;2.25497
2009.04.27;0;0.85200;0.30600;2.78431
2009.04.28;1;1.25900;0.28200;4.46454
2009.04.29;2;1.58900;0.32800;4.84451
2009.04.30;3;1.37300;0.26900;5.10409
