Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.49613;0.09600;5.16802
2009.01.02;4;0.94094;0.17585;5.35081
2009.01.05;0;0.95999;0.27585;3.48012
2009.01.06;1;0.92049;0.15420;5.96946
2009.01.07;2;0.90691;0.17180;5.27887
2009.01.08;3;0.89490;0.18150;4.93058
2009.01.09;4;0.81656;0.20395;4.00373
2009.01.12;0;0.82237;0.19175;4.28876
2009.01.13;1;0.97681;0.28761;3.39630
2009.01.14;2;1.01458;0.30465;3.33031
2009.01.15;3;1.43906;0.28640;5.02465
2009.01.16;4;1.03895;0.18785;5.53074
2009.01.19;0;0.98667;0.27910;3.53518
2009.01.20;1;0.90570;0.17265;5.24587
2009.01.21;2;1.24646;0.32230;3.86739
2009.01.22;3;1.09550;0.22030;4.97276
2009.01.23;4;1.13822;0.29600;3.84534
2009.01.26;0;1.09561;0.30430;3.60043
2009.01.27;1;1.13547;0.30250;3.75362
2009.01.28;2;1.08311;0.16645;6.50712
2009.01.29;3;0.90542;0.19550;4.63130
2009.01.30;4;1.12304;0.21830;5.14448
2009.02.02;0;0.94192;0.14200;6.63324
2009.02.03;1;1.04946;0.20810;5.04306
2009.02.04;2;0.92530;0.17940;5.15775
2009.02.05;3;0.83575;0.10380;8.05154
2009.02.06;4;0.86125;0.23410;3.67898
2009.02.09;0;0.79423;0.21235;3.74019
2009.02.10;1;1.17065;0.25505;4.58988
2009.02.11;2;0.91017;0.19720;4.61547
2009.02.12;3;1.05143;0.18815;5.58825
2009.02.13;4;0.88449;0.09665;9.15147
2009.02.16;0;0.77802;0.17775;4.37705
2009.02.17;1;1.04820;0.32175;3.25781
2009.02.18;2;0.98510;0.17160;5.74068
2009.02.19;3;1.03582;0.24550;4.21923
2009.02.20;4;1.10290;0.20845;5.29096
2009.02.23;0;1.16485;0.30420;3.82922
2009.02.24;1;1.15708;0.21050;5.49682
2009.02.25;2;1.13838;0.24980;4.55717
2009.02.26;3;0.85008;0.17660;4.81359
2009.02.27;4;1.00164;0.14795;6.77013
2009.03.02;0;1.00334;0.21330;4.70389
2009.03.03;1;1.13273;0.23765;4.76638
2009.03.04;2;0.95404;0.30915;3.08601
2009.03.05;3;0.89882;0.32920;2.73032
2009.03.06;4;1.01963;0.20935;4.87046
2009.03.08;6;0.03575;0.03575;1.00000
2009.03.09;0;1.03774;0.13620;7.61924
2009.03.10;1;1.15206;0.37465;3.07503
2009.03.11;2;1.10303;0.22845;4.82832
2009.03.12;3;1.07399;0.29930;3.58834
2009.03.13;4;0.81919;0.13780;5.94478
2009.03.15;6;0.03915;0.03915;1.00000
2009.03.16;0;1.06468;0.28852;3.69014
2009.03.17;1;0.82688;0.12870;6.42486
2009.03.18;2;1.11023;0.42490;2.61292
2009.03.19;3;0.97126;0.19740;4.92026
2009.03.20;4;0.85155;0.28076;3.03302
2009.03.22;6;0.01595;0.01595;1.00000
2009.03.23;0;0.83739;0.22930;3.65194
2009.03.24;1;0.84531;0.24080;3.51042
2009.03.25;2;1.02375;0.21715;4.71448
2009.03.26;3;0.70271;0.11530;6.09462
2009.03.27;4;0.86810;0.29325;2.96027
2009.03.30;0;0.85952;0.16681;5.15269
2009.03.31;1;0.76026;0.14110;5.38809
2009.04.01;2;0.71429;0.13450;5.31071
2009.04.02;3;0.78125;0.20160;3.87525
2009.04.03;4;0.79145;0.15670;5.05073
2009.04.06;0;0.63057;0.20040;3.14656
2009.04.07;1;0.81956;0.21900;3.74228
2009.04.08;2;0.90305;0.14892;6.06399
2009.04.09;3;0.94140;0.18160;5.18392
2009.04.10;4;0.51698;0.07765;6.65782
2009.04.13;0;0.62918;0.15130;4.15849
2009.04.14;1;0.66473;0.08050;8.25752
2009.04.15;2;0.76050;0.17650;4.30878
2009.04.16;3;0.71207;0.14240;5.00049
2009.04.17;4;0.72246;0.20147;3.58594
2009.04.20;0;0.73478;0.28415;2.58589
2009.04.21;1;0.84109;0.22780;3.69223
2009.04.22;2;0.79490;0.21430;3.70929
2009.04.23;3;0.71982;0.21525;3.34411
2009.04.24;4;0.72190;0.20215;3.57111
2009.04.27;0;0.83577;0.16030;5.21379
2009.04.28;1;0.76500;0.13890;5.50756
2009.04.29;2;0.74938;0.18225;4.11182
2009.04.30;3;0.88187;0.13490;6.53721
2009.05.01;4;0.73453;0.10450;7.02900
2009.05.04;0;0.70136;0.21080;3.32713
2009.05.05;1;0.67115;0.12292;5.46006
2009.05.06;2;0.75505;0.16000;4.71906
2009.05.07;3;0.86652;0.20850;4.15597
2009.05.08;4;0.74268;0.26515;2.80098
2009.05.11;0;0.64798;0.20186;3.21005
2009.05.12;1;0.79214;0.13030;6.07936
2009.05.13;2;0.78996;0.21675;3.64457
2009.05.14;3;0.72569;0.16260;4.46304
2009.05.15;4;0.79189;0.14385;5.50497
2009.05.18;0;0.72669;0.27231;2.66861
2009.05.19;1;0.72659;0.11935;6.08789
2009.05.20;2;0.80990;0.18720;4.32639
2009.05.21;3;0.75860;0.16290;4.65684
2009.05.22;4;0.60351;0.10510;5.74225
2009.05.25;0;0.45695;0.09210;4.96145
2009.05.26;1;0.58773;0.16800;3.49839
2009.05.27;2;0.82098;0.20015;4.10182
2009.05.28;3;0.91267;0.16215;5.62855
2009.05.29;4;0.69419;0.15283;4.54224
2009.06.01;0;0.77789;0.24038;3.23608
2009.06.02;1;0.82129;0.16263;5.05005
2009.06.03;2;0.99245;0.29360;3.38028
2009.06.04;3;0.94130;0.15600;6.03397
2009.06.05;4;0.81200;0.21310;3.81042
2009.06.08;0;0.83957;0.16080;5.22121
2009.06.09;1;0.83880;0.23395;3.58538
2009.06.10;2;0.91542;0.16930;5.40709
2009.06.11;3;0.75180;0.16230;4.63216
2009.06.12;4;0.67839;0.14365;4.72252
2009.06.15;0;0.83150;0.24865;3.34406
2009.06.16;1;0.80200;0.10817;7.41426
2009.06.17;2;0.84129;0.18522;4.54211
2009.06.18;3;0.80831;0.10949;7.38250
2009.06.19;4;0.77260;0.10693;7.22529
2009.06.22;0;0.60793;0.15205;3.99822
2009.06.23;1;0.71484;0.18820;3.79830
2009.06.24;2;0.82361;0.16390;5.02508
2009.06.25;3;0.73223;0.14335;5.10799
2009.06.26;4;0.70115;0.17199;4.07669
2009.06.29;0;0.64796;0.20085;3.22609
2009.06.30;1;0.63538;0.14384;4.41727
2009.07.01;2;0.59990;0.19225;3.12042
2009.07.02;3;0.63966;0.22055;2.90029
2009.07.03;4;0.55420;0.08300;6.67711
2009.07.06;0;0.53388;0.10955;4.87339
2009.07.07;1;0.70254;0.17225;4.07861
2009.07.08;2;0.66633;0.09410;7.08108
2009.07.09;3;0.65933;0.18035;3.65584
2009.07.10;4;0.64198;0.15817;4.05880
2009.07.13;0;0.65772;0.12680;5.18707
2009.07.14;1;0.66285;0.12065;5.49399
2009.07.15;2;0.57452;0.14220;4.04023
2009.07.16;3;0.58409;0.08985;6.50072
2009.07.17;4;0.59690;0.10934;5.45912
2009.07.20;0;0.55266;0.11388;4.85300
2009.07.21;1;0.57707;0.12230;4.71848
2009.07.22;2;0.54523;0.10860;5.02053
2009.07.23;3;0.65443;0.16930;3.86551
2009.07.24;4;0.60162;0.11005;5.46679
2009.07.27;0;0.65911;0.14730;4.47461
2009.07.28;1;0.66588;0.18390;3.62088
2009.07.29;2;0.65350;0.09270;7.04962
2009.07.30;3;0.55959;0.11850;4.72228
2009.07.31;4;0.68267;0.23822;2.86571
2009.08.03;0;0.62166;0.15225;4.08315
2009.08.04;1;0.51699;0.12010;4.30466
2009.08.05;2;0.45588;0.06640;6.86566
2009.08.06;3;0.58027;0.09750;5.95149
2009.08.07;4;0.57874;0.07730;7.48693
2009.08.10;0;0.53789;0.13355;4.02763
2009.08.11;1;0.51436;0.14950;3.44054
2009.08.12;2;0.55022;0.18150;3.03152
2009.08.13;3;0.53975;0.10905;4.94956
2009.08.14;4;0.49246;0.11150;4.41668
2009.08.17;0;0.51139;0.14235;3.59248
2009.08.18;1;0.50781;0.09060;5.60497
2009.08.19;2;0.54266;0.12090;4.48850
2009.08.20;3;0.40437;0.05745;7.03864
2009.08.21;4;0.57663;0.19538;2.95133
2009.08.24;0;0.40111;0.07430;5.39852
2009.08.25;1;0.48768;0.10190;4.78587
2009.08.26;2;0.51644;0.14615;3.53363
2009.08.27;3;0.52401;0.10315;5.08008
2009.08.28;4;0.49040;0.08595;5.70564
2009.08.31;0;0.48820;0.08390;5.81883
2009.09.01;1;0.64787;0.23220;2.79014
2009.09.02;2;0.51412;0.10140;5.07022
2009.09.03;3;0.50366;0.07770;6.48211
2009.09.04;4;0.44083;0.11560;3.81341
2009.09.07;0;0.33607;0.06872;4.89042
2009.09.08;1;0.48142;0.11650;4.13236
2009.09.09;2;0.40323;0.09260;4.35454
2009.09.10;3;0.50987;0.09705;5.25368
2009.09.11;4;0.46329;0.07245;6.39462
2009.09.14;0;0.53512;0.10750;4.97786
2009.09.15;1;0.46949;0.09146;5.13328
2009.09.16;2;0.44573;0.10400;4.28587
2009.09.17;3;0.44976;0.07470;6.02088
2009.09.18;4;0.42335;0.08560;4.94568
2009.09.21;0;0.44850;0.09219;4.86495
2009.09.22;1;0.41355;0.12112;3.41438
2009.09.23;2;0.51430;0.08140;6.31818
2009.09.24;3;0.52728;0.13008;4.05351
2009.09.25;4;0.53094;0.09070;5.85380
2009.09.28;0;0.56948;0.12115;4.70062
2009.09.29;1;0.46609;0.08035;5.80075
2009.09.30;2;0.48947;0.06890;7.10406
2009.10.01;3;0.52771;0.10841;4.86772
2009.10.02;4;0.51160;0.11080;4.61733
2009.10.05;0;0.43017;0.07465;5.76249
2009.10.06;1;0.45692;0.10440;4.37663
2009.10.07;2;0.51827;0.14384;3.60310
2009.10.08;3;0.53840;0.07120;7.56180
2009.10.09;4;0.48052;0.08805;5.45735
2009.10.12;0;0.46934;0.10845;4.32771
2009.10.13;1;0.50364;0.07645;6.58784
2009.10.14;2;0.47727;0.07990;5.97334
2009.10.15;3;0.46140;0.09400;4.90851
2009.10.16;4;0.60531;0.10485;5.77310
2009.10.19;0;0.46585;0.07460;6.24464
2009.10.20;1;0.41150;0.07960;5.16960
2009.10.21;2;0.50966;0.16135;3.15872
2009.10.22;3;0.53399;0.15508;3.44332
2009.10.23;4;0.41191;0.06580;6.26003
2009.10.25;6;0.02717;0.02717;1.00000
2009.10.26;0;0.50841;0.12240;4.15368
2009.10.27;1;0.46254;0.15210;3.04103
2009.10.28;2;0.52424;0.13040;4.02025
2009.10.29;3;0.51345;0.13105;3.91797
2009.10.30;4;0.44789;0.14131;3.16956
2009.11.02;0;0.57331;0.12675;4.52316
2009.11.03;1;0.55753;0.15771;3.53516
2009.11.04;2;0.52507;0.13760;3.81592
2009.11.05;3;0.50171;0.11785;4.25719
2009.11.06;4;0.48588;0.10375;4.68318
2009.11.09;0;0.40374;0.14710;2.74466
2009.11.10;1;0.42723;0.05295;8.06856
2009.11.11;2;0.38032;0.05950;6.39193
2009.11.12;3;0.50769;0.11290;4.49681
2009.11.13;4;0.45753;0.09200;4.97315
2009.11.16;0;0.37391;0.07270;5.14319
2009.11.17;1;0.40988;0.12475;3.28561
2009.11.18;2;0.38432;0.06645;5.78360
2009.11.19;3;0.45108;0.11571;3.89837
2009.11.20;4;0.52946;0.13405;3.94972
2009.11.23;0;0.37140;0.09800;3.78980
2009.11.24;1;0.45713;0.08605;5.31238
2009.11.25;2;0.45270;0.08547;5.29660
2009.11.26;3;0.49182;0.17964;2.73781
2009.11.27;4;0.62914;0.13535;4.64825
2009.11.30;0;0.56014;0.09975;5.61544
2009.12.01;1;0.43125;0.11000;3.92045
2009.12.02;2;0.45958;0.08790;5.22844
2009.12.03;3;0.46959;0.09345;5.02504
2009.12.04;4;0.57269;0.13970;4.09943
2009.12.07;0;0.55703;0.12440;4.47773
2009.12.08;1;0.56706;0.13030;4.35196
2009.12.09;2;0.49534;0.07020;7.05613
2009.12.10;3;0.45678;0.07740;5.90155
2009.12.11;4;0.37568;0.08765;4.28614
2009.12.14;0;0.44413;0.06170;7.19822
2009.12.15;1;0.43548;0.12350;3.52615
2009.12.16;2;0.49358;0.06765;7.29608
2009.12.17;3;0.49180;0.13200;3.72576
2009.12.18;4;0.52862;0.07140;7.40364
2009.12.21;0;0.51243;0.08685;5.90017
2009.12.22;1;0.43201;0.09715;4.44683
2009.12.23;2;0.43071;0.10190;4.22679
2009.12.24;3;0.40229;0.09785;4.11129
2009.12.25;4;0.47765;0.05683;8.40489
2009.12.28;0;0.37991;0.09360;4.05887
2009.12.29;1;0.41068;0.07855;5.22826
2009.12.30;2;0.36296;0.08000;4.53700
2009.12.31;3;0.41848;0.06120;6.83791
2010.01.01;4;0.11234;0.02353;4.77433
2010.01.04;0;0.44467;0.15245;2.91683
2010.01.05;1;0.45229;0.10875;4.15899
2010.01.06;2;0.44225;0.12850;3.44163
2010.01.07;3;0.46919;0.08895;5.27476
2010.01.08;4;0.47671;0.10184;4.68097
2010.01.11;0;0.42377;0.08050;5.26422
2010.01.12;1;0.45410;0.06335;7.16811
2010.01.13;2;0.40402;0.08930;4.52430
2010.01.14;3;0.36856;0.05845;6.30556
2010.01.15;4;0.40429;0.09016;4.48414
2010.01.18;0;0.29024;0.06114;4.74714
2010.01.19;1;0.40441;0.11639;3.47461
2010.01.20;2;0.47091;0.15451;3.04776
2010.01.21;3;0.57027;0.08355;6.82549
2010.01.22;4;0.50681;0.08880;5.70732
2010.01.25;0;0.38747;0.06635;5.83979
2010.01.26;1;0.46975;0.10119;4.64226
2010.01.27;2;0.45130;0.06365;7.09034
2010.01.28;3;0.49323;0.09920;4.97208
2010.01.29;4;0.47726;0.07850;6.07975
2010.02.01;0;0.42074;0.14225;2.95775
2010.02.02;1;0.39463;0.05530;7.13617
2010.02.03;2;0.41389;0.10255;4.03598
2010.02.04;3;0.44575;0.17990;2.47777
2010.02.05;4;0.73127;0.09875;7.40527
2010.02.08;0;0.54125;0.08560;6.32301
2010.02.09;1;0.61085;0.15525;3.93462
2010.02.10;2;0.55590;0.10275;5.41022
2010.02.11;3;0.53572;0.08745;6.12601
2010.02.12;4;0.61745;0.13485;4.57879
