Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.02062;0.00753;2.73838
2009.01.02;4;0.09786;0.02870;3.40976
2009.01.05;0;0.08248;0.02679;3.07876
2009.01.06;1;0.07116;0.01270;5.60315
2009.01.07;2;0.07264;0.01000;7.26400
2009.01.08;3;0.07524;0.01381;5.44823
2009.01.09;4;0.05995;0.00981;6.11111
2009.01.12;0;0.05944;0.00781;7.61076
2009.01.13;1;0.06081;0.00771;7.88716
2009.01.14;2;0.06296;0.01303;4.83193
2009.01.15;3;0.05775;0.00630;9.16667
2009.01.16;4;0.05782;0.01009;5.73043
2009.01.19;0;0.06244;0.01598;3.90738
2009.01.20;1;0.06418;0.01598;4.01627
2009.01.21;2;0.07501;0.01400;5.35786
2009.01.22;3;0.06500;0.01127;5.76752
2009.01.23;4;0.06933;0.01417;4.89273
2009.01.26;0;0.06781;0.01464;4.63183
2009.01.27;1;0.06445;0.01306;4.93492
2009.01.28;2;0.05535;0.00960;5.76563
2009.01.29;3;0.05449;0.00941;5.79065
2009.01.30;4;0.04931;0.00534;9.23408
2009.02.02;0;0.05559;0.00821;6.77101
2009.02.03;1;0.06790;0.01361;4.98898
2009.02.04;2;0.05522;0.00921;5.99566
2009.02.05;3;0.05184;0.00898;5.77283
2009.02.06;4;0.05084;0.01338;3.79970
2009.02.09;0;0.05096;0.01015;5.02069
2009.02.10;1;0.06742;0.01594;4.22961
2009.02.11;2;0.05885;0.00783;7.51596
2009.02.12;3;0.05943;0.01005;5.91343
2009.02.13;4;0.05385;0.00710;7.58451
2009.02.16;0;0.05272;0.00892;5.91031
2009.02.17;1;0.06340;0.01844;3.43818
2009.02.18;2;0.05351;0.00800;6.68875
2009.02.19;3;0.05572;0.01211;4.60116
2009.02.20;4;0.06991;0.01304;5.36120
2009.02.23;0;0.07077;0.01530;4.62549
2009.02.24;1;0.06776;0.01424;4.75843
2009.02.25;2;0.05520;0.01149;4.80418
2009.02.26;3;0.06118;0.01110;5.51171
2009.02.27;4;0.06273;0.01141;5.49781
2009.03.02;0;0.06053;0.00910;6.65165
2009.03.03;1;0.07414;0.01214;6.10708
2009.03.04;2;0.06011;0.01422;4.22714
2009.03.05;3;0.06981;0.01434;4.86820
2009.03.06;4;0.06189;0.01584;3.90720
2009.03.08;6;0.00141;0.00141;1.00000
2009.03.09;0;0.06123;0.01234;4.96191
2009.03.10;1;0.06792;0.02017;3.36738
2009.03.11;2;0.07024;0.01675;4.19343
2009.03.12;3;0.07806;0.01278;6.10798
2009.03.13;4;0.00408;0.00584;0.69863
2009.03.15;6;0.00000;0.00000;0.00000
2009.03.16;0;0.00000;0.00000;0.00000
2009.03.17;1;0.00000;0.00019;0.00000
2009.03.18;2;0.09184;0.02508;3.66188
2009.03.19;3;0.09704;0.01597;6.07639
2009.03.20;4;0.10520;0.01747;6.02175
2009.03.22;6;0.00288;0.00288;1.00000
2009.03.23;0;0.06428;0.01185;5.42447
2009.03.24;1;0.07672;0.01901;4.03577
2009.03.25;2;0.05516;0.01101;5.00999
2009.03.26;3;0.04520;0.00466;9.69957
2009.03.27;4;0.04905;0.01360;3.60662
2009.03.30;0;0.05546;0.01036;5.35328
2009.03.31;1;0.04836;0.00648;7.46296
2009.04.01;2;0.04535;0.00722;6.28116
2009.04.02;3;0.06115;0.02278;2.68437
2009.04.03;4;0.05387;0.01133;4.75463
2009.04.06;0;0.05276;0.01044;5.05364
2009.04.07;1;0.04712;0.00897;5.25307
2009.04.08;2;0.05666;0.01000;5.66600
2009.04.09;3;0.04614;0.00772;5.97668
2009.04.10;4;0.02626;0.00519;5.05973
2009.04.13;0;0.04202;0.00538;7.81041
2009.04.14;1;0.07165;0.01925;3.72208
2009.04.15;2;0.04752;0.00830;5.72530
2009.04.16;3;0.04804;0.00638;7.52978
2009.04.17;4;0.04233;0.00735;5.75918
2009.04.20;0;0.04860;0.01096;4.43431
2009.04.21;1;0.04115;0.00972;4.23354
2009.04.22;2;0.03888;0.00400;9.72000
2009.04.23;3;0.03904;0.01080;3.61481
2009.04.24;4;0.05180;0.01456;3.55769
2009.04.27;0;0.03805;0.00769;4.94798
2009.04.28;1;0.03769;0.00732;5.14891
2009.04.29;2;0.04656;0.01715;2.71487
2009.04.30;3;0.06052;0.01569;3.85723
2009.05.01;4;0.03501;0.00575;6.08870
2009.05.04;0;0.04800;0.01418;3.38505
2009.05.05;1;0.04412;0.00725;6.08552
2009.05.06;2;0.05415;0.00961;5.63476
2009.05.07;3;0.06022;0.01202;5.00998
2009.05.08;4;0.05055;0.01446;3.49585
2009.05.11;0;0.04859;0.01025;4.74049
2009.05.12;1;0.05602;0.01244;4.50322
