Date;Day of week;SumHL;DayHL;SumHL / DayHL
2017.02.13;0;0.72620;0.11890;6.10765
2017.02.14;1;1.51580;0.19180;7.90302
2017.02.15;2;1.65830;0.19570;8.47368
2017.02.16;3;1.29160;0.10520;12.27757
2017.02.17;4;1.39330;0.15340;9.08279
2017.02.20;0;1.28440;0.14720;8.72554
2017.02.21;1;1.31660;0.11260;11.69272
2017.02.22;2;1.31850;0.10030;13.14556
2017.02.23;3;1.30410;0.16270;8.01537
2017.02.24;4;1.21310;0.22050;5.50159
2017.02.27;0;1.20040;0.21210;5.65959
2017.02.28;1;0.00000;0.00000;0.00000
2017.03.01;2;1.35010;0.18870;7.15474
2017.03.02;3;1.47510;0.20730;7.11577
2017.03.03;4;1.25140;0.15870;7.88532
2017.03.06;0;1.36410;0.14160;9.63347
2017.03.07;1;1.22780;0.12730;9.64493
2017.03.08;2;1.38510;0.27070;5.11673
2017.03.09;3;0.68570;0.19960;3.43537
2017.03.10;4;1.12300;0.24020;4.67527
2017.03.12;6;0.07460;0.07460;1.00000
2017.03.13;0;1.44490;0.22070;6.54690
2017.03.14;1;1.13750;0.15940;7.13614
2017.03.15;2;1.40300;0.30430;4.61058
2017.03.16;3;1.87720;0.34630;5.42073
2017.03.17;4;1.70990;0.35740;4.78428
2017.03.19;6;0.00000;0.00000;0.00000
2017.03.20;0;1.36240;0.28680;4.75035
2017.03.21;1;1.58020;0.22010;7.17946
2017.03.22;2;1.35380;0.25920;5.22299
2017.03.23;3;1.52770;0.27290;5.59802
2017.03.24;4;1.05200;0.33410;3.14876
2017.03.27;0;1.62670;0.30960;5.25420
2017.03.28;1;0.64040;0.11470;5.58326
2017.03.29;2;1.33110;0.22170;6.00406
2017.03.30;3;1.29140;0.14170;9.11362
2017.03.31;4;0.72610;0.20770;3.49591
2017.04.03;0;0.86240;0.21000;4.10667
2017.04.04;1;1.35640;0.16550;8.19577
2017.04.05;2;1.48840;0.18240;8.16009
2017.04.06;3;1.59720;0.20720;7.70849
2017.04.07;4;1.64550;0.19320;8.51708
2017.04.10;0;1.05210;0.13190;7.97650
2017.04.11;1;1.46730;0.27110;5.41239
2017.04.12;2;1.31880;0.21130;6.24136
2017.04.13;3;1.61900;0.19080;8.48532
2017.04.14;4;1.61650;0.20490;7.88921
2017.04.17;0;1.58670;0.24160;6.56747
2017.04.18;1;1.47020;0.20470;7.18222
2017.04.19;2;1.30300;0.16640;7.83053
2017.04.20;3;1.38260;0.16170;8.55040
2017.04.21;4;1.44420;0.15700;9.19873
2017.04.24;0;1.12870;0.15090;7.47979
2017.04.25;1;1.32730;0.14760;8.99255
2017.04.26;2;1.48880;0.17240;8.63573
2017.04.27;3;1.15790;0.23070;5.01907
2017.04.28;4;1.35740;0.16980;7.99411
2017.05.01;0;0.90370;0.15120;5.97685
2017.05.02;1;0.25980;0.18800;1.38191
2017.05.03;2;0.36440;0.14920;2.44236
2017.05.04;3;1.23580;0.16600;7.44458
2017.05.05;4;1.59780;0.26300;6.07529
2017.05.08;0;1.21600;0.19460;6.24872
2017.05.09;1;1.67140;0.22610;7.39230
2017.05.10;2;1.24250;0.18070;6.87604
2017.05.11;3;1.05300;0.13610;7.73696
2017.05.12;4;1.04290;0.20060;5.19890
2017.05.15;0;1.58440;0.23270;6.80877
2017.05.16;1;1.59200;0.27920;5.70201
2017.05.17;2;1.40580;0.19470;7.22034
2017.05.18;3;1.37460;0.28410;4.83844
2017.05.19;4;1.05630;0.37940;2.78413
2017.05.22;0;1.47770;0.19470;7.58963
2017.05.23;1;0.93060;0.18070;5.14997
2017.05.24;2;1.30260;0.19760;6.59211
2017.05.25;3;1.43170;0.28190;5.07875
2017.05.26;4;1.44460;0.28380;5.09020
2017.05.29;0;1.10300;0.19890;5.54550
2017.05.30;1;1.47110;0.26600;5.53045
2017.05.31;2;1.31810;0.24590;5.36031
2017.06.01;3;1.26540;0.21230;5.96043
2017.06.02;4;1.56140;0.27820;5.61251
2017.06.05;0;1.33110;0.18680;7.12580
2017.06.06;1;0.71990;0.19670;3.65989
2017.06.07;2;1.45990;0.18770;7.77784
2017.06.08;3;1.01820;0.16670;6.10798
2017.06.09;4;0.82780;0.10580;7.82420
