Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.01625;0.00075;21.66667
2009.01.02;4;0.12351;0.01483;8.32839
2009.01.05;0;0.12840;0.02268;5.66138
2009.01.06;1;0.14716;0.03144;4.68066
2009.01.07;2;0.14646;0.05450;2.68734
2009.01.08;3;0.18382;0.02650;6.93660
2009.01.09;4;0.16962;0.02890;5.86920
2009.01.12;0;0.19123;0.04860;3.93477
2009.01.13;1;0.17079;0.02510;6.80438
2009.01.14;2;0.19103;0.05250;3.63867
2009.01.15;3;0.19440;0.02770;7.01805
2009.01.16;4;0.20652;0.04530;4.55894
2009.01.19;0;0.13964;0.03670;3.80490
2009.01.20;1;0.19918;0.03630;5.48705
2009.01.21;2;0.19992;0.03410;5.86276
2009.01.22;3;0.15566;0.02243;6.93981
2009.01.23;4;0.18625;0.03260;5.71319
2009.01.26;0;0.17663;0.05840;3.02449
2009.01.27;1;0.23714;0.04410;5.37732
2009.01.28;2;0.20243;0.02170;9.32857
2009.01.29;3;0.18470;0.02900;6.36897
2009.01.30;4;0.16569;0.02472;6.70267
2009.02.02;0;0.15033;0.02340;6.42436
2009.02.03;1;0.19053;0.02320;8.21250
2009.02.04;2;0.16558;0.02170;7.63041
2009.02.05;3;0.15546;0.02590;6.00232
2009.02.06;4;0.12561;0.02754;4.56100
2009.02.09;0;0.14290;0.02080;6.87019
2009.02.10;1;0.14770;0.03450;4.28116
2009.02.11;2;0.12477;0.01465;8.51672
2009.02.12;3;0.18089;0.03559;5.08261
2009.02.13;4;0.15004;0.02210;6.78914
2009.02.16;0;0.13701;0.02683;5.10660
2009.02.17;1;0.19824;0.04496;4.40925
2009.02.18;2;0.20714;0.03330;6.22042
2009.02.19;3;0.18314;0.03140;5.83248
2009.02.20;4;0.16189;0.02814;5.75302
2009.02.23;0;0.18276;0.02900;6.30207
2009.02.24;1;0.14395;0.02469;5.83030
2009.02.25;2;0.14658;0.02080;7.04712
2009.02.26;3;0.13559;0.01553;8.73084
2009.02.27;4;0.16630;0.02924;5.68741
2009.03.02;0;0.20340;0.03810;5.33858
