Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.52754;0.17908;2.94583
2009.01.02;4;1.69439;0.29578;5.72855
2009.01.05;0;1.94789;0.28413;6.85563
2009.01.06;1;1.84549;0.20524;8.99186
2009.01.07;2;1.94469;0.46922;4.14452
2009.01.08;3;2.11314;0.23516;8.98597
2009.01.09;4;1.80507;0.26560;6.79620
2009.01.12;0;1.71717;0.37759;4.54771
2009.01.13;1;1.99190;0.27683;7.19539
2009.01.14;2;2.08763;0.44735;4.66666
2009.01.15;3;2.33539;0.32137;7.26698
2009.01.16;4;2.00146;0.31877;6.27870
2009.01.19;0;1.61626;0.26666;6.06113
2009.01.20;1;1.90492;0.30739;6.19708
2009.01.21;2;2.18361;0.37699;5.79222
2009.01.22;3;1.91423;0.26703;7.16860
2009.01.23;4;2.30151;0.50247;4.58039
2009.01.26;0;1.96517;0.27829;7.06159
2009.01.27;1;2.00616;0.22311;8.99180
2009.01.28;2;1.77234;0.20763;8.53605
2009.01.29;3;1.93436;0.23373;8.27605
2009.01.30;4;1.97804;0.29951;6.60425
2009.02.02;0;1.86059;0.24098;7.72093
2009.02.03;1;1.84770;0.25683;7.19425
2009.02.04;2;2.04730;0.26509;7.72304
2009.02.05;3;2.08323;0.32417;6.42635
2009.02.06;4;1.95597;0.48546;4.02911
2009.02.09;0;2.14185;0.29196;7.33611
2009.02.10;1;2.13975;0.40079;5.33883
2009.02.11;2;2.20262;0.22079;9.97609
2009.02.12;3;2.53115;0.49182;5.14650
2009.02.13;4;2.01461;0.24729;8.14675
2009.02.16;0;1.79480;0.24598;7.29653
2009.02.17;1;1.72751;0.34183;5.05371
2009.02.18;2;1.89298;0.19384;9.76568
2009.02.19;3;1.91671;0.29389;6.52186
2009.02.20;4;1.77821;0.21658;8.21041
2009.02.23;0;1.97033;0.27957;7.04772
2009.02.24;1;1.80749;0.29293;6.17038
2009.02.25;2;1.59752;0.18056;8.84759
2009.02.26;3;1.53592;0.23594;6.50979
2009.02.27;4;1.89082;0.34983;5.40497
2009.03.02;0;1.86863;0.47335;3.94767
2009.03.03;1;1.88255;0.24341;7.73407
2009.03.04;2;1.96464;0.38188;5.14465
2009.03.05;3;2.34920;0.40489;5.80207
2009.03.06;4;2.15024;0.28417;7.56674
2009.03.08;6;0.07267;0.07267;1.00000
2009.03.09;0;1.84106;0.31308;5.88048
2009.03.10;1;2.02271;0.43545;4.64510
2009.03.11;2;2.03508;0.35560;5.72295
2009.03.12;3;2.23977;0.43790;5.11480
2009.03.13;4;1.78691;0.17834;10.01968
2009.03.15;6;0.09209;0.09209;1.00000
2009.03.16;0;2.22565;0.32091;6.93543
2009.03.17;1;2.17079;0.21880;9.92134
2009.03.18;2;2.40730;0.37976;6.33900
2009.03.19;3;2.35148;0.37844;6.21361
2009.03.20;4;2.91117;0.36510;7.97362
