Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.10600;0.08000;1.32500
2009.01.02;4;1.42100;0.41900;3.39141
2009.01.05;0;2.12000;0.44400;4.77477
2009.01.06;1;2.02300;0.27200;7.43750
2009.01.07;2;2.19700;0.57100;3.84764
2009.01.08;3;2.26900;0.36700;6.18256
2009.01.09;4;2.08400;0.36300;5.74105
2009.01.12;0;1.81400;0.45300;4.00442
2009.01.13;1;1.99800;0.33200;6.01807
2009.01.14;2;2.42900;0.52000;4.67115
2009.01.15;3;2.63600;0.39000;6.75897
2009.01.16;4;2.37600;0.34500;6.88696
2009.01.19;0;1.56900;0.27700;5.66426
2009.01.20;1;2.08000;0.31300;6.64537
2009.01.21;2;2.64700;0.44700;5.92170
2009.01.22;3;2.21000;0.31000;7.12903
2009.01.23;4;2.56600;0.49600;5.17339
2009.01.26;0;1.90700;0.32700;5.83180
2009.01.27;1;2.24400;0.27400;8.18978
2009.01.28;2;2.00600;0.34600;5.79769
2009.01.29;3;2.07800;0.29900;6.94983
2009.01.30;4;2.05900;0.30000;6.86333
2009.02.02;0;1.71500;0.26100;6.57088
2009.02.03;1;2.24000;0.22100;10.13575
2009.02.04;2;2.15700;0.31300;6.89137
2009.02.05;3;2.31900;0.53000;4.37547
2009.02.06;4;2.17200;0.53400;4.06742
2009.02.09;0;2.17400;0.32900;6.60790
2009.02.10;1;2.34400;0.48600;4.82305
2009.02.11;2;2.17700;0.21800;9.98624
2009.02.12;3;2.71000;0.40800;6.64216
2009.02.13;4;2.03800;0.23600;8.63559
2009.02.16;0;1.93500;0.23600;8.19915
2009.02.17;1;1.89800;0.26800;7.08209
2009.02.18;2;2.04200;0.29700;6.87542
2009.02.19;3;2.13700;0.37500;5.69867
2009.02.20;4;1.95800;0.22700;8.62555
2009.02.23;0;2.13700;0.41000;5.21220
2009.02.24;1;2.24600;0.51800;4.33591
2009.02.25;2;2.10700;0.26600;7.92105
2009.02.26;3;1.67500;0.27500;6.09091
2009.02.27;4;2.36700;0.46000;5.14565
2009.03.02;0;2.03600;0.45600;4.46491
